## STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
##;;;;;;;;;;;X
##;MAJOR NOTE ABOUT THIS FILE:;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;This file is loaded before any other text files to ensure that any text replacements to strings defined here will be noted.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;EDITING TIPS:;;;;;;;;;;X
##;;;;;;;;;;;X
##;Open this document in Excel, version 5 or later.;;;;;;;;;;X
##;To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;X
##;Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;X
##;Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;X
##;Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;X
##;Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;X
##;Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;X
##;Place the cursor in cell C2 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;X
##;CAREFULLY read the instructions in cells B26 - B68;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted by the engine, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where integer value is inserted by the engine, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places.;;;;;;;;;;X
##;3) '%.0f' is for indicating where non-integer value is inserted by the engine, and MAY NEVER BE REMOVED! 0 can be replaced by another number and defines displayed digits after the decimal point. Add '+' in front of '.' (example: '%+.2f') to display the sign of the number.;;;;;;;;;;X
##;4) '%c' is for indicating where a single character is inserted by the engine, and MAY NEVER BE REMOVED! ;;;;;;;;;;X
##;5) '\%%' can be used to display a single '%' character in texts. Use that with caution and avoid if possible as it could cause issues if used improperly.;;;;;;;;;;X
##;6) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.;;;;;;;;;;X
##;7) The characters '#' (hashmark), semicolon, '%' (percentage sign), '¶' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes as this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;8) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;9) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;10) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;11) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS (Red,Green,Blue values):;;;;;;;;;;X
##;§A;0,64,0;;;;;;;;;X
##;§B;0,0,192;;;;;;;;;X
##;§C;128,0,0;;;;;;;;;X
##;§D;255,255,0;;;;;;;;;X
##;§E;255,0,255;;;;;;;;;X
##;§F;255,128,0;;;;;;;;;X
##;§G;0,100,0;;;;;;;;;X
##;§H;128,128,128;;;;;;;;;X
##;§I;0,0,255;;;;;;;;;X
##;§J;0,192,0;;;;;;;;;X
##;§M;100,255,100;;;;;;;;;X
##;§N;255,100,100;;;;;;;;;X
##;§R;240,0,0;;;;;;;;;X
##;§W;255,255,255;;;;;;;;;X
##;§Y;208,232,248;;;;;;;;;X
##;§Z;0,0,0;;;;;;;;;X
##;§§;restores old color;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;12) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string). However you will notice once the translation is inserted that space IS limited in quite a few areas so be brief, and try not to use words that are considerably longer than the English original.;;;;;;;;;;X
##;13) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;14) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;15) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not exported into the actual text database file);;;;;;;;;;X
##;16) Test any special punctuation symbols and characters for proper displaying by the game first, before using those in other texts.;;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE:;;;;;;;;;;X
##;Save as 'Semicolon Separated (.csv)' format, and make sure file name is not changed.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE:;;;;;;;;;;X
##;If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
## LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;T. Entente;Triple Entente;Triplice Intesa;Triple Entente;Entente;Ententa;;Антанта;;;X
ALLIANCE_CENTRAL;C. Powers;Triple Alliance;Triplice Alleanza;Triple Alianza;Mittelmдchte;P. centralne;;Центр. Державы;;;X
ALLIANCE_COM1914;Comintern;Komintern;Comintern;Comintern;Komintern;Komintern;;Коминтерн;;;X
ALLIANCE_WHITES;White Movement;Armйes blanches;Armata Bianca;Movimiento Blanco;WeiЯe Armee;Biali;;Белое Движение;;;X
ALLIANCE_BOLSHEVIKS;Bolsheviks;Bolcheviks;Bolscevichi;Bolcheviques;Bolschewiki;Bolszewicy;;Большевики;;;X
ALLIANCE_EMPTY;;;;;;;;;;;X
GAME_END_ENTENTE_VICTORY;The game ended with a victory for the Triple Entente.;La partie s'achиve sur une victoire de la Triple Entente.;La partita и finita con una vittoria della Triplice Intesa;El juego ha terminado con la victoria de la Triple Entente.;Das Spiel endete mit einem Sieg der Entente.;Gra skoсczyіa siк zwyciкstwem Trуjporozumienia (Ententy).;;Игра завершилась победой тройственной Антанты.;;;X
GAME_END_ENTENTE_TOTAL;The game ended with a total victory for the Triple Entente.;La partie s'achиve sur une victoire totale de la Triple Entente.;La partita и finita con una vittoria totale della Triplice Intesa;El juego ha terminado con la victoria total de la Triple Entente.;Das Spiel endete mit einem ьberzeugenden Sieg der Entente.;Gra skoсczyіa siк caіkowitym zwyciкstwem Trуjporozumienia (Ententy).;;Игра завершилась безоговорочной победой тройственной Антанты.;;;X
GAME_END_CENTRAL_VICTORY;The game ended with a victory for the Central Powers.;La partie s'achиve sur une victoire de la Triple Alliance.;La partita и finita con una vittoria della Triplice Alleanza;El juego ha terminado con la victoria de la Triple Alianza;Das Spiel endete mit einem Sieg der Mittelmдchte.;Gra skoсczyіa siк zwyciкstwem Trуjprzymierza (paсstw centralnych).;;Игра завершилась победой Центральных Держав;;;X
GAME_END_CENTRAL_TOTAL;The game ended with a total victory for the Central Powers.;La partie s'achиve sur une victoire totale de la Triple Alliance.;La partita и finita con una vittoria totale della Triplice Alleanza;El juego ha terminado con la victoria total de la Triple Alianza;Das Spiel endete mit einem ьberzeugenden Sieg der Mittelmдchte.;Gra skoсczyіa siк caіkowitym zwyciкstwem Trуjprzymierza (paсstw centralnych).;;Игра завершилась безоговорочной победой Центральных Держав;;;X
GAME_END_COM1914_VICTORY;The game ended with a victory for the Comintern.;La partie s'achиve sur une victoire du Komintern;Il gioco и finito con la vittoria del Comintern;El juego ha terminado con victoria del Comitern;Das Spiel endete mit einem Sieg der Komintern.;Gra skoсczyіa siк zwyciкstwem Kominternu.;;Игра завершилась победой Коминтерна;;;X
GAME_END_COM1914_TOTAL;The game ended with a total victory for the Comintern.;La partie s'achиve sur une victoire total du Komintern;Il gioco и finito con una vittoria totale del Comintern;El juego ha terminado con victoria total del Comitern;Das Spiel endete mit einem ьberwдltigenden Sieg der Komintern.;Gra skoсczyіa siк caіkowitym zwyciкstwem Kominternu.;;Игра завершилась безоговорочной победой Коминтерна;;;X
GAME_END_WHITES_VICTORY;The game ended with a victory for the White Movement.;Le jeu s'achиve sur une victoire des Blancs.;La partita и finita con la vittoria dei Bianchi;El juego ha terminado con la victoria del Movimiento Blanco.;Das Spiel endete mit einem Sieg der WeiЯen Armee.;Gra zakoсczyіa siк zwyciкstwem Biaіych.;;Игра закончена победой Белого движения;;;X
GAME_END_WHITES_TOTAL;The game ended with a total victory for the White Movement.;Le jeu s'achиve sur une victoire totale des Blancs.;La partita и finita con una vittoria totale dei Bianchi;El juego ha terminado con la victoria total del Movimiento Blanco.;Das Spiel endete mit einem ьberwдltigenden Sieg der WeiЯen Armee.;Gra zakoсczyіa siк caіkowitym zwyciкstwem Biaіych.;;Игра закончена полной победой Белого движения;;;X
GAME_END_BOLSHEVIKS_VICTORY;The game ended with a victory for the Bolsheviks.;Le jeu s'achиve sur une victoire des Bolcheviks.;La partita и finita con la vittoria dei Bolscevichi;El juego ha terminado con la victoria de los Bolcheviques.;Das Spiel endete mit einem Sieg der Bolschewiki.;Gra zakoсczyіa siк zwyciкstwem bolszewikуw.;;Игра закончена победой большевиков;;;X
GAME_END_BOLSHEVIKS_TOTAL;The game ended with a total victory for the Bolsheviks.;Le jeu s'achиve sur une victoire totale des Bolcheviks.;La partita и finita con una vittoria totale dei Bolscevichi;El juego ha terminado con la victoria total de los Bolcheviques.;Das Spiel endete mit einem ьberwдltigenden Sieg der Bolschewiki.;Gra zakoсczyіa siк caіkowitym zwyciкstwem bolszewikуw.;;Игра закончена полной победой большевиков;;;X
##;;;;;;;;;;;X
PROV_PETROGRAD;Petrograd;Petrograd;Petrograd;Petrogrado;Petrograd;Piotrogrуd;;Петроград;;;X
PROV_TSARITSYN;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Tsaritsyn;Carycyn;;Царицын;;;X
PROV_POKROVSK;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrowsk;;Покровск;;;X
##;;;;;;;;;;;X
SPA14;Spain;Espagne;Spagna;Espaсa;Spanien;Hiszpania;;Испания;;;X
LBY14;Senussi;Sanussi;Senussi;Senussi;Senussi;Sanussi;;Сенусси;;;X
SAU14;Kingdom of Najd;Nejd;Regno di Najd;Reino de Nadj;Das Kцnigreich Najd;Krуlestwo Nedїdu;;Королевство Неджд;;;X
PER14;Persia;Persia;Persia;Persia;Persien;Persja;;Персия;;;X
SER1919;Kingdom of Serbs, Croats and Slovenes;Royaume des Serbes, Croates et Slovиnes;Regno dei Serbi, Croati e Sloveni;El Reino de los Serbios, Croatas y Eslovenos;Das Kцnigreich der Serben, Kroaten und Slowenen;Krуlestwo Serbуw, Chorwatуw i Sіoweсcуw;;Королевство Сербов, Хорватов и Словенцев;;;X
UTC_SOUTHERN_RUSSIA;Southern Russia;Russie mйridionale;Russia Meridionale;Rusia del Sur;Sьd-Russland;Rosja Poіudniowa;;Южная Россия;;;X
UGS_NORTHERN_RUSSIA;Northern Russia;Russie septentrionale;Russia Settentrionale;Rusia del Norte;Nord-Russland;Rosja Pуіnocna;;Северная Россия;;;X
##;;;;;;;;;;;X
## Minister Personalities;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_NONE;none;Aucun;nessuna;ninguna;nichts;Brak;;нет;;;X
NPERSONALITY_BIASED_INTELLECTUAL;Biased Intellectual;Intellectuel а prйjugйs;Intellettuale prevenuto;Intelectual partidista;voreingenommener Intellektueller;Stronniczy intelektualista;;Предвзятый интеллектуал;;;X
NPERSONALITY_IDEOLOGICAL_CRUSADER;Ideological Crusader;Croisй idйologique;Crociato ideologico;Cruzado ideolуgico;ideologischer Kreuzritter;Ideologiczny krzyїowiec;;Идейный борец;;;X
NPERSONALITY_APOLOGETIC_CLERK;Apologetic Clerk;Fonctionnaire irrйsolu;Funzionario Indeciso;Funcionario indeciso;aghafter Angestellter;Pokorny urzкdnik;;Примиренец;;;X
NPERSONALITY_IRON_FISTED_BRUTE;Iron-fisted Brute;Brute;Bruto con pugno di ferro;Bestia con puсo hierro;brutaler Eisenfresser;Okrutnik;;Железный канцлер;;;X
NPERSONALITY_GREAT_COMPROMISER;Great Compromiser;As du compromis;Gran diplomatico;Gran conciliador;groЯer Kompromissler;Czіowiek kompromisu;;Мастер компромисса;;;X
NPERSONALITY_GENERAL_STAFFER;General Staffer;Gйnйral dirigiste;Generali di carriera;General de carrera;Generalstabsmitglied;Dawny szef sztabu;;Генштабист;;;X
NPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;The Cloak-and-Dagger Schemer;Conspirateur;Cospiratore occulto;Maquiavйlico en la sombra;Der Mantel-und-Degen-Planer;Spiskowiec;;Рыцарь плаща и кинжала;;;X
