#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
EVT_8022_NAME;Theoretical Breakthrough - Secret Weapon;;;;;;;;;;X;
EVT_8022_DESC;A secret project has borne fruit. Scientists and engineers have joined forces, and the project manager has presented the theoretical results to the General Staff. It is believed that further empirical research can lead to new technological applications.;;;;;;;;;;X;
1000510name;Fate of France;;;;;;;;;;X;
1000510desc;"The Fall of France shocked the world, as France was believed to have the strongest land army in existence when war broke out yet again in 1939. The subsequent Armistice at Compiegne was only expected to be a short term ordeal, and a proper peace treaty would be negotiated once the United Kingdom had come to terms with the Third Reich. However, instead of what many believed would only be a weeks, or at most months long affair, much of France remained under German occupation for years as the Second World War raged on. With the war in the Europe finally coming to an end, it is time to formally prepare a peace treaty with France and create the New Order in Europe.\n \nHitler had widely varying opinions of France and the French people. He viewed many of them as ""Germanics in denial"" and treated them with the same general respect of other western Europeans, which was highly in contrast to his views of the Slavic peoples of Russia. He intended to make France forever dependent on Germany to eliminate the threat of another war breaking out within Europe ever again. One of the more consistent themes in his writing was the fact that France would always oppose Germany regardless of any other geopolitical circumstances.\n \nWe can now begin the process of determining the future of France and its role in the New Order. We may choose to examine each area and tailor the peace treaty specifically to our interests, or choose to enforce general terms right away.";;;;;;;;;;X;
1000510a;This is critical to Europe's future. Let's go step by step.;;;;;;;;;;X;
1000510b;Enforce a fair peace that won't alienate the French.;;;;;;;;;;X;
1000510c;A harsher peace is required - liberate Britanny as well.;;;;;;;;;;X;
1000510d;Our western border must be secure! Fully partition France!;;;;;;;;;;X;
1000510e;There's no need. France will be annexed directly into the Reich!;;;;;;;;;;X;
1000511name;Fate of Benelux;;;;;;;;;;X;
1000511desc;The invasion of the Low Countries during the invasion of France would result in the creation of two political entities with distinctive characteristics of the National Socialist movement, each with long-term goals for incorporation into the Reich itself.\n \nReichskommissariat Niederlande was a civilian occupation regime set up in the occupied Netherlands after it fell to the German invasion in 1940. Hitler envisioned the direct assimilation of the Dutch people into the Reich itself at a later date, seeing them as part of the Aryan herrenvolk and therefore belonging to the Germanic realm.\n \nThe Reichskommissariat set up in Belgium was not created until 1944, and was administered by a military government before this time. Including all of Belgium proper (aside from Eupen, which had been annexed into Germany) and also an area of iron-rich territory in northern France, this regime was also intended for future assimilation into the Reich. Figures such as Himmler and Goebbels viewed both the Flemish and Walloon nations as Germanic in racial quality, and therefore worthy of being part of the Greater Germanic Reich. We may also choose to restore the sovereign governments of these states, though we would not be able to integrate them at a later time.;;;;;;;;;;X;
1000511a;Formalize the borders of these Reichskommissariats.;;;;;;;;;;X;
1000511b;Create Flanders, Wallonia, and the Netherlands.;;;;;;;;;;X;
1000511c;This is unnecessary. Annex the lowlands now!;;;;;;;;;;X;
1000511d;Maintain the status quo for now.;;;;;;;;;;X;
1000512name;The Breton Question;;;;;;;;;;X;
1000512desc;The Second World War saw the uprising of many nationalist groups, the most well known example of which would be the Germans themselves. Many of these movements have passed into history as historical curiosities. The Breton Nationalist movement is another little-known idea that was emboldened by the conflict, most notably by the German occupation of northern France and the region of Britanny itself.\n \nBritanny formally become part of France in 1547 and is generally seen as an integral part of the state. During the war, the Breton National Party dominated local activist groups and were a considerable force. Germany was interested in fostering separatist movements in France in an attempt to weaken their foe, particularly strong sentiments in the region of Flanders and Britanny. Breaking French national unity would only help the Germans in accomplishing their goals, and the Abwehr (German military intelligence) worked with these parties in the interest of this goal.\n \nAn unprecedented opportunity has presented itself for the Breton nation. The leaders of the Breton Nationalist Party, Francois Debeauvais and Olier Mordrel, have petitioned us to create a new Breton state under our guidance. They clearly understand that they will be subordinate to the Reich, and this regime could serve as a very useful outpost to ensure our interests in western France and the Atlantic remain secure.;;;;;;;;;;X;
1000512a;The Bretons will be useful to our goals. Liberate Britanny!;;;;;;;;;;X;
1000512b;An independent Britanny is not in our interests.;;;;;;;;;;X;
1000513name;Creation of SS-Ordensstaat Burgund;;;;;;;;;;X;
1000513desc;"The SS-Ordensstaat Burgund (SS Order State of Burgundy) was a proposed state that would roughly encompass the medieval borders of the Kingdom of Burgundy. Initially proposed by Heinrich Himmler, he envisioned the transformation of this territory that was once part of the Holy Roman Empire into a model state that would foster a renaissance of European culture under the guidance of the SS. Even the name ""Ordersstaat"" was a historical reference to the medieval state of the Teutonic Order, revered in certain circles as the progenitor of modern Germany. The state's language would initially be French, but through generations of state education would eventually become German.\n \nAlthough Hitler intended to restore the late medieval borders of the Holy Roman Empire by annexing a considerable part of eastern France, Himmler's plans for the SS state also includes Mediterranean access through Provence and large swathes of the French heartland that was once Burgundian territory. Hitler stated that the former area of Burgundy would need to be annexed at some point, which France ""had taken from Germany in her weakest moment"". This grand vision also conflicts with Italy's gains in Chambery and Nice which Himmler is also claiming, and we should make our choice carefully. We may never again have such an opportunity to so greatly weaken France and truly restore the Reich's greatest extent!";;;;;;;;;;X;
1000513a;Create the SS Burgundy state at its maximum extent!;;;;;;;;;;X;
1000513b;Create the SS Burgundy state, but let Italy keep their gains.;;;;;;;;;;X;
1000513c;Create the SS Burgundy state at its maximum extent!;;;;;;;;;;X;
1000513d;This is excessive. Only annex the settlement zone.;;;;;;;;;;X;
1000513e;These plans are far too bold. Do not create SS Burgundy.;;;;;;;;;;X;
1000514name;The French State;;;;;;;;;;X;
1000514desc;"The French State, or more commonly known as Vichy France, was the collaborationist regime set up under Philippe Petain after negotiating with Adolf Hitler on the future of France. Still a controversial figure to this day, Petain believed that he was acting in the best interests of the French by choosing to work with Germany. He held sympathy to the idea that Europe would soon be united under German dominance, that the destiny of Europa lies in ""Une Europe sous l'Allemagne"" - and that the French would be a valuable ally in this Europe united under Germany. With the war concluded, the French government has moved back to Paris and sent a delegation to Versailles at our behest.\n \nHitler has chosen the location of the peace negotiations at this very significant location - the Hall of Mirrors in Versailles. Knowing that the French are in no position to negotiate against the Reich that has cast aside all enemies that have stood before it, Petain and his entourage agree to the terms presented - the Third Treaty of Versailles has been signed.\n \nIn 1871, the German Empire was proclaimed in this beautiful hallmark of European culture, and in 1919 the despised treaty made possible by the November Criminals was put to pen here as well. Now, on this historic day, the war in the Europe comes to an end and the New Order dawns. We have achieved what no other German statesman has ever accomplished before, and France will never be a threat to us ever again!";;;;;;;;;;X;
1000514a;Une Europe sous l'Allemagne! Proclaim the French State!;;;;;;;;;;X;
1000514b;France will remain occupied.;;;;;;;;;;X;
1000600name;The Treaty of Moscow;;;;;;;;;;X;
1000600desc;"The war in the east has come to an end. Through brilliant command and the superiority of the Wehrmacht, the cities of Moscow, Leningrad and Stalingrad all fell before our furious blitzkrieg. Leadership within the Soviet Union knew that the complete collapse of their degenerate state was inevitable, forcing them to submit to our demands or face utter annihilation. A final peace treaty has been signed in Moscow between representatives of the remaining Soviet leadership and the German delegation led by Joachim von Ribbentrop. The utter humiliation of the Soviet delegation was palpable as they were forced to submit to our demands in the Kremlin. During the delegations, Wehrmacht soldiers march triumphantly in the Red Square as the Reichskriegsflagge is raised above St. Basil's Cathedral. Where Napoleon had failed, the Reich has triumphed.\n \nOur demands were clear - all territory west of the Volga river would be ceded to the Reich in perpetuity. This would also include the area of Astrakhan and all territory west of the Sukhana and Dvina rivers, including the city of Arkhangelsk. All territory between the Gulf of Finland and the Barents Sea would be ceded to Finland or placed under German administration as we saw fit. The area of Bessarabia would be returned to Romania, and the territory of Odessa up to the Dnister river would be ceded to Romania as well.\n \nThe war in the east, or as Hitler would later call it ""The War of Germanic Awakening"" has come to an end. Victory!";;;;;;;;;;X;
1000600a;Der Drang nach Osten has finally been realized!;;;;;;;;;;X;
1000601name;Victory parade in Berlin;;;;;;;;;;;
1000601desc;With the conclusion of the war in the east, a grand parade has been staged in Berlin. Since the signing of the peace treaty with the Soviets, Goebbels and his staff have been hastily preparing the most prestigious celebrations ever seen in Germany. The Führer himself rides with the procession, much to the adoration of the cheering crowds. Any rumours of his failing health have been cast into serious doubt as he appears more vital that ever, invigorated by the victory over the Soviet Union. Many of our men from the eastern front were given temporary leave of absence to attend the momentous event, much to the joy of their families and young German women who have been eagerly awaiting their return. They come home not only as soldiers, but as heroes that have destroyed the greatest threat ever known to European civilization - Bolshevism. The Luftwaffe takes to the skies in the largest air show ever seen as the Wehrmacht steps in perfect unison in the streets below.\n \nThe event, while a genuine display of relief at the victorious result of the titanic struggle against the Soviets, was designed primarily as a propaganda show to soothe the German public in anticipation of our struggles yet to come. The remaining Allied nations still need to be convinced to cease their senseless struggle against the Reich, and Hitler's vision of Europe ending at the Urals is yet to be fulfilled. Not only that, our greatest logistical challenge is yet to come - the incorporation of our eastern conquests into the Reich. A special program has been created for just that purpose: Generalplan Ost.;;;;;;;;;;X;
1000601a;There is much work to be done. For now, our heroes celebrate.;;;;;;;;;;X;
1000602name;Generalplan Ost - First Phase;;;;;;;;;;;
1000602desc;Generalplan Ost refers to the organized plan of German colonization that would be needed to effectively integrate the conquered territories of the Soviet Union both during and after the war on the eastern front. There were a variety of propositions for this idea, most notably by the RKF (Reich Commissioner for the Consolidation of German Nationhood), an office held by ReichsFührer-SS Heinrich Himmler. Through a planned program of settling German populations in the lands annexed from the Soviet Union, it was expected that the realization of this vision could be accomplished in approximately 20 to 25 years with the migration of 8 to 10 million settlers. After the German defeat at Stalingrad in 1943, these concepts were largely abandoned due to the turning tide of the war.\n \nNow that the war with the Soviet Union has been won, these plans can be put into motion. This will require an enormous investment of industrial capacity, supplies transportation, manpower, raw resources, money, and a large police force to keep control in the conquered territory. The final version of Generalplan Ost has been prepared by the RKF, and only awaits your approval. Once the quoted expenses are approved, the Ostministerium will immediately begin allocating resources towards developing the east. Be sure that the Reich is prepared before you take on this monumental project.;;;;;;;;;;X;
1000602a;These lands will be German in both blood and soil.;;;;;;;;;;X;
1000602b;Do not speak of this idea ever again.;;;;;;;;;;X;
1000603name;Generalplan Ost - Pacification of the East;;;;;;;;;;;
1000603desc;Upon the invasion of the Soviet Union in 1941, many local residents initially saw the Germans as potential liberators of the repressive Soviet regime. However, the occupation policies pursued by their would-be saviors against communism made it abundantly clear that Hitler's foreign policy did not have collaboration in mind. Disappointed and disenfrachised, many of these groups took up arms against the occupying Germans in the territories of the Baltic States, Ukraine, Belarus and Poland. One of the primary effects of these resistance movements was disruption of already overextended German supply lines, causing chaos and supply shortages on the front lines. Later in the war, the Red Army would coordinate assaults with partisan cells, making them a vital component in their war against the Reich.\n \nEliminating the resistance of these partisan groups is the initial objective of Generalplan Ost. The safety of German settlers and their families must be assured, and the land must be made available for their homesteads. Our forces are now in position to begin pacifying the local populations of our conquered territory. Once this phase of Generalplan Ost is completed, we may begin aggressively colonizing and developing infrastructure.\n \nThis action will be sure to provoke heavy resistance against us. We are already receiving reports of underground partisan movements collaborating for a large-scale uprising in response to our sanitization forces being put into place. Be sure to police the eastern territories well, or these rebellions may get out of control! We will be unable to progress with our plans if any of our territory is under the control of partisans.;;;;;;;;;;X;
1000603a;Make them understand that this land now belongs to the Reich.;;;;;;;;;;X;
1000604name;Existential conflict;;;;;;;;;;;
1000604desc;Local populations under our rule have risen in revolt!;;;;;;;;;;X;
1000604a;Suppress the uprising!;;;;;;;;;;X;
1000605name;Uprising in the East;;;;;;;;;;;
1000605desc;After the surrender of the Soviet Union, residents of the conquered areas were uncertain what their fate as part of the Reich would be. A few months after the conclusion of the war, it quickly became apparent that they had fallen under the rule of an even more brutal regime than what they had experienced under Stalin. What began as localized incidents has erupted into an enormous partisan uprising encompassing all of the conquered Soviet territories.\n \nFrom the Baltic to the Caucasus, local populations have risen up in a final attempt to liberate themselves. People of all nationalities and ideologies now realize that they are engaged in a definitive Kulturkampf against us, and they have set aside their differences to unite against our will. We must crush this rebellion before our plans can move forward! ;;;;;;;;;;X;
1000605a;Annihilate them! None will stand in the way of our destiny!;;;;;;;;;;X;
1000606name;Calm after the Storm;;;;;;;;;;;
1000606desc;What wasn't already destroyed by the German blitzkrieg in the former territories of the Soviet Union now lies in shambles. The mass uprising that erupted in response to our initial stages of Generalplan Ost has been crushed, and along with it, much of the infrastructure and industry that was left intact after the war. From deliberate sabotage to collateral damage, the East lies in ruins - a graveyard of bodies, rubble and machinery. Plumes of smoke rise above the landscape as our forces patrol the countryside for any remaining pockets of resistance.\n \nAlthough we have lost a great deal of heavy industry and useful infrastructure, the pacification of the east has been conveniently accelerated by this conflict. Cleanup crews are already at work clearing the land for future development. The majority of the factories and infrastructure that was damaged in the chaos will take some time to rebuild and staff with laborers. While it will still take many years before the final pockets of resistance have been eliminated, we can now begin the next phases of Generalplan Ost.;;;;;;;;;;X;
1000606a;All the better for our future civilization.;;;;;;;;;;X;
1000607name;Empire of Ruins;;;;;;;;;;;
1000607desc;The mass rebellion has caused enormous damage to the resources in our territory!;;;;;;;;;;X;
1000607a;At least things are calmer now.;;;;;;;;;;X;
1000608name;Partisan uprising;;;;;;;;;;;
1000608desc;Partisan groups have risen against our rule!;;;;;;;;;;X;
1000608a;Crush them!;;;;;;;;;;X;
1000608b;Organized resistance has finally been eradicted.;;;;;;;;;;X;
1000609name;Partisan uprising;;;;;;;;;;;
1000609desc;Partisan groups have risen against our rule!;;;;;;;;;;X;
1000609a;Crush them!;;;;;;;;;;X;
1000609b;Organized resistance has finally been eradicted.;;;;;;;;;;X;
1000610name;Partisan uprising;;;;;;;;;;;
1000610desc;Partisan groups have risen against our rule!;;;;;;;;;;X;
1000610a;Crush them!;;;;;;;;;;X;
1000610b;Organized resistance has finally been eradicted.;;;;;;;;;;X;
1000611name;Partisan uprising;;;;;;;;;;;
1000611desc;Partisan groups have risen against our rule!;;;;;;;;;;X;
1000611a;Crush them!;;;;;;;;;;X;
1000611b;Organized resistance has finally been eradicted.;;;;;;;;;;X;
1000612name;Generalplan Ost - Eastern Colonization;;;;;;;;;;;
