Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'Now we are all sons-of-bitches.';Kenneth Tompkins Bainbridge on July 16, 1945, after the detonation of the first atomic bomb, 'The Gadget' (Attributed to Robert Oppenheimer);;;;;;;;;;;;;;
'Never in the field of human conflict, has so much, been owed by so many, to so few!';Sir Winston Churchill;;;;;;;;;;;;;;
'In twelve years from now, you will not recognize Berlin.';Adolf Hitler, 1933;;;;;;;;;;;;;;
'The assertion that it is the intention of the German Reich to coerce the Austrian State is absurd.';Adolf Hitler, January 1934;;;;;;;;;;;;;;
'My Luftwaffe is invincible...And so now we turn to England. How long will this one last - two, three weeks?';Hermann Goring, June 1940;;;;;;;;;;;;;;
'A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward.';Franklin D. Roosevelt;;;;;;;;;;;;;;
'Who controls the past controls the future. Who controls the present controls the past.';George Orwell;;;;;;;;;;;;;;
'This war is not an ordinary war. It is the war of the entire Russian people.';Josef Stalin;;;;;;;;;;;;;;
'Before we're through with them, the Japanese language will be spoken only in hell!';Admiral Halsey;;;;;;;;;;;;;;
'Hell is on us.';Mamoru Shigemitsu, June 1944;;;;;;;;;;;;;;
'Defend Paris to the last, destroy all bridges over the Seine and devastate the city.';Adolf Hitler;;;;;;;;;;;;;;
'I saw my enemies in Munich, and they are worms.';Adolf Hitler;;;;;;;;;;;;;;
'Why should this war in the West be fought for the restoration of Poland? The Poland of the Versailles Treaty will never rise again.';Adolf Hitler;;;;;;;;;;;;;;
'Germany must either be a world power or there will be no Germany.';Adolf Hitler;;;;;;;;;;;;;;
'Which would your men rather be, tired, or dead?';Erwin Rommel;;;;;;;;;;;;;;
'I have seen war...I hate war.';Franklin D. Roosevelt;;;;;;;;;;;;;;
'Force is the only language they understand, like bullies.';Franklin D. Roosevelt;;;;;;;;;;;;;;
'If we have power, we'll never give it up again unless we're carried out of our offices as corpses.';Joseph Goebbels;;;;;;;;;;;;;;
'Do you want a total war?';Joseph Goebbels;;;;;;;;;;;;;;
'It is evil things we shall be fighting against, brute force, bad faith, injustice, oppression and persecution.';Neville Chamberlain;;;;;;;;;;;;;;
'Without ships, we cannot live.';Sir Winston Churchill;;;;;;;;;;;;;;
'Any alliance whose purpose is not the intention to wage war is senseless and useless.';Adolf Hitler;;;;;;;;;;;;;;
'In a time of war, the law falls silent.';Ciceron;;;;;;;;;;;;;;
'Logistics is the ball and chain of armored warfare.';Heinz Guderian;;;;;;;;;;;;;;
'Anyone who sees and paints a sky green and fields blue ought to be sterilized.';Adolf Hitler;;;;;;;;;;;;;;
'You may not be interested in war, but war is interested in you.';Leon Trotsky;;;;;;;;;;;;;;
'In war, truth is the first casualty.';Eschyle;;;;;;;;;;;;;;
'All wars will be settled by sea power.';Erich Raeder;;;;;;;;;;;;;;
'It is fatal to enter any war without the will to win it.';General Douglas MacArthur;;;;;;;;;;;;;;
'Demoralize the enemy from within by surprise, terror, sabotage, assassination. This is the war of the future.';Adolf Hitler;;;;;;;;;;;;;;
'How fortunate for governments that the people they administer don't think.';Adolf Hitler;;;;;;;;;;;;;;
'My motto is 'Destroy him by all and any means.' I am the one who will wage the war!';Adolf Hitler;;;;;;;;;;;;;;
'I do not see why man should not be just as cruel as nature.';Adolf Hitler;;;;;;;;;;;;;;
'If today I stand here as a revolutionary, it is as a revolutionary against the Revolution.';Adolf Hitler;;;;;;;;;;;;;;
'All warfare is based on deception.';Sun Tzu;;;;;;;;;;;;;;
'In the eyes of empire builders men are not men but instruments.';Napoleon Bonaparte;;;;;;;;;;;;;;
'Never do an enemy a small injury.';Niccolò Machiavelli;;;;;;;;;;;;;;
'I use emotion for the many and reserve reason for the few.';Adolf Hitler;;;;;;;;;;;;;;
'The supreme excellence is to subdue the armies of your enemies without even having to fight them...';Sun Tzu;;;;;;;;;;;;;;
'If you tell a big enough lie and tell it frequently enough, it will be believed.';Adolf Hitler;;;;;;;;;;;;;;
'Who says I am not under the special protection of God?';Adolf Hitler;;;;;;;;;;;;;;
'The victor will never be asked if he told the truth.';Adolf Hitler;;;;;;;;;;;;;;
'The great strength of the totalitarian state is that it forces those who fear it to imitate it.';Adolf Hitler;;;;;;;;;;;;;;
'Whoever lights the torch of war in Europe can wish for nothing but chaos.';Adolf Hitler;;;;;;;;;;;;;;
'The statesman who yields to war fever... is no longer the master of policy but the slave of unforeseeable and uncontrollable events.';Sir Winston Churchill;;;;;;;;;;;;;;
'Then will come a National Socialist State tribunal, then will November, 1918, be expiated, then the heads will roll.';Adolf Hitler;;;;;;;;;;;;;;
'I believe that Providence would never have allowed us to see the victory of the Movement;if it had the intention after all to destroy us at the end.' Adolf Hitler;;;;;;;;;;;;;;
'Wars teach us not to love our enemies, but to hate our allies.';W. L. George;;;;;;;;;;;;;;
'I am beginning with the young. We older ones are used up. Yes, we are old already. We are cowardly and sentimental.';Adolf Hitler;;;;;;;;;;;;;;
'Politics is the womb in which war develops.';Carl von Clausewitz;;;;;;;;;;;;;;
'In the course of my life I have very often been a prophet, and have usually been ridiculed for it.';Adolf Hitler;;;;;;;;;;;;;;
'Life never forgives weaknesses.';Adolf Hitler;;;;;;;;;;;;;;
'There is nothing so likely to produce peace as to be well prepared to meet the enemy.';George Washington;;;;;;;;;;;;;;
'The world is a dangerous place, not because of those who do evil, but because of those who look on and do nothing.';Albert Einstein;;;;;;;;;;;;;;
'I have not come into this world to make men better, but to make use of their weaknesses.';Adolf Hitler;;;;;;;;;;;;;;
'There is no glory in battle worth the blood it costs.';Dwight D. Eisenhower;;;;;;;;;;;;;;
'For the sake of historical truth I must verify that only the Greeks, of all the adversaries;who confronted us, fought with bold courage and highest disregard of death.' Adolf Hitler;;;;;;;;;;;;;;
'Providence shows no mercy to weak nations, but recognizes the right of existence-only of sound and strong nations.';Adolf Hitler;;;;;;;;;;;;;;
'All nations want peace, but they want a peace that suits them.';Admiral Sir John Fisher;;;;;;;;;;;;;;
'I intend to set up a thousand-year Reich and anyone who supports me in this battle is a fellow-fighter for a unique divine creation.';Adolf Hitler;;;;;;;;;;;;;;
'The belief in the possibility of a short decisive war appears to be one of the most ancient and dangerous of human illusions.';Robert Lynd;;;;;;;;;;;;;;
'There will no longer exist any individual arbitrary will, nor realms in which the individual belongs to himself.;The time of happiness as a private matter is over.' Adolf Hitler;;;;;;;;;;;;;;
'A man may die, nations may rise and fall, but an idea lives on.';John F. Kennedy;;;;;;;;;;;;;;
'Politics is history in the making.';Adolf Hitler;;;;;;;;;;;;;;
'A leader leads by example, not by force.';Sun Tzu;;;;;;;;;;;;;;
'Let your plans be as dark and impenetrable as night, and when you move, fall like a thunderbolt.';Sun Tzu;;;;;;;;;;;;;;
'Anyone who truly wants to go to war has truly never been there before.';Larry Reeves;;;;;;;;;;;;;;
'We want this people to be hard, not soft, and you must steel yourselves for it in your youth!';Adolf Hitler;;;;;;;;;;;;;;
'It is not the State that orders us, but it is we who order the State!';Adolf Hitler;;;;;;;;;;;;;;
'We can safely make one prophecy: whatever the outcome of this war, the British Empire is at an end. It has been mortally wounded.';Adolf Hitler, 1945;;;;;;;;;;;;;;
'The purpose of war is to support your government's decisions by force.';Robert Heinlein;;;;;;;;;;;;;;
'A war is not lost until you consider it lost.';Erich von Manstein;;;;;;;;;;;;;;
'We should have known better after the first war.';Gerd von Rundstedt;;;;;;;;;;;;;;
'War never ends, it only pales, reddens, blackens, and lightens again.';Stephen Rawn;;;;;;;;;;;;;;
'History does not long entrust the care of freedom to the weak, or the timid.';Dwight D. Eisenhower;;;;;;;;;;;;;;
'I have never liked France or the French, and I have never stopped saying so.';Adolf Hitler;;;;;;;;;;;;;;
'In war, the morale is to the material as three is to one.';Napoleon Bonaparte;;;;;;;;;;;;;;
'I have been Europe's last hope. She proved incapable of refashioning herself by means of voluntary reform. To take her I had to use violence.';Adolf Hitler;;;;;;;;;;;;;;
'Sweat saves blood, blood saves lives, brain save both.';Erwin Rommel;;;;;;;;;;;;;;
'You only have to kick in the door and the whole rotten structure will come crashing down.';Adolf Hitler on invading the Soviet Union;;;;;;;;;;;;;;
'Gentlemen, you are about to witness the most famous victory in history.';Adolf Hitler addressing his generals on May 9th 1940;;;;;;;;;;;;;;
'Let us have a dagger between our teeth, a bomb in our hands and an infinite scorn in our hearts.';Benito Mussolini;;;;;;;;;;;;;;
'The truth is that men are tired of liberty.';Benito Mussolini;;;;;;;;;;;;;;
'Blood alone moves the wheels of history.';Benito Mussolini;;;;;;;;;;;;;;
'Wipe out the entire defense potential remaining to the Soviets.';Directive 41 issued to German Army generals;;;;;;;;;;;;;;
'Dunkirk has fallen...with it has ended the greatest battle of world history. Soldiers! You have not disappointed me.';Adolf Hitler on June 5th 1940;;;;;;;;;;;;;;
'The leader is always alone before bad fates.';Charles de Gaulle;;;;;;;;;;;;;;
'A victory at Kursk would shine like a beacon to the world!';Adolf Hitler;;;;;;;;;;;;;;
'I fear all we have done is to awaken a sleeping giant and fill him with a terrible resolve.';Isoroku Yamamoto, 7 December 1941;;;;;;;;;;;;;;
'If the tanks succeed, then victory follows.';Heinz Guderian;;;;;;;;;;;;;;
'Politics is war without bloodshed, while war is politics with bloodshed.';Mao Zedong;;;;;;;;;;;;;;
'The more people you kill, the more revolutionary you are. ';Mao Zedong;;;;;;;;;;;;;;
'The Mediterranean will be turned into an Italian lake.';Benito Mussolini;;;;;;;;;;;;;;
'Wars may be fought with weapons, but they are won by men.';George S. Patton;;;;;;;;;;;;;;
'Never tell people how to do things. Tell them what to do, and they will surprise you with their ingenuity.';George S. Patton;;;;;;;;;;;;;;
'Don't fight a battle if you don't gain anything by winning.';George S. Patton;;;;;;;;;;;;;;
'With stout hearts, and with enthusiasm for the contest, let us go forward to victory.';Bernard Law Montgomery, 5 June 1944;;;;;;;;;;;;;;
'No revolution is worth anything unless it can defend itself.';Vladimir Lenin;;;;;;;;;;;;;;
'To every man of us, Tobruk was a symbol of British resistance and we were now going to finish with it for good.';Erwin Rommel, June 1942;;;;;;;;;;;;;;
'Oppression is the essence of power.';Ernst Kaltenbrunner;;;;;;;;;;;;;;
'We learn from history that we learn nothing from history.';George Bernard Shaw;;;;;;;;;;;;;;
'The enemy must be annihilated before he reaches our main battlefield. We must stop him in the water, destroying all his equipment while it is still afloat!';Erwin Rommel, April 22nd 1944;;;;;;;;;;;;;;
'History repeats itself, first as tragedy, second as farce.';Karl Marx;;;;;;;;;;;;;;
'History will be kind to me for I intend to write it.';Sir Winston Churchill;;;;;;;;;;;;;;
'The Soviet Union, as everybody who has the courage to face the fact knows, is run by a dictatorship as absolute as any other dictatorship in the world.';Franklin Delano Roosevelt;;;;;;;;;;;;;;
'I say that the delivery of needed supplies to Britain is imperative. I say that this can be done, it must be done, and it will be done.';Franklin Delano Roosevelt, May 27th 1941;;;;;;;;;;;;;;
'On this tenth day of June 1940, the hand that held the dagger has struck it into the back of its neighbor.';Franklin Delano Roosevelt, in reference to Benito Mussolini;;;;;;;;;;;;;
'The Russian Colossus has been underestimated by us. Whenever a dozen divisions are destroyed the Russians replace them with another dozen.';German Army General Chief of Staff Franz Haldervon Armin;;;;;;;;;;;;;;
'Singapore could only be taken after a siege by an army of at least 50,000 men. It is not considered possible that the Japanese would embark on such a mad enterprise.';Winston Churchill, 1940;;;;;;;;;;;;;;
'The object of war is not to die for your country but to make the other bastard die for his.';George S. Patton;;;;;;;;;;;;;;
'When you get to the end of your rope, tie a knot and hang on.';Franklin D. Roosevelt;;;;;;;;;;;;;;
'The Chinese soldier was tough, brave, and experienced. After all he had been fighting on his own without help for years. He was a veteran among the Allies.';General Bill Slim;;;;;;;;;;;;;;
'The death of one man is a tragedy. The death of millions is a statistic.';Kurt Tucholsky;;;;;;;;;;;;;;
'Death solves all problems - no man, no problem.';Anatoly Rybakov;;;;;;;;;;;;;;
'In the Soviet army it takes more courage to retreat than advance.';Joseph Stalin;;;;;;;;;;;;;;
'If the opposition disarms, well and good. If it refuses to disarm, we shall disarm it ourselves.';Joseph Stalin;;;;;;;;;;;;;;
'We happy few, we band of brothers. For he today that sheds his blood with me shall be my brother.';William Shakespeare;;;;;;;;;;;;;;
'Ours is a world of nuclear giants and ethical infants. We know more about war than we know about peace, more;about killing than we know about living.' Omar Bradley;;;;;;;;;;;;;;
'Battles are won by slaughter and maneuver. The greater the general, the more he contributes in maneuver, the less he demands in slaughter.';Sir Winston Churchill;;;;;;;;;;;;;;
'We shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds.;We shall fight in the fields and in the streets. We shall fight in the hills. We shall never surrender!' Sir Winston Churchill;;;;;;;;;;;;;;
'Good night, then. Sleep to gather strength for the morning. For the morning will come.';Winston Churchill to the people of France, October 1940;;;;;;;;;;;;;;
'Before Alamein, we had no victories. After Alamein, we had no defeats.';Winston Churchill';;;;;;;;;;;;;;
'In Hitler's launching of the Nazi campaign on Russia, we can already see, after six months of fighting, that he has made one of the outstanding blunders in history.';Winston Churchill, december 1941;;;;;;;;;;;;;;
'It is part of the general pattern of misguided policy that our country is now geared to an arms economy which was bred in an;artificially induced psychosis of war hysteria and nurtured upon an incessant propaganda of fear.' General Douglas MacArthur, 15 May 1951;;;;;;;;;;;;;;
'We have taken a grave and hazardous decision to sustain the Greeks and try to make a Balkan Front.';Winston Churchill;;;;;;;;;;;;;;
'To walk through the ruined cities of Germany is to feel an actual doubt about the continuity of civilization.';George Orwell;;;;;;;;;;;;;;
'The Battle of France is over. The Battle of Britain is about to begin. Upon this battle depends the future of Christian civilization.';Winston Churchill, June 1940;;;;;;;;;;;;;;
'War is peace. Freedom is slavery. Ignorance is strength.';George Orwell;;;;;;;;;;;;;;
'War is war. The only good human being is a dead one.';George Orwell;;;;;;;;;;;;;;
'The whole of northern Norway was covered with snow to depths which none of our soldiers had ever seen, felt, or imagined. Thus began this ramshackle campaign.';Winston Churchill';;;;;;;;;;;;;;
'Greater Germany - the dream of our fathers and grandfathers - is finally created.';German Armaments Magnate Gustav Krupp von Bohlen;;;;;;;;;;;;;;
'If it moves, salute it. If it doesn't move, pick it up. And if you can't pick it up, paint it.';Anonymous (1940's saying);;;;;;;;;;;;;;
'They sowed the wind, and now they are going to reap the whirlwind.';British Air Marshal 'Bomber' Harris;;;;;;;;;;;;;;
'This is not a peace. It is an armistice for twenty years.';Marshal Ferdinand Foch, 1919;;;;;;;;;;;;;;
'We in Poland do not know the concept of peace at any price. There is only one thing in the lives of men, nations and;countries that is without price. That thing is honour!' Jozef Beck, Minister of Foreign Affairs of Poland, 5th May 1939;;;;;;;;;;;;;;
'To be defeated and not submit, is victory. To be victorious and rest on one's laurels, is defeat.';Jozef Pilsudski;;;;;;;;;;;;;;
