#######################;;;;;;;;;;;X
# muster; -1- ; -2- ; -3- ; -4- ; -5- ; -6- ;; -8- ;;;X
#######################;;;;;;;;;;;X
# Majors;;;;;;;;;;;X
# England;;;;;;;;;;;X
# England land brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_1_0;Ordnance BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;Artillería BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;;Ordnance BL 15pdr;;;X
BRIG_MODEL_ENG_1_1;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Artillería QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;;Ordnance QF 4.5inch;;;X
BRIG_MODEL_ENG_1_2;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;;BL 6inch Mk. VII;;;X
BRIG_MODEL_ENG_1_3;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;;BL 8inch Mk. VI ;;;X
BRIG_MODEL_ENG_1_4;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;;BL 6inch Mk. XIX;;;X
BRIG_MODEL_ENG_1_5;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Artillería QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;;Ordnance QF 18pdr Mk II;;;X
BRIG_MODEL_ENG_1_6;;;;;;;;;;;X
BRIG_MODEL_ENG_1_7;;;;;;;;;;;X
BRIG_MODEL_ENG_1_8;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Artillería QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;;Ordnance QF 18pdr Mk IV;;;X
BRIG_MODEL_ENG_1_9;Ordnance QF 25pdr;Ordnance QF 25pdr;Ordnance QF 25pdr;Artillería QF 25pdr;Ordnance QF 25pdr;Ordnance QF 25pdr;;Ordnance QF 25pdr;;;X
BRIG_MODEL_ENG_1_10;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;;BL 4,5inch;;;X
BRIG_MODEL_ENG_1_11;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;;155mm Howitzer;;;X
BRIG_MODEL_ENG_1_12;;;;;;;;;;;X
BRIG_MODEL_ENG_1_13;;;;;;;;;;;X
BRIG_MODEL_ENG_2_0;Birch;Birch;Birch;Birch;Birch;Birch;;Birch;;;X
BRIG_MODEL_ENG_2_1;Bishop;Bishop;Bishop;Obispo;Bishop;Bishop;;Bishop;;;X
BRIG_MODEL_ENG_2_2;M7 Priest;M7 Priest;M7 Priest;M7 Priest;M7 Priest;M7 Priest;;M7 Priest;;;X
BRIG_MODEL_ENG_2_3;25pdr SP. Sexton;25pdr SP. Sexton;25pdr SP. Sexton;Sacristán;25pdr SP. Sexton;25pdr SP. Sexton;;25pdr SP. Sexton;;;X
BRIG_MODEL_ENG_2_4;M40 GMC;M40 GMC;M40 GMC;M40 GMC;M40 GMC;M40 GMC;;M40 GMC;;;X
BRIG_MODEL_ENG_2_5;;;;;;;;;;;X
BRIG_MODEL_ENG_2_6;;;;;;;;;;;X
BRIG_MODEL_ENG_2_7;M107 GMC;M107 GMC;M107 GMC;M107 GMC;M107 GMC;M107 GMC;;M107 GMC;;;X
BRIG_MODEL_ENG_6_0;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;;2Pdr.Portee;;;X
BRIG_MODEL_ENG_6_1;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;;Archilles Mk. IC;;;X
BRIG_MODEL_ENG_6_2;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;;Sherman Firefly;;;X
BRIG_MODEL_ENG_6_3;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;;17pdr Archer;;;X
BRIG_MODEL_ENG_6_4;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;;A39 Tortoise;;;X
BRIG_MODEL_ENG_6_5;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;;FV4101 Charioteer;;;X
BRIG_MODEL_ENG_6_6;;;;;;;;;;;X
BRIG_MODEL_ENG_6_7;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;;FV4401 Contentious;;;X
BRIG_MODEL_ENG_7_0;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;;Mark A Whippet;;;X
BRIG_MODEL_ENG_7_1;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;;Mark C Hornet;;;X
BRIG_MODEL_ENG_7_2;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;;Vickers L-A Mk I;;;X
BRIG_MODEL_ENG_7_3;Vickers L-A Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;;Vickers Mk II;;;X
BRIG_MODEL_ENG_7_4;Vickers L-A Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;;Vickers Mk III;;;X
BRIG_MODEL_ENG_7_5;Vickers L-A Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;;Vickers Mk VI;;;X
BRIG_MODEL_ENG_7_6;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;;Mk. I A9 Cruiser;;;X
BRIG_MODEL_ENG_7_7;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;;Mk. II A10 Cruiser;;;X
BRIG_MODEL_ENG_7_8;M5 Honey;M5 Honey;M5 Honey;M5 Honey;M5 Honey;M5 Honey;;M5 Honey;;;X
BRIG_MODEL_ENG_8_0;Mark IV;Mark IV;Mark IV;Mark IV;Mark IV;Mark IV;;Mark IV;;;X
BRIG_MODEL_ENG_8_1;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;;Matilda Mk. II;;;X
BRIG_MODEL_ENG_8_2;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;;Mk. III Valentine;;;X
BRIG_MODEL_ENG_8_3;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;;Churchill Mk. III;;;X
BRIG_MODEL_ENG_8_4;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;;Churchill Mk. VII;;;X
BRIG_MODEL_ENG_8_5;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;;FV214 Conqueror;;;X
BRIG_MODEL_ENG_9_0;Mark I;Mark I;Mark I;Mark I;Mark I;Mark I;;Mark I;;;X
BRIG_MODEL_ENG_9_1;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;;A43 Black Prince;;;X
BRIG_MODEL_ENG_10_0;Motor War Car;Motor War Car;Motor War Car;Motor War Car;Motor War Car;Motor War Car;;Motor War Car;;;X
BRIG_MODEL_ENG_10_1;Rolls-Royce Armored Car;Rolls-Royce Armored Car;Rolls-Royce Armored Car;Rolls-Royce Armored Car;Rolls-Royce Armored Car;Rolls-Royce Armored Car;;Rolls-Royce Armored Car;;;X
BRIG_MODEL_ENG_10_2;Lanchester 6x4 Armored Car;Lanchester 6x4 Armored Car;Lanchester 6x4 Armored Car;Lanchester 6x4 Armored Car;Lanchester 6x4 Armored Car;Lanchester 6x4 Armored Car;;Lanchester 6x4 Armored Car;;;X
BRIG_MODEL_ENG_10_3;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;;Carden-Loyd Mk.VI;;;X
BRIG_MODEL_ENG_10_5;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;;Humber Scout Car;;;X
BRIG_MODEL_ENG_10_6;AEC Armored Car Mk. III;AEC Armored Car Mk. III;AEC Armored Car Mk. III;AEC Armored Car Mk. III;AEC Armored Car Mk. III;AEC Armored Car Mk. III;;AEC Armored Car Mk. III;;;X
BRIG_MODEL_ENG_10_7;Ferret armored car;Ferret armored car;Ferret armored car;Ferret armored car;Ferret armored car;Wóz pancerny Ferret;;Ferret armored car;;;X
BRIG_MODEL_ENG_10_8;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;;FV601 Saladin;;;X
# England air brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_14_0;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;;Fairey III;;;X
BRIG_MODEL_ENG_14_1;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;;Seal/Ripon/Nimrod;;;X
BRIG_MODEL_ENG_14_2;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;;Shark/Baffin/Sea Gladiator;;;X
BRIG_MODEL_ENG_14_3;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;;Skua/Swordfish/Roc;;;X
BRIG_MODEL_ENG_14_4;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;;Skua/Albacore/Fulmar;;;X
BRIG_MODEL_ENG_14_5;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;;Barracuda/Firefly;;;X
BRIG_MODEL_ENG_14_6;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;;Sea Hornet/Wyvern/Sea Fury;;;X
BRIG_MODEL_ENG_14_7;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;;Sea Hawk/Attacker;;;X
BRIG_MODEL_ENG_14_8;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;;Sea Venom/Scimitar;;;X
BRIG_MODEL_ENG_14_9;Sea Hawk (F-1) / Sea Hawk (FB-3);Sea Hawk (F-1) / Sea Hawk (FB-3);Sea Hawk (F-1) / Sea Hawk (FB-3);Sea Hawk (F-1) / Sea Hawk (FB-3);Sea Hawk (F-1) / Sea Hawk (FB-3);Sea Hawk (F-1) / Sea Hawk (FB-3);;Sea Hawk (F-1) / Sea Hawk (FB-3);;;X
BRIG_MODEL_ENG_15_0;Boulton Paul Defiant;Boulton Paul Defiant;Boulton Paul Defiant;Boulton Paul Defiant;Boulton Paul Defiant;Boulton Paul Defiant;;Boulton Paul Defiant;;;X
BRIG_MODEL_ENG_15_1;Westland Whirlwind;Westland Whirlwind;Westland Whirlwind;Westland Whirlwind;Westland Whirlwind;Westland Whirlwind;;Westland Whirlwind;;;X
BRIG_MODEL_ENG_15_2;de Havilland Mosquito F Mk.II;de Havilland Mosquito F Mk.II;de Havilland Mosquito F Mk.II;de Havilland Mosquito F Mk.II;de Havilland Mosquito F Mk.II;de Havilland Mosquito F Mk.II;;de Havilland Mosquito F Mk.II;;;X
BRIG_MODEL_ENG_15_3;Westland Welkin;Westland Welkin;Westland Welkin;Westland Welkin;Westland Welkin;Westland Welkin;;Westland Welkin;;;X
BRIG_MODEL_ENG_15_4;de Havilland Hornet;de Havilland Hornet;de Havilland Hornet;de Havilland Hornet;de Havilland Hornet;de Havilland Hornet;;de Havilland Hornet;;;X
BRIG_MODEL_ENG_15_5;Hawker Hunter;Hawker Hunter;Hawker Hunter;Hawker Hunter;Hawker Hunter;Hawker Hunter;;Hawker Hunter;;;X
BRIG_MODEL_ENG_15_6;Supermarine Scimitar;Supermarine Scimitar;Supermarine Scimitar;Supermarine Scimitar;Supermarine Scimitar;Supermarine Scimitar;;Supermarine Scimitar;;;X
# England land units;;;;;;;;;;;X
MODEL_ENG_4_0;Vickers L-A Mk. VI;Vickers Mk. VI;Vickers Mk. VI;Vickers Mk. VI;Vickers Mk. VI;Vickers Mk. VI;;Vickers Mk. VI;;;X
MODEL_ENG_4_1;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;;Mk. I A9 Cruiser;;;X
MODEL_ENG_4_2;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;;Mk. II A10 Cruiser;;;X
MODEL_ENG_5_0;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;;Mk. IV A13 Cruiser;;;X
MODEL_ENG_5_1;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;;Mk. VI A15 Crusader;;;X
MODEL_ENG_5_2;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;;Mk. VIII A23M Cromwell;;;X
MODEL_ENG_5_3;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;;A34 Comet;;;X
MODEL_ENG_5_4;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;;FV4007 Centurion Mk. III;;;X
MODEL_ENG_5_5;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;;FV4011 Centurion Mk. V;;;X
MODEL_ENG_5_6;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;;FV4015 Centurion Mk. X;;;X
MODEL_ENG_5_7;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;;FV4201 Chieftain;;;X
# England air units;;;;;;;;;;;X
MODEL_ENG_12_0;Sopwith Pup;Sopwith Pup;Sopwith Pup;Sopwith Pup;Sopwith Pup;Sopwith Pup;;Sopwith Pup;;;X
MODEL_ENG_12_1;RAF S.E.5a;RAF S.E.5a;RAF S.E.5a;RAF S.E.5a;RAF S.E.5a;RAF S.E.5a;;RAF S.E.5a;;;X
MODEL_ENG_12_2;Bristol F.2 Fighter;Bristol F.2 Fighter;Bristol F.2 Fighter;Bristol F.2 Fighter;Bristol F.2 Fighter;Bristol F.2 Fighter;;Bristol F.2 Fighter;;;X
