##  STRING NAME (do not change!);;;;;;;;;;;X
## ;;;;;;;;;;;X
##  Technology System Techs below here..;;;;;;;;;;;X
##;;;;;;;;;;;X
RT_ARTILLERY;Artillery;Artillerie;Artiglieria;Artillerнa;Artillerie;Artyleria;;Артиллерия;;;X
RT_MECHANICS;Mechanics;Mйcanique;Meccanica;Mecбnica;Mechanik;Mechanika;;Механика;;;X
RT_ELECTRONICS;Electronics;Йlectronique;Elettronica;Electrуnica;Elektronik;Elektronika;;Электроника;;;X
RT_CHEMISTRY;Chemistry;Chimie;Chimica;Quнmica;Chemie;Chemia;;Химия;;;X
RT_TRAINING;Training;Entraоnement;Addestramento;Instrucciуn;Ьbung;Szkolenie;;Обучение;;;X
RT_GENERAL_EQUIPMENT;General Equipment;Йquipement gйnйral;Equipaggiamento generale;Equipo general;Allgemeine Ausrьstung;Sprzкt ogуlny;;Оборудование общего назначения;;;X
RT_ROCKETRY;Rocketry;Fusйonautique;Missilistica;Tйcnica de cohetes;Raketentechnik;Technologia rakietowa;;Ракетостроение;;;X
RT_NAVAL_ENGINEERING;Naval Engineering;Gйnie maritime;Ingegneria navale;Ingenierнa naval;Marinetechnik;Technologia morska;;Судостроение;;;X
RT_AERONAUTICS;Aeronautics;Aйronautique;Aeronautica;Aeronбutica;Flugtechnik;Lotnictwo;;Авиастроение;;;X
RT_NUCLEAR_PHYSICS;Nuclear Physics;Physique nuclйaire;Fisica nucleare;Fнsica nuclear;Nuklearphysik;Fizyka j№drowa;;Ядерная физика;;;X
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;Gйnie nuclйaire;Ingegneria nucleare;Ingenierнa nuclear;Nukleartechnik;Technika j№drowa;;Ядерная техника;;;X
RT_MANAGEMENT;Management;Gestion;Gestione;Gestiуn;Management;Zarz№dzanie;;Управление;;;X
RT_INDUSTRIAL_ENGINEERING;Industrial Engineering;Gйnie industriel;Ingegneria industriale;Ingenierнa industrial;Produktionstechnik;Organizacja produkcji;;Станкостроение;;;X
RT_MATHEMATICS;Mathematics;Mathйmatiques;Matematica;Matemбticas;Mathematik;Matematyka;;Математика;;;X
RT_SMALL_UNIT_TACTICS;Small Unit Tactics;Tact. petites unitйs;Tattica unitа piccole;Tбcticas de unidades pequeсas;Kleinverbandstaktiken;Taktyka maіych oddziaіуw;;Тактика малых подразделений;;;X
RT_LARGE_UNIT_TACTICS;Large Unit Tactics;Tact. grandes unitйs;Tattica unitа grandi;Tбcticas de grandes unidades;GroЯverbandstaktiken;Taktyka duїych oddziaіуw;;Тактика крупных подразделений;;;X
RT_CENTRALIZED_EXECUTION;Centralized Execution;Exйc. centralisйe;Amministrazione centralizzata;Ejecuciуn centralizada;Zentralisierte Abwicklung;Wykonywanie centralne;;Централизованное исполнение;;;X
RT_DECENTRALIZED_EXECUTION;Decentralized Execution;Exйc. dйcentralisйe;Amministrazione decentralizzata;Ejecuciуn descentralizada;Dezentralisierte Abwicklung;Wykonywanie zdecentralizowane;;Децентрализованное исполнение;;;X
RT_TECHNICAL_EFFICIENCY;Technical Efficiency;Efficacitй technique;Efficienza tecnica;Eficacia tйcnica;Technische Effizienz;Efektywnoњж techniczna;;Техническая эффективность;;;X
RT_INDIVIDUAL_COURAGE;Individual Courage;Courage individuel;Coraggio individuale;Valor individual;Individuelle Courage;Odwaga jednostki;;Личная храбрость;;;X
RT_INFANTRY_FOCUS;Infantry Focus;Objectif infanterie;Importanza sulla fanteria;Concentraciуn en artillerнa;Infanteriefokus;Nacisk na piechotк;;Приоритет - пехота;;;X
RT_COMBINED_ARMS_FOCUS;Combined Arms Focus;Armйes combinйes;Importanza delle armi combinate;Concentraciуn en armamento combinado;Fokus auf kombinierte Waffengattungen;Nacisk na wspуіpracк wojsk;;Приоритет - общевойсковые соединения;;;X
RT_LARGE_UNIT_FOCUS;Large Unit Focus;Obj. grandes unitйs;Importanza sulle unitа grandi;Concentraciуn en unidad grande;GroЯverbandfokus;Nacisk na duїe jednostki;;Приоритет - крупные соединения;;;X
RT_NAVAL_ARTILLERY;Naval Artillery;Artillerie navale;Artiglieria navale;Artillerнa naval;Marineartillerie;Artyleria okrкtowa;;Морская артиллерия;;;X
RT_NAVAL_TRAINING;Naval Training;Entraоnement naval;Addestramento navale;Instrucciуn naval;Marineausbildung;Trening okrкtowy;;Морское обучение;;;X
RT_AIRCRAFT_TESTING;Aircraft Testing;Essais appareils;Test velivolo;Pruebas de aviaciуn;Flugzeugtest;Oblatywanie;;Испытания самолетов;;;X
RT_FIGHTER_TACTICS;Fighter Tactics;Tact. chasseurs;Tattica caccia;Tбcticas de cazas;Jдgertaktiken;Taktyka myњliwcуw;;Тактика истребителей;;;X
RT_BOMBER_TACTICS;Bomber Tactics;Tact. bombardiers;Tattiche bombardieri;Tбcticas de bombarderos;Bombertaktiken;Taktyka bombowcуw;;Тактика бомбардировщиков;;;X
RT_LARGE_TASKFORCE_TACTICS;Large Task force Tactics;Tact. gros contingents;Tattica task force grande;Tбcticas de fuerza operativa grande;Taktiken fьr groЯe Einsatzverbдnde;Taktyka duїych siі zbrojnych;;Тактика больших оперативных групп;;;X
RT_SMALL_TASKFORCE_TACTICS;Small Task force Tactics;Tact. petits contingents;Tattica task force piccola;Tбcticas de fuerza operativa pequeсa;Taktiken fьr kleine Einsatzverbдnde;Taktyka maіych siі zbrojnych;;Тактика малых оперативных групп;;;X
RT_SEAMANSHIP;Seamanship;Matelotage;Arte della navigazione;Nбutica;Seemannskunst;Їeglarstwo;;Навигация;;;X
RT_PILOTING;Piloting;Pilotage;Pilotaggio;Pilotaje;Flugkunst;Pilotaї;;Пилотаж;;;X
RT_SUBMARINE_TACTICS;Submarine Tactics;Tact. sous-marin;Tattica sottomarina;Tбcticas submarinas;Unterseeboottaktiken;Taktyka okrкtуw podwodnych;;Тактика подводных лодок;;;X
RT_CARRIER_TACTICS;Carrier Tactics;Tact. porte-avions;Tattica portaerei;Tбcticas de portaaviones;Trдgertaktiken;Taktyka lotniskowcуw;;Тактика авианосцев;;;X
RT_AVIONICS;Avionics;Aйronautique;Aeronautica;Aeronбutica;Luftfahrttechnik;Awionika;;Авиационная электроника;;;X
RT_MUNITIONS;Munitions;Munitions;Munizioni;Municiones;Munition;Amunicja;;Снаряжение;;;X
RT_VEHICLE_ENGINEERING;Vehicle Engineering;Ingйnierie automobile;Progettazione Veicoli;Vehнculo de Ingenieros;Fahrzeugtechnik;Produkcja pojazdуw;;Транспортное машиностроение;;;X
RT_CARRIER_DESIGN;Carrier Design;Conception de Porte-Avions;Progettazione Portaerei;Diseсo de Portaaviones;Flugzeugtrдger Design;Projektowanie lotniskowcуw;;Проектирование авианосцев;;;X
RT_SUBMARINE_DESIGN;Submarine Design;Conception de Sous-marin;Progettazione Sottomarini;Diseсo de Submarinos;U-Boot Design;Projektowanie іodzi podwodnych;;Проектирование субмарин;;;X
RT_FIGHTER_DESIGN;Fighter Design;Conception de Chasseur;Progettazione Caccia;Diseсo de Cazas;Jдger Design;Projektowanie myњliwcуw;;Проектирование истребителей;;;X
RT_BOMBER_DESIGN;Bomber Design;Conception de Bombardier;Progettazione Bombardieri;Diseсo de Bombarderos;Bomber Design;Projektowanie bombowcуw;;Проектирование бомбардировщиков;;;X
RT_MOUNTAIN_TRAINING;Mountain Training;Entraоnement Alpin;Allenamento Alpino;Entrenamiento de montaсa;Gebirgstraining;Trening strzelcуw gуrskich;;Подготовка горнострелков;;;X
