country;main color;leader language;Army Nationality Sprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
AFG;LightGray;ENG;ENG;;;;X
ALB;DarkBrown;ENG;ITA;;;;X
ALG;LightYellow;FRA;FRA;;;;X
ANG;UserColor4;POR;ENG;;;;X
ARA;Brown;TUR;GER;;;;X
ARG;LightBlue;SPA;USA;;;;X
ARM;Brown;SOV;SOV;;;;X
AST;LightGray;AST;ENG;;;;X
AUS;Brown;AUS;GER;;;;X
AZB;DarkOrange;SOV;SOV;;;;X
BEL;Yellow;BEL;FRA;;;;X
BEN;DarkBlue;ENG;ENG;;;;X
BHU;Brown;ENG;ENG;;;;X
BLR;UserColor6;SOV;SOV;;;;X
BOL;LightGray;SPA;USA;;;;X
BOS;UserColor5;YUG;FRA;;;;X
BRA;DarkGreen;POR;USA;;;;X
BRU;White;ENG;ENG;;;;X
BUL;DarkOrange;BUL;BUL;;;;X
BUR;LightYellow;ENG;MIN;;;;X
CAL;Green;USA;USA;;;;X
CAM;Brown;FRA;FRA;;;;X
CAN;LightRed;ENG;USA;;;;X
CGX;LightGray;CHI;MIN;;;;X
CHC;UserColor6;CHI;SOV;;;;X
CHI;LightBrown;CHI;MIN;;;;X
CHL;DarkGreen;SPA;USA;;;;X
CMB;UserColor1;ENG;MIN;;;;X
COL;DarkYellow;SPA;USA;;;;X
CON;Yellow;ENG;FRA;;;;X
COS;LightBrown;SPA;MIN;;;;X
CRO;DarkGray;YUG;GER;;;;X
CSA;UserColor5;USA;ENG;;;;X
CSX;Green;CHI;MIN;;;;X
CUB;UserColor6;CUB;USA;;;;X
CXB;Brown;CHI;MIN;;;;X
CYN;DarkBrown;CHI;MIN;;;;X
CYP;Yellow;ENG;ENG;;;;X
CZE;DarkGreen;ENG;FRA;;;;X
DDR;UserColor6;GER;GER;;;;X
DEN;DarkOrange;DEN;MIN;;;;X
DFR;LightOrange;GER;GER;;;;X
DOM;DarkGray;SPA;USA;;;;X
EAF;LightGray;ENG;ENG;;;;X
ECU;Yellow;SPA;USA;;;;X
EGY;DarkOrange;ENG;ENG;;;;X
ENG;Red;ENG;ENG;;;;X
EQA;DarkBlue;FRA;FRA;;;;X
EST;White;EST;GER;;;;X
ETH;Brown;ENG;USA;;;;X
EUS;UserColor6;SPA;FRA;;;;X
FIN;Blue;FIN;MIN;;;;X
FLA;Yellow;BEL;GER;;;;X
FRA;Blue;FRA;FRA;;;;X
GAB;Red;FRA;FRA;;;;X
GEO;UserColor5;ENG;SOV;;;;X
GER;Gray;GER;GER;;;;X
GLD;Brown;ENG;ENG;;;;X
GRE;LightBlue;ENG;ENG;;;;X
GUA;LightRed;SPA;USA;;;;X
GUI;Green;FRA;FRA;;;;X
GUY;Brown;ENG;MIN;;;;X
HAI;UserColor2;ENG;USA;;;;X
HOL;LightYellow;HOL;MIN;;;;X
HON;Green;SPA;MIN;;;;X
HUN;DarkYellow;HUN;HUN;;;;X
ICL;LightGray;ENG;MIN;;;;X
IDC;LightBlue;ENG;MIN;;;;X
IND;DarkYellow;ENG;ENG;;;;X
INO;LightBrown;ENG;MIN;;;;X
IRE;LightGreen;IRE;ENG;;;;X
IRQ;DarkBrown;TUR;ENG;;;;X
ISR;UserColor4;ENG;ENG;;;;X
ITA;Green;ITA;ITA;;;;X
JAP;LightOrange;JAP;JAP;;;;X
JOR;Yellow;ENG;ENG;;;;X
KAZ;DarkBlue;SOV;SOV;;;;X
KOR;LightGreen;ENG;JAP;;;;X
KUR;UserColor2;TUR;SOV;;;;X
KYG;DarkGreen;SOV;SOV;;;;X
LAO;DarkBrown;ENG;JAP;;;;X
LAT;DarkBrown;LAT;GER;;;;X
LBY;UserColor1;ENG;ITA;;;;X
LEB;LightGray;ENG;ENG;;;;X
LIB;LightGray;ENG;USA;;;;X
LIT;LightBlue;LIT;GER;;;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;FRA;;;;X
MAL;LightOrange;FRA;MIN;;;;X
MAN;DarkGray;CHI;JAP;;;;X
MEN;LightRed;CHI;MIN;;;;X
MEX;DarkGreen;SPA;USA;;;;X
MIN;Brown;ENG;MIN;;;;X
MLY;Brown;ENG;ENG;;;;X
MON;DarkYellow;CHI;SOV;;;;X
MOR;DarkOrange;ENG;FRA;;;;X
MOZ;Red;POR;MIN;;;;X
MTN;UserColor1;ENG;MIN;;;;X
NAM;UserColor2;ENG;ENG;;;;X
NEP;Brown;ENG;ENG;;;;X
NIC;DarkBrown;SPA;USA;;;;X
NIG;Red;ENG;ENG;;;;X
NOR;Yellow;NOR;MIN;;;;X
NZL;DarkYellow;NZL;ENG;;;;X
OMN;LightBrown;ENG;ENG;;;;X
OTT;LightGreen;TUR;MIN;;;;X
PAK;DarkBrown;ENG;MIN;;;;X
PAL;LightOrange;ENG;ENG;;;;X
PAN;UserColor4;SPA;USA;;;;X
PAR;LightRed;SPA;USA;;;;X
PER;DarkGray;ENG;ENG;;;;X
PHI;DarkBrown;SPA;USA;;;;X
POL;DarkGray;POL;FRA;;;;X
POR;DarkGreen;POR;ENG;;;;X
PRI;UserColor1;SOV;SOV;;;;X
PRK;Brown;CHI;SOV;;;;X
PRU;DarkOrange;SPA;USA;;;;X
QUE;UserColor1;FRA;MIN;;;;X
REB;Black;ENG;MIN;;;;X
RHO;Brown;ENG;ENG;;;;X
ROM;Yellow;ROM;ROM;;;;X
RSI;LightBrown;ITA;ITA;;;;X
RUS;DarkGreen;SOV;SOV;;;;X
SAF;LightRed;ENG;ENG;;;;X
SAL;Brown;ENG;USA;;;;X
SAR;UserColor5;ENG;MIN;;;;X
SAU;DarkGreen;ENG;ENG;;;;X
SCA;LightGray;SWE;MIN;;;;X
SCH;DarkOrange;GER;MIN;;;;X
SCO;LightBrown;ENG;ENG;;;;X
SER;Blue;ENG;GER;;;;X
SIA;LightGreen;ENG;JAP;;;;X
SIB;Green;SOV;SOV;;;;X
SIE;UserColor4;ENG;ENG;;;;X
SIK;UserColor4;CHI;MIN;;;;X
SLO;LightGreen;ENG;GER;;;;X
SLV;LightBrown;ENG;MIN;;;;X
SOM;UserColor1;ENG;MIN;;;;X
SOV;DarkRed;SOV;SOV;;;;X
SPA;DarkGray;SPA;GER;;;;X
SPR;DarkYellow;SPA;SOV;;;;X
SUD;DarkYellow;ENG;MIN;;;;X
SWE;LightBlue;SWE;MIN;;;;X
SYR;Brown;ENG;MIN;;;;X
TAJ;DarkOrange;SOV;SOV;;;;X
TAN;DarkRed;CHI;SOV;;;;X
TEX;Yellow;USA;USA;;;;X
TIB;White;ENG;ENG;;;;X
TRA;LightOrange;SOV;SOV;;;;X
TRK;DarkBrown;SOV;SOV;;;;X
TUN;Brown;FRA;FRA;;;;X
TUR;LightGreen;TUR;MIN;;;;X
UKR;LightYellow;SOV;SOV;;;;X
URU;DarkGray;SPA;USA;;;;X
USA;DarkBlue;USA;USA;;;;X
UZB;LightGreen;SOV;SOV;;;;X
VEN;LightBrown;SPA;USA;;;;X
VIC;Blue;FRA;FRA;;;;X
VIE;Brown;CHI;USA;;;;X
WLL;LightBrown;FRA;GER;;;;X
YEM;LightGray;TUR;ENG;;;;X
YUG;LightYellow;YUG;FRA;;;;X
ALS;DarkBlue;ENG;USA;;;;X
AXI;Gray;GER;GER;;;;X
ALI;Black;ALI;ALI;;;;X
U00;DarkGray;ENG;MIN;;;;X
U01;LightBlue;ENG;MIN;;;;X
U02;DarkYellow;ENG;MIN;;;;X
U03;UserColor2;FRA;FRA;;;;X
U04;UserColor2;FRA;FRA;;;;X
U05;Yellow;ENG;MIN;;;;X
U06;DarkOrange;ENG;MIN;;;;X
U07;Black;ENG;MIN;;;;X
U08;Gray;ENG;MIN;;;;X
U09;LightGray;ENG;MIN;;;;X
U10;DarkGreen;HOL;SOV;;;;X
U11;Brown;FRA;SOV;;;;X
U12;Blue;ENG;SOV;;;;X
U13;Yellow;HUN;SOV;;;;X
U14;DarkGray;ITA;SOV;;;;X
U15;LightBrown;POR;SOV;;;;X
U16;DarkBrown;AUS;SOV;;;;X
U17;LightRed;BEL;SOV;;;;X
U18;LightOrange;ENG;SOV;;;;X
U19;LightGreen;NOR;SOV;;;;X
U20;Brown;FIN;SOV;;;;X
U21;DarkGray;SWE;SOV;;;;X
U22;DarkYellow;DEN;SOV;;;;X
U23;UserColor2;ENG;MIN;;;;X
U24;Brown;ENG;MIN;;;;X
U25;LightGray;ENG;MIN;;;;X
U26;Red;GER;SOV;;;;X
U27;LightOrange;YUG;SOV;;;;X
U28;UserColor1;ENG;SOV;;;;X
U29;UserColor2;BUL;SOV;;;;X
U30;LightGreen;ROM;SOV;;;;X
U31;UserColor4;ENG;SOV;;;;X
U32;Blue;POL;SOV;;;;X
U33;DarkGreen;ENG;SOV;;;;X
U34;UserColor6;TUR;SOV;;;;X
U35;UserColor6;SPA;SOV;;;;X
U36;LightRed;CHI;MIN;;;;X
U37;LightRed;ENG;MIN;;;;X
U38;LightBlue;ENG;MIN;;;;X
U39;Yellow;TUR;MIN;;;;X
U40;LightGray;ENG;MIN;;;;X
U41;DarkGreen;ENG;MIN;;;;X
U42;DarkYellow;ENG;MIN;;;;X
U43;UserColor4;ENG;MIN;;;;X
U44;Brown;ENG;MIN;;;;X
U45;LightBrown;ENG;MIN;;;;X
U46;UserColor2;ENG;MIN;;;;X
U47;LightYellow;ENG;MIN;;;;X
U48;Brown;ENG;MIN;;;;X
U49;DarkGray;ENG;ITA;;;;X
U50;Yellow;ENG;MIN;;;;X
U51;UserColor4;GER;GER;;;;X
U52;LightRed;ENG;MIN;;;;X
U53;LightYellow;ENG;MIN;;;;X
U54;DarkBrown;ENG;ENG;;;;X
U55;White;FRA;FRA;;;;X
U56;DarkOrange;FRA;FRA;;;;X
U57;UserColor2;USA;USA;;;;X
U58;Yellow;SPA;MIN;;;;X
U59;DarkRed;SPA;MIN;;;;X
U60;LightBlue;ENG;ENG;;;;X
U61;DarkOrange;ENG;MIN;;;;X
U62;DarkBrown;SOV;SOV;;;;X
U63;LightRed;ENG;MIN;;;;X
U64;Brown;ENG;MIN;;;;X
U65;LightGray;ENG;MIN;;;;X
U66;Brown;ENG;MIN;;;;X
U67;DarkGray;CHI;MIN;;;;X
U68;LightBrown;ENG;MIN;;;;X
U69;DarkOrange;ENG;MIN;;;;X
U70;DarkGreen;ENG;ENG;;;;X
U71;LightBlue;ENG;ENG;;;;X
U72;DarkRed;CHI;SOV;;;;X
U73;DarkGray;ENG;MIN;;;;X
U74;DarkOrange;CHI;MIN;;;;X
