U56;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ardant du Picq;5001;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;1999;x
Arlabosse;5002;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;1999;x
Armand;5003;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;1999;x
Armingeat;5004;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;1999;x
Arnaud;5005;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;1999;x
Audet;5006;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;1999;x
Aymé;5007;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;1999;x
Barreau;5008;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;1999;x
Bastien;5009;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;1999;x
Beaumont;5010;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;1999;x
Bertin-Boussus;5011;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;1999;x
Bethouart;5012;FRA;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;1999;x
Billotte;5013;FRA;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;1999;x
Bingen;5014;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;1999;x
Blanc;5015;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;1999;x
Blanchard;5016;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;1999;x
Blanchet;5017;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;1999;x
Blaizot;5018;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;1999;x
Bondis;5019;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;1999;x
Bourges-Maunory;5020;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;1999;x
Bridoux;5021;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;1999;x
Brisac;5022;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;1999;x
Brocard;5023;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;1999;x
Brosset;5024;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;1999;x
Bruneau;5025;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;1999;x
Callies;5026;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;1999;x
Camerini;5027;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;1999;x
Carlès;5028;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;1999;x
Carpentier;5029;FRA;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;1999;x
Catroux;5030;FRA;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;1999;x
Chaban-Delmas;5031;FRA;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;1999;x
Chardigny;5032;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;1999;x
Chevillon;5033;FRA;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;1999;x
Collet;5034;FRA;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;1999;x
Colson;5035;FRA;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;1999;x
Condé;5036;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;1999;x
Corap;5037;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;1999;x
Cornille;5038;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;1999;x
Crepin-Artu;5039;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;1999;x
d'Arras;5040;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;1999;x
d'Harcourt;5041;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;1999;x
de Bazelaire de Ruppiere;5042;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;1999;x
de Benouville;5043;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;1999;x
de Corta;5044;FRA;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;1999;x
de Cugis;5045;FRA;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;1999;x
de Cyvoct;5046;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;1999;x
de Gaulle;5047;FRA;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;1999;x
de Guillebon;5048;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;1999;x
de Hesdin;5049;FRA;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;1999;x
de la Porte du Theil;5050;FRA;1930;1938;1939;1990;2;4;2;3;0;5;0;L24050;1930;1960;1999;x
de Larminat;5051;FRA;1941;1942;1943;1990;1;5;5;3;0;5;0;L24051;1941;1960;1999;x
de Roux;5052;FRA;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1960;1999;x
de Saint-Maurice;5053;FRA;1930;1930;1990;1990;2;3;1;1;0;5;0;L24053;1930;1960;1999;x
de Verdillac;5054;FRA;1930;1938;1990;1990;2;5;2;2;0;3;0;L24054;1930;1960;1999;x
Darde;5055;FRA;1939;1990;1990;1990;3;3;0;1;0;4;0;L24055;1939;1960;1999;x
Debeney;5056;FRA;1937;1990;1990;1990;2;5;514;1;0;3;0;L24056;1937;1946;1999;x
Dejussieu-Pontcarel;5057;FRA;1944;1946;1990;1990;3;5;2;2;0;4;0;L24057;1944;1960;1999;x
Delestraint;5058;FRA;1930;1939;1990;1990;2;4;128;2;0;5;0;L24058;1930;1960;1999;x
Dentz;5059;FRA;1930;1930;1938;1990;1;3;256;2;0;3;0;L24059;1930;1945;1999;x
Desmazes;5060;FRA;1930;1939;1990;1990;2;3;0;2;0;4;0;L24060;1930;1960;1999;x
Dio;5061;FRA;1941;1990;1990;1990;3;6;257;1;0;5;0;L24061;1941;1944;1999;x
Doumenc;5062;FRA;1930;1930;1930;1990;1;3;514;2;0;4;0;L24062;1930;1960;1999;x
Doyen;5063;FRA;1930;1939;1990;1990;2;3;128;2;0;4;0;L24063;1930;1960;1999;x
Dubuisson;5064;FRA;1930;1930;1939;1990;1;4;0;2;0;3;0;L24065;1930;1960;1999;x
Duclos;5065;FRA;1940;1990;1990;1990;3;5;0;1;0;3;0;L24066;1940;1945;1999;x
Dufieux;5066;FRA;1930;1930;1930;1990;1;3;514;1;0;5;0;L24067;1930;1938;1999;x
Dunoyer de Segonzac;5067;FRA;1938;1990;1990;1990;3;4;1;1;0;3;0;L24068;1938;1960;1999;x
Ely;5068;FRA;1944;1947;1990;1990;3;5;4;2;0;5;0;L24069;1944;1960;1999;x
Fagalde;5069;FRA;1930;1930;1938;1990;1;4;513;2;0;4;0;L24070;1930;1960;1999;x
Falvy;5070;FRA;1938;1939;1990;1990;2;3;1;2;0;4;0;L24071;1938;1960;1999;x
Fayolle;5071;FRA;1930;1930;1930;1990;1;4;514;1;0;5;0;L24072;1930;1939;1999;x
Fournier;5072;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24073;1930;1960;1999;x
Francois  H.N.;5073;FRA;1937;1990;1990;1990;3;4;256;1;0;3;0;L24074;1937;1960;1999;x
Francois  M.J.;5074;FRA;1930;1930;1930;1990;1;3;513;2;0;4;0;9707;1930;1960;1999;x
Gain;5075;FRA;1930;1990;1990;1990;3;3;576;1;0;4;0;L24076;1930;1960;1999;x
Gamelin;5076;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24077;1930;1960;1999;x
Garbay;5077;FRA;1944;1990;1990;1990;3;7;4;1;0;5;0;L24078;1944;1960;1999;x
Garchery;5078;FRA;1930;1930;1930;1990;1;4;256;3;0;5;0;L24079;1930;1960;1999;x
Gentil;5079;FRA;1942;1990;1990;1990;3;5;16;1;0;4;0;L24080;1942;1944;1999;x
Geoffroy;5080;FRA;1946;1990;1990;1990;3;5;288;1;0;5;0;L24081;1946;1960;1999;x
Georges;5081;FRA;1930;1930;1930;1990;1;5;2;3;0;5;0;L24082;1930;1960;1999;x
Gillier;5082;FRA;1937;1939;1990;1990;2;3;0;2;0;4;0;L24083;1937;1960;1999;x
Giraud;5083;FRA;1930;1939;1942;1990;1;6;16;3;0;5;0;L24084;1930;1960;1999;x
Girot de Langlade;5084;FRA;1944;1990;1990;1990;3;5;128;1;0;5;0;L24085;1944;1960;1999;x
Glück;5085;FRA;1930;1938;1990;1990;2;4;514;1;0;4;0;L24086;1930;1960;1999;x
Goislard de Monsabert;5086;FRA;1941;1943;1944;1945;1;6;36;4;0;4;0;L24087;1941;1960;1999;x
Gonzalez de Linares;5087;FRA;1943;1945;1990;1990;3;5;4;3;0;5;0;L24088;1943;1960;1999;x
Gravier;5088;FRA;1941;1990;1990;1990;3;3;64;1;0;4;0;L24089;1941;1943;1999;x
Grandsard;5089;FRA;1930;1937;1939;1990;1;4;0;3;0;5;0;L24090;1930;1960;1999;x
Guillaume;5090;FRA;1938;1942;1944;1990;1;5;4;3;0;5;0;L24091;1938;1960;1999;x
Hanoteau;5091;FRA;1938;1943;1990;1990;2;4;32;2;0;5;0;L24092;1938;1960;1999;x
Hettier de Boislambert;5092;FRA;1942;1990;1990;1990;3;5;4;1;0;5;0;L24093;1942;1945;1999;x
Hubert;5093;FRA;1930;1930;1938;1990;1;3;0;2;0;3;0;L24094;1930;1960;1999;x
Huntziger;5094;FRA;1930;1930;1930;1990;1;6;3;2;0;2;0;L24095;1930;1960;1999;x
Ihler;5095;FRA;1930;1938;1990;1990;2;4;0;2;0;5;0;L24096;1930;1960;1999;x
Ingold;5096;FRA;1944;1990;1990;1990;3;4;1;1;0;4;0;L24097;1944;1960;1999;x
Jacob;5097;FRA;1945;1990;1990;1990;3;4;4;1;0;5;0;L24098;1945;1960;1999;x
