Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Afanasiev M. I.;1125001;U62;1914;1920;1999;1999;3;4;0;0;0;3;0;9276;1914;1999;1999;x
Artemiev V. V.;1125002;U62;1904;1913;1999;1999;2;4;0;0;0;3;0;9277;1904;1930;1930;x
Baksheev A. P.;1125003;U62;1919;1999;1999;1999;3;4;0;0;0;3;0;9278;1914;1949;1949;x
Bogomolets N. F.;1125004;U62;1921;1999;1999;1999;3;4;0;0;0;3;0;9279;1914;1952;1952;x
Burikov V.;1125005;U62;1914;1999;1999;1999;3;3;0;0;0;3;0;9601;1914;1999;1999;x
Gamov I. M.;1125006;U62;1917;1999;1999;1999;3;4;0;0;0;3;0;9280;1914;1970;1970;x
Khorvat D. L.;1125007;U62;1904;1911;1999;1999;2;4;0;0;0;3;0;9281;1914;1938;1938;x
Kaigorodov A. P.;1125008;U62;1921;1999;1999;1999;3;4;0;0;0;3;0;9282;1914;1923;1923;x
Kalmykov I. P.;1125009;U62;1919;1999;1999;1999;3;4;2097408;0;0;3;0;9283;1914;1921;1921;x
Kazagrandi N. N.;1125010;U62;1919;1999;1999;1999;3;4;32;0;0;3;0;9284;1914;1922;1922;x
Kreschatitsky B. R.;1125011;U62;1916;1919;1999;1999;2;4;32;0;0;3;0;9285;1914;1941;1941;x
Kislitsyn V. A.;1125012;U62;1917;1999;1999;1999;3;4;0;0;0;3;0;9286;1914;1945;1945;x
Krakovetsky A. A.;1125013;U62;1921;1999;1999;1999;3;4;0;0;0;3;0;9287;1914;1938;1938;x
Matsievsky G. E.;1125014;U62;1918;1920;1999;1999;3;4;0;0;0;3;0;9288;1914;1940;1940;x
Mezhak P. K.;1125015;U62;1915;1999;1999;1999;3;4;0;0;0;3;0;9607;1914;1942;1942;x
Natsvalov N. G.;1125016;U62;1914;1914;1999;1999;2;4;0;0;0;3;0;9605;1914;1999;1999;x
Nikonov S.;1125017;U62;1914;1999;1999;1999;3;4;0;0;0;3;0;4968;1897;1999;1999;x
Pleshkov M. M.;1125018;U62;1902;1907;1913;1990;1;5;0;1;0;5;0;5086;1902;1927;1999;x
Rozanov S. N.;1125019;U62;1914;1914;1999;1999;3;9;0;0;0;3;0;8916;1914;1937;1999;x
Samarin S. N.;1125020;U62;1914;1917;1999;1999;2;4;0;0;0;3;0;unknownleader;1917;1999;1999;x
Samoilov M. K.;1125021;U62;1913;1915;1990;1990;2;6;0;2;0;5;0;5243;1913;1940;1999;x
Savelev N. I.;1125022;U62;1914;1917;1999;1999;3;5;0;0;0;3;0;7197;1914;1934;1942;x
Semenov G. M.;1125023;U62;1914;1914;1914;1999;1;9;12;2;0;3;0;9599;1914;1947;1976;x
Semenov-Merlin J. V.;1125024;U62;1914;1999;1999;1999;3;4;0;0;0;3;0;9608;1897;1999;1999;x
Shilnikov I. F.;1125025;U62;1914;1999;1999;1999;3;4;0;0;0;3;0;9602;1897;1999;1999;x
Stark O. V.;1125026;U62;1914;1999;1999;1999;3;4;0;0;0;3;1;9606;1897;1999;1999;x
von Ungern-Sternberg R.;1125027;U62;1914;1914;1920;1999;1;9;133;2;0;3;0;9609;1897;1922;1962;x
Levitskiy P. P.;1125028;U62;1914;1999;1999;1999;3;4;0;0;0;3;0;9610;1914;1921;1999;x
Artamonov T. I.;1125029;U62;1919;1999;1999;1999;3;4;0;0;0;3;0;unknownleader;1919;1999;1999;x
Misyura A. V.;1125030;U62;1917;1999;1999;1999;3;4;0;0;0;3;0;9611;1917;1948;1948;x
