Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bao Guiqing;1325001;UCH;1914;1990;1990;1990;3;4;0;2;0;5;0;8137;1914;1932;1999;x
Cai Chengxun;1325002;UCH;1914;1917;1990;1990;2;4;0;2;0;5;0;8035;1914;1932;1999;x
Cai E;13250023;UCH;1914;1914;1990;1990;2;4;0;3;0;5;0;8036;1914;1917;1999;x
Cao Kun;13250024;UCH;1914;1914;1917;1920;0;4;0;3;0;5;0;8037;1914;1925;1999;x
Cao Ying;13250025;UCH;1914;1990;1990;1990;3;4;0;1;0;5;0;8038;1914;1932;1999;x
Chen Guangyuan;13250026;UCH;1914;1914;1990;1990;2;4;0;2;0;5;0;8039;1914;1932;1999;x
Chen Shufan;13250027;UCH;1914;1916;1990;1990;2;4;0;2;0;5;0;8040;1914;1932;1999;x
Chen Zhaochun;13250028;UCH;1914;1917;1990;1990;2;4;0;1;0;5;0;8041;1914;1932;1999;x
Dai Kan;13250029;UCH;1914;1990;1990;1990;3;4;0;1;0;5;0;8042;1914;1932;1999;x
Duan Qirui;13250030;UCH;1914;1914;1914;1916;0;4;0;3;0;5;0;8043;1914;1932;1999;x
Duan Zhigui;13250031;UCH;1914;1914;1990;1990;2;4;0;2;0;5;0;8044;1914;1932;1999;x
Feng Guozhang;13250032;UCH;1914;1914;1915;1917;0;4;0;3;0;5;0;8045;1914;1919;1999;x
He Fenglin;13250033;UCH;1914;1917;1990;1990;1;4;0;2;0;5;0;8046;1914;1932;1999;x
Hu Jing-wing;13250034;UCH;1914;1917;1990;1990;1;4;0;1;0;5;0;8047;1914;1932;1999;x
Jiang Dengxuan;13250035;UCH;1915;1920;1990;1990;2;4;0;2;0;5;0;8048;1915;1932;1999;x
Chen Jiongming;13250036;UCH;1914;1990;1990;1990;3;4;0;2;0;5;0;8049;1914;1932;1999;x
Chen Qimei;13250037;UCH;1914;1990;1990;1990;3;4;0;1;0;5;0;8050;1914;1932;1999;x
Feng Yuxiang;13250038;UCH;1914;1917;1920;1990;1;4;0;3;0;5;0;8051;1914;1932;1999;x
Guo Songling;13250039;UCH;1914;1920;1990;1990;2;4;0;2;0;5;0;8052;1914;1932;1999;x
Jin Yunpeng;13250040;UCH;1914;1916;1920;1990;1;4;0;2;0;5;0;8053;1914;1932;1999;x
Li Houji;13250041;UCH;1914;1920;1990;1990;2;4;0;1;0;5;0;8054;1914;1932;1999;x
Li Jinglin;13250042;UCH;1914;1916;1990;1990;2;4;0;1;0;5;0;8055;1914;1932;1999;x
Li Lie Jinagsi;13250043;UCH;1914;1920;1990;1990;2;4;0;2;0;5;0;8056;1914;1932;1999;x
