Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Akintyevsky;1360001;UER;1919;1999;1999;1999;3;9;0;1;0;3;0;unknownleader;1919;1962;1999;x
Andogsky;1360002;UER;1918;1999;1999;1999;3;9;0;0;0;3;0;8866;1918;1931;1999;x
Annenkov;1360003;UER;1919;1999;1999;1999;3;9;0;1;0;3;0;8876;1919;1927;1999;x
Artemev;1360004;UER;1914;1914;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1929;1999;x
Bangersky;1360005;UER;1919;1920;1999;1999;3;9;0;0;0;3;0;8911;1919;1958;1999;x
Belov;1360006;UER;1918;1999;1999;1999;3;9;0;1;0;3;0;unknownleader;1918;1945;1999;x
Bogoslovsky;1360007;UER;1919;1999;1999;1999;3;9;0;0;0;3;0;8879;1919;1920;1999;x
Boldyrev;1360008;UER;1914;1914;1999;1999;3;9;0;2;0;3;0;8920;1914;1933;1999;x
Bordzilovsky;1360009;UER;1919;1920;1999;1999;3;9;0;0;0;3;0;8874;1919;1952;1999;x
Budberg;1360010;UER;1914;1914;1999;1999;3;9;0;0;0;3;0;8870;1914;1945;1999;x
Diterikhs;1360011;UER;1914;1919;1999;1999;3;9;0;3;0;3;0;8898;1914;1937;1999;x
Filatyev;1360012;UER;1914;1914;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1932;1999;x
Gajda;1360013;UER;1918;1919;1933;1933;3;9;0;4;0;3;0;2344;1918;1933;1999;x
Golitsyn;1360014;UER;1918;1919;1999;1999;3;9;0;2;0;3;0;8930;1918;1920;1999;x
Golovin;1360015;UER;1914;1918;1999;1999;3;9;0;2;0;3;0;8903;1914;1945;1999;x
Goppers;1360016;UER;1919;1999;1999;1999;3;9;0;0;0;3;0;8891;1919;1941;1999;x
Grishin-Almazov;1360017;UER;1918;1999;1999;1999;3;9;0;2;0;3;0;8869;1918;1919;1999;x
Gulidov;1360018;UER;1919;1999;1999;1999;3;9;0;0;0;3;0;8928;1919;1920;1999;x
Horvath;1360019;UER;1914;1914;1999;1999;3;9;0;0;0;3;0;8880;1914;1937;1999;x
Imshenetsky;1360020;UER;1918;1999;1999;1999;3;9;0;2;0;3;0;unknownleader;1918;1920;1999;x
Inostranzev;1360021;UER;1919;1999;1999;1999;3;9;0;0;0;3;0;unknownleader;1919;1938;1999;x
Kappel;1360022;UER;1918;1919;1999;1999;3;9;0;4;0;3;0;8927;1918;1920;1999;x
Khanzhin;1360023;UER;1914;1918;1999;1999;3;9;0;2;0;3;0;8899;1914;1961;1999;x
Kosmin;1360024;UER;1919;1919;1999;1999;3;9;0;2;0;3;0;8923;1919;1945;1999;x
Lebedev;1360025;UER;1918;1999;1999;1999;3;9;0;0;0;3;0;8881;1918;1928;1999;x
Lokhvitsky;1360026;UER;1914;1919;1999;1999;3;9;0;0;0;3;0;8900;1914;1933;1999;x
