Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Baranov;1340001;UGS;1914;1914;1999;1999;3;9;0;0;0;3;0;9103;1914;1920;1999;x
Bem;1340002;UGS;1914;1999;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1951;1999;x
Dobrovolsky;1340003;UGS;1920;1999;1999;1999;3;9;0;0;0;3;0;unknownleader;1920;1945;1999;x
Klyuev;1340004;UGS;1919;1919;1999;1999;3;9;0;0;0;3;0;unknownleader;1919;1921;1999;x
Kvetsinsky;1340005;UGS;1914;1914;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1920;1999;x
Marushevsky;1340006;UGS;1914;1919;1999;1999;3;9;0;0;0;3;0;9102;1914;1952;1999;x
Miller;1340007;UGS;1914;1914;1999;1999;3;9;0;0;0;3;0;9096;1914;1939;1999;x
Savvich;1340008;UGS;1914;1914;1914;1999;3;9;0;0;0;3;0;9100;1914;1939;1999;x
Sedergolm;1340009;UGS;1914;1999;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1920;1999;x
Skobeltsyn ;1340010;UGS;1914;1914;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1944;1999;x
Zvegintsev ;1340011;UGS;1914;1999;1999;1999;3;9;0;0;0;3;0;unknownleader;1914;1932;1999;x
Ivanov;1340013;UGS;1914;1999;1999;1999;3;9;0;0;0;3;1;9098;1914;1940;1999;x
Vikorst;1340014;UGS;1914;1999;1999;1999;3;9;0;0;0;3;1;unknownleader;1914;1944;1999;x
Vilkitsky;1340012;UGS;1919;1999;1999;1999;3;9;0;0;0;3;1;9095;1919;1961;1999;x
