Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adams P.D.;240001;USA;1944;1946;1990;1990;3;7;256;2;0;5;0;L60000;1944;1970;1999;x
Alexander G.M.;240002;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60001;1939;1970;1999;x
Alfonte;240003;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60002;1943;1946;1999;x
Alkire;240004;USA;1952;1990;1990;1990;3;5;32768;1;0;5;2;L60003;1952;1956;1999;x
Allen A.R.;240005;USA;1941;1944;1990;1990;2;7;128;2;0;5;0;L60004;1941;1970;1999;x
Allen F.A.;240006;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60005;1942;1946;1999;x
Allen R.R.;240007;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60006;1941;1970;1999;x
Almond E.M.;240008;USA;1942;1944;1990;1990;2;5;0;2;0;5;0;L60007;1942;1970;1999;x
Althaus;240009;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1946;1999;x
Andersen;240010;USA;1940;1990;1990;1990;3;4;0;1;0;5;0;L60009;1940;1942;1999;x
Anderson J.B.;240011;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60010;1942;1946;1999;x
Anderson J.W.;240012;USA;1941;1990;1990;1990;3;6;64;1;0;5;0;L60011;1941;1967;1999;x
Andrus;240013;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60012;1943;1970;1999;x
Ankcorn;240014;USA;1939;1990;1990;1990;3;4;0;1;0;5;0;L60013;1939;1944;1999;x
Arms;240015;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60014;1941;1946;1999;x
Armstrong;240016;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60015;1942;1970;1999;x
Arnold W.H.;240017;USA;1942;1944;1990;1990;2;6;0;2;0;5;0;L60016;1942;1970;1999;x
Arrowsmith;240018;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60017;1942;1970;1999;x
Baade;240019;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60018;1942;1946;1999;x
Baehr;240020;USA;1930;1990;1990;1990;3;5;64;1;0;5;0;L60019;1930;1946;1999;x
Baird;240021;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60020;1942;1970;1999;x
Baker;240022;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60021;1941;1946;1999;x
Barker;240023;USA;1940;1990;1990;1990;3;6;64;1;0;5;0;L60022;1940;1947;1999;x
Barnes;240024;USA;1938;1990;1990;1990;3;5;64;1;0;5;0;L60023;1938;1946;1999;x
Barnett A.J.;240025;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60024;1941;1970;1999;x
Barr D.G.;240026;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60025;1941;1970;1999;x
Barrett;240027;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60026;1944;1970;1999;x
Barton R.O.;240028;USA;1930;1990;1990;1990;3;5;0;1;0;5;0;L60027;1930;1963;1999;x
Bash;240029;USA;1930;1990;1990;1990;3;4;512;1;0;5;0;L60028;1930;1938;1999;x
Beasly R.W.;240030;USA;1941;1990;1990;1990;3;4;64;1;0;5;0;L60029;1941;1961;1999;x
Bedingfield;240031;USA;1945;1990;1990;1990;3;5;32;1;0;5;0;L60030;1945;1970;1999;x
Bedell Smith;240032;USA;1941;1942;1944;1990;1;6;4;3;0;5;0;L60031;1941;1970;1999;x
Beiderlinden;240033;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60032;1943;1970;1999;x
Beightler;240034;USA;1940;1990;1990;1990;3;6;0;1;0;5;0;L60033;1940;1970;1999;x
Billingslea;240035;USA;1940;1990;1990;1990;3;4;2;1;0;5;0;L60034;1940;1943;1999;x
Birkhead C.V.;240036;USA;1930;1941;1990;1990;3;4;0;2;0;5;0;L60035;1930;1948;1999;x
Bissell;240037;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60036;1943;1946;1999;x
Bixby;240038;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60037;1944;1990;1999;x
Blackmore P.G.;240039;USA;1940;1990;1990;1990;3;4;1;1;0;5;0;L60038;1940;1970;1999;x
Blakeley H.W.;240040;USA;1940;1990;1990;1990;3;5;128;1;0;5;0;L60039;1940;1966;1999;x
Blount R.E.;240041;USA;1943;1990;1990;1990;3;4;4;1;0;5;0;L60040;1943;1969;1999;x
Bluemel;240042;USA;1940;1990;1990;1990;3;4;256;1;0;5;0;L60041;1940;1942;1999;x
Boatner H.L.;240043;USA;1942;1990;1990;1990;3;6;5;1;0;5;0;L60042;1942;1970;1999;x
Boggs;240044;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60043;1939;1942;1999;x
Bohn;240045;USA;1942;1990;1990;1990;3;6;128;1;0;5;0;L60044;1942;1945;1999;x
Bolling;240046;USA;1939;1945;1990;1990;3;5;0;2;0;5;0;L60045;1939;1970;1999;x
Bolte;240047;USA;1930;1930;1942;1990;1;5;0;2;0;5;0;L60046;1940;1970;1999;x
Bonesteel jr.;240048;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60047;1941;1970;1999;x
Booth;240049;USA;1942;1945;1990;1990;3;5;0;2;0;5;0;L60048;1942;1970;1999;x
Boudinot;240050;USA;1943;1990;1990;1990;3;4;128;1;0;5;0;L60049;1943;1945;1999;x
Bowen;240051;USA;1942;1990;1990;1990;3;6;384;1;0;5;0;L60050;1942;1970;1999;x
Bowley;240052;USA;1930;1930;1990;1990;2;6;514;1;0;5;0;L60051;1921;1939;1999;x
Bowman;240053;USA;1942;1990;1990;1990;3;5;32;1;0;5;0;L60052;1942;1970;1999;x
Boyd;240054;USA;1938;1990;1990;1990;3;4;0;1;0;5;0;L60053;1938;1970;1999;x
Bradford  K.S.;240055;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60054;1941;1946;1999;x
Bradford W.B.;240056;USA;1941;1990;1990;1990;3;5;4;1;0;5;0;L60055;1941;1970;1999;x
Bradley  J.L.;240057;USA;1940;1990;1990;1990;3;7;256;1;0;5;0;L60056;1940;1970;1999;x
Bradley  O.N.;240058;USA;1941;1943;1944;1946;1;9;37;5;0;5;0;L60057;1941;1970;1999;x
Bradshaw;240059;USA;1941;1990;1990;1990;3;4;2;1;0;5;0;L60058;1941;1970;1999;x
Brann;240060;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60059;1943;1945;1999;x
Braun;240061;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60060;1941;1945;1999;x
Brees;240062;USA;1930;1938;1990;1990;2;6;513;2;0;5;0;L60061;1930;1941;1999;x
Brett;240063;USA;1941;1990;1990;1990;3;4;128;1;0;5;0;L60062;1941;1943;1999;x
Brewer C.B.;240064;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60063;1941;1970;1999;x
Britton;240065;USA;1943;1990;1990;1990;3;5;32;1;0;5;0;L60064;1943;1947;1999;x
Brooks;240066;USA;1942;1946;1990;1990;3;7;128;2;0;5;0;L60065;1942;1970;1999;x
Brougher W.E.;240067;USA;1930;1990;1990;1990;3;4;1;1;0;5;0;L60066;1939;1965;1999;x
Brown A.E.;240068;USA;1942;1990;1990;1990;3;5;4;1;0;5;0;L60067;1942;1970;1999;x
Bruce;240069;USA;1938;1942;1990;1990;2;5;128;2;0;5;0;L60068;1938;1970;1999;x
Brush;240070;USA;1930;1990;1990;1990;3;4;0;1;0;5;0;L60069;1930;1949;1999;x
Bryden;240071;USA;1937;1990;1990;1990;3;6;576;1;0;5;0;L60070;1937;1944;1999;x
Bucher O.B.;240072;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60071;1942;1962;1999;x
Buckmaster;240073;USA;1941;1955;1990;1990;3;5;4096;1;0;5;1;L60072;1941;1970;1999;x
Buckner S.B.;240074;USA;1940;1944;1954;1990;2;7;20;2;0;5;0;L60073;1940;1945;1999;x
Buechler;240075;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60074;1942;1990;1999;x
Bull;240076;USA;1939;1943;1990;1990;2;5;0;2;0;5;0;L60075;1939;1970;1999;x
Bullavini;240077;USA;1945;1990;1990;1990;3;4;4;1;0;5;0;L60076;1945;1970;1999;x
Burnell;240078;USA;1942;1990;1990;1990;3;5;2;1;0;5;0;L60077;1942;1970;1999;x
Burress W.A.;240079;USA;1942;1990;1990;1990;3;5;0;1;0;5;0;L60078;1942;1970;1999;x
Busbee C.M.;240080;USA;1941;1990;1990;1990;3;5;64;1;0;5;0;L60079;1941;1946;1999;x
Butler;240081;USA;1941;1990;1990;1990;3;6;36;1;0;5;0;L60080;1941;1970;1999;x
Byers;240082;USA;1943;1947;1990;1990;3;8;256;2;0;5;0;L60081;1943;1970;1999;x
Cabell C.P.;240083;USA;1942;1951;1958;1990;2;7;8192;2;0;5;2;L60082;1942;1962;1999;x
Caffey;240084;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60083;1942;1970;1999;x
Camp;240085;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60085;1941;1946;1999;x
Campbell;240086;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60086;1942;1970;1999;x
Canham;240087;USA;1944;1990;1990;1990;3;6;256;1;0;5;0;L60087;1944;1970;1999;x
Canine;240088;USA;1942;1944;1990;1990;2;7;32;2;0;5;0;L60088;1942;1970;1999;x
Cannon;240089;USA;1943;1945;1990;1990;2;5;0;2;0;5;0;L60089;1943;1970;1999;x
Casey;240090;USA;1941;1990;1990;1990;3;6;33;1;0;5;0;L60090;1941;1970;1999;x
Cates C.B.;240091;USA;1941;1943;1947;1990;2;7;256;3;0;5;0;L60091;1941;1970;1999;x
Chaffee;240092;USA;1937;1990;1990;1990;3;5;0;1;0;5;0;L60092;1937;1941;1999;x
Chamberlin;240093;USA;1930;1942;1990;1990;2;4;4;2;0;5;0;L60093;1940;1970;1999;x
Chapman;240094;USA;1940;1990;1990;1990;3;5;256;1;0;5;0;L60094;1940;1943;1999;x
Chase;240095;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60095;1942;1970;1999;x
Christiansen;240096;USA;1942;1990;1990;1990;3;6;4;1;0;5;0;L60096;1942;1970;1999;x
Chynoweth;240097;USA;1940;1990;1990;1990;3;4;2;1;0;5;0;L60097;1940;1942;1999;x
Clark;240098;USA;1941;1942;1944;1990;1;9;4;3;0;5;0;L60098;1941;1970;1999;x
Clarke;240099;USA;1944;1990;1990;1990;3;6;128;1;0;5;0;L60099;1944;1970;1999;x
Clarkson P.W.;240100;USA;1941;1990;1990;1990;2;5;0;1;0;5;0;L60100;1941;1962;1999;x
Clay L.D.;240101;USA;1941;1945;1947;1990;2;8;1;3;0;5;0;L60101;1941;1970;1999;x
Colbern;240102;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60102;1942;1970;1999;x
Collier J.H.;240103;USA;1943;1954;1990;1990;2;5;128;2;0;5;0;L60103;1943;1970;1999;x
Collins  H.J.;240104;USA;1941;1990;1990;1990;3;6;0;1;0;5;0;L60104;1941;1970;1999;x
Collins J.L.;240105;USA;1941;1945;1948;1990;1;8;20;3;0;5;0;L60105;1941;1970;1999;x
Colson C.F.;240106;USA;1943;1990;1990;1990;3;5;4;1;0;5;0;L60106;1943;1970;1999;x
