Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agimi;285001;ALB;1930;1990;1990;1990;3;3;128;0;0;3;0;L34580;1930;1960;1999;x
Agolli;285002;ALB;1930;1939;1990;1990;3;3;0;1;0;3;0;L34581;1930;1960;1999;x
Bicaku;285003;ALB;1930;1930;1990;1990;2;5;768;1;0;4;0;L34582;1930;1960;1999;x
Bushati;285004;ALB;1930;1930;1939;1990;1;4;528;2;0;2;0;L34583;1939;1945;1999;x
Cajupi;285005;ALB;1930;1990;1990;1990;3;3;0;0;0;3;0;L34584;1930;1960;1999;x
Floxhi;285006;ALB;1930;1990;1990;1990;3;3;0;0;0;5;0;L34585;1930;1960;1999;x
Frashëri;285007;ALB;1930;1943;1945;1990;2;4;16;3;0;2;0;L34586;1930;1960;1999;x
Hoxha;285008;ALB;1930;1940;1944;1946;2;6;0;3;0;3;0;L34587;1940;1960;1999;x
Jaxha;285009;ALB;1930;1990;1990;1990;3;3;64;0;0;3;0;L34588;1930;1960;1999;x
Komani;285010;ALB;1930;1930;1944;1990;2;4;32;1;0;3;0;L34589;1930;1946;1999;x
Kristo;285011;ALB;1941;1990;1990;1990;3;4;16;0;0;3;0;L34590;1941;1960;1999;x
Malëshova;285012;ALB;1940;1990;1990;1990;3;2;16;0;0;3;0;L34591;1940;1960;1999;x
Moisiu;285013;ALB;1930;1930;1930;1990;1;3;0;1;0;4;0;L34592;1930;1960;1999;x
Mori;285014;ALB;1930;1943;1990;1990;3;5;264;1;0;3;0;L34593;1930;1945;1999;x
Musai;285015;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34594;1930;1960;1999;x
Nergutti;285016;ALB;1942;1944;1990;1990;2;2;2;1;0;5;0;L34595;1942;1960;1999;x
Percy;285017;ALB;1930;1930;1990;1990;2;5;1;1;0;5;0;L34596;1930;1960;1999;x
Pervizi;285018;ALB;1930;1941;1990;1990;2;3;4;1;0;3;0;L34597;1930;1960;1999;x
Shatun;285019;ALB;1930;1930;1930;1990;1;3;2;1;0;3;0;L34598;1930;1960;1999;x
Shehu;285020;ALB;1930;1930;1990;1990;2;3;4;0;0;2;0;L34599;1930;1960;1999;x
Trajce;285021;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34600;1930;1960;1999;x
Ypi;285022;ALB;1942;1945;1990;1990;3;2;16;1;0;3;0;L34601;1942;1960;1999;x
Zog I;285023;ALB;1930;1930;1930;1930;0;2;0;0;0;5;0;L34602;1930;1960;1999;x
Delvinë;285024;ALB;1930;1937;1943;1990;2;3;0;1;0;3;1;L34603;1930;1960;1999;x
Ghaxa;285025;ALB;1930;1941;1990;1990;3;3;0;1;0;3;1;L34604;1930;1960;1999;x
Kristo;285026;ALB;1941;1990;1990;1990;3;2;0;0;0;3;1;L34605;1941;1960;1999;x
Pakazi;285027;ALB;1930;1930;1930;1990;1;3;0;0;0;3;1;L34606;1930;1960;1999;x
Agolli;285028;ALB;1930;1939;1990;1990;3;3;4096;1;0;3;2;L34607;1930;1960;1999;x
Delvinë;285029;ALB;1930;1939;1990;1990;3;4;131072;1;0;3;2;L34608;1930;1960;1999;x
Floxhi;285030;ALB;1930;1930;1990;1990;2;3;0;0;0;5;2;L34609;1930;1960;1999;x
Musai;285031;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34610;1930;1960;1999;x
Pervizi;285032;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34611;1930;1960;1999;x
Shefqeti;285033;ALB;1908;1990;1990;1990;1;5;536870912;1;0;3;0;8542;1908;1932;1999;x
Kolonja;285034;ALB;1918;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1918;1932;1999;x
Leskoviku;285035;ALB;1918;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1918;1932;1999;x
Fevziu;285036;ALB;1920;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1920;1932;1999;x
de Veer;285037;ALB;1913;1913;1990;1990;2;6;37;2;0;3;0;3;1913;1915;1999;x
Thompson;285038;ALB;1913;1990;1990;1990;1;5;0;2;0;3;0;4;1913;1915;1999;x
Toptani;285039;ALB;1908;1990;1990;1990;1;6;134217728;2;0;3;0;2151;1908;1920;1999;x
Derralla;285040;ALB;1908;1990;1990;1990;1;3;2;3;0;3;0;8539;1908;1915;1999;x
Qafezezi;285041;ALB;1920;1990;1990;1990;1;2;0;1;0;3;0;unknownleader;1920;1932;1999;x
Lepenica;285042;ALB;1914;1990;1990;1990;1;2;0;0;0;3;0;5;1914;1932;1999;x
Tatzati;285043;ALB;1918;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1918;1932;1999;x
Butka;285044;ALB;1908;1990;1990;1990;1;2;2;0;0;3;0;unknownleader;1908;1932;1999;x
Curri;285045;ALB;1908;1990;1990;1990;1;2;1;1;0;3;0;6;1917;1925;1999;x
Seferi;285046;ALB;1908;1990;1990;1990;1;2;2097152;1;0;3;0;3266;1908;1927;1999;x
Boletini;285047;ALB;1908;1990;1990;1990;1;2;4194304;1;0;3;0;3267;1908;1916;1999;x
