Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdullah I;560001;ARA;1930;1930;1930;1930;0;3;4;0;0;5;0;M556008;1930;1960;1999;x
Abrash;560002;ARA;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;1999;x
Aflatan Pasha;560003;ARA;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;1999;x
Ahti;560004;ARA;1930;1940;1990;1990;2;3;2;1;0;5;0;M556029;1930;1960;1999;x
al-Abboud;560005;ARA;1945;1990;1990;1990;3;2;0;1;0;5;0;L529000;1945;1960;1999;x
al-Amir;560006;ARA;1941;1990;1990;1990;3;2;0;0;0;5;0;L556002;1941;1960;1999;x
al-Arab;560007;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529000;1944;1960;1999;x
al-Aslan;560008;ARA;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;1999;x
al-Fiqri;560009;ARA;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;1999;x
al-Gawzi;560010;ARA;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1999;x
al-Hashimi;560011;ARA;1939;1990;1990;1990;3;5;16;0;0;5;0;L556003;1939;1960;1999;x
al-Hasic;560012;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529002;1930;1946;1999;x
al-Jafaar;560013;ARA;1930;1990;1990;1990;3;2;0;0;0;5;0;M556031;1930;1943;1999;x
al-Nasser;560014;ARA;1945;1990;1990;1990;3;5;256;0;0;5;0;L512001;1945;1960;1999;x
al-Quawugji;560015;ARA;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1999;x
al-Shishakli;560016;ARA;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1999;x
al-Wali;560017;ARA;1940;1990;1990;1990;3;2;2;0;0;5;0;M556028;1940;1960;1999;x
al-Zaim;560018;ARA;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1960;1999;x
Amer;560019;ARA;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;1999;x
