Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Accame;165001;ARG;1930;1941;1990;1990;3;4;0;1;0;4;0;L120000;1930;1943;1999;x
Anaya;165002;ARG;1930;1939;1990;1990;2;5;128;1;0;4;0;L120001;1930;1946;1999;x
Aramburu;165003;ARG;1941;1944;1946;1990;2;5;8;2;0;4;0;L120002;1941;1960;1999;x
Bautista Molina;165004;ARG;1930;1930;1990;1990;2;4;0;0;0;3;0;L120003;1930;1943;1999;x
Brinzoni;165005;ARG;1945;1990;1990;1990;3;4;4;0;0;3;0;L120004;1945;1960;1999;x
Dellepiane;165006;ARG;1930;1930;1990;1990;2;6;514;1;0;3;0;L120005;1930;1939;1999;x
de Olano;165007;ARG;1939;1944;1952;1990;1;4;128;2;0;4;0;L120006;1939;1960;1999;x
Farrell Plaul;165008;ARG;1937;1939;1941;1990;1;4;0;2;0;4;0;L120007;1937;1946;1999;x
Fasola Castano;165009;ARG;1930;1930;1990;1990;2;5;32;0;0;4;0;L120008;1930;1943;1999;x
Florit;165010;ARG;1938;1942;1945;1990;2;6;256;2;0;4;0;L120009;1938;1960;1999;x
Giovanelli;165011;ARG;1945;1990;1990;1990;3;4;16;0;0;4;0;L120010;1945;1960;1999;x
Guido y Lavalle;165012;ARG;1930;1938;1990;1990;2;4;32;1;0;4;0;L120011;1930;1941;1999;x
Ibarra;165013;ARG;1930;1942;1990;1990;2;6;256;1;0;4;0;L120012;1930;1945;1999;x
Justo;165014;ARG;1930;1930;1930;1930;0;5;0;1;0;5;0;L120013;1930;1938;1999;x
Leiva;165015;ARG;1930;1990;1990;1990;3;5;513;1;0;3;0;L120014;1930;1940;1999;x
Lonardi;165016;ARG;1938;1944;1990;1990;3;4;16;1;0;4;0;L120015;1938;1960;1999;x
Lugones;165017;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120016;1930;1940;1999;x
Marquez;165018;ARG;1939;1941;1945;1990;2;5;2;2;0;5;0;L120017;1939;1960;1999;x
Martinez;165019;ARG;1930;1938;1990;1990;2;4;1;1;0;4;0;L120018;1930;1946;1999;x
Menendez;165020;ARG;1944;1947;1990;1990;3;4;4;1;0;4;0;L120019;1944;1960;1999;x
Molina Gomez;165021;ARG;1937;1941;1946;1990;1;4;0;2;0;4;0;L120020;1937;1960;1999;x
Mosconi;165022;ARG;1930;1930;1990;1990;2;6;2;0;0;5;0;L120021;1930;1940;1999;x
Peron;165023;ARG;1942;1944;1946;1990;2;6;4;2;0;5;0;L120022;1942;1960;1999;x
Pistarini;165024;ARG;1939;1945;1990;1990;3;5;64;1;0;3;0;L120023;1939;1960;1999;x
Ramirez;165025;ARG;1930;1938;1940;1990;1;5;0;2;0;3;0;L120024;1930;1944;1999;x
Rivarola;165026;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120025;1930;1941;1999;x
Rodriguez;165027;ARG;1938;1941;1945;1990;2;4;0;2;0;4;0;L120026;1938;1946;1999;x
Samiento;165028;ARG;1944;1946;1990;1990;3;4;0;1;0;3;0;L120027;1944;1960;1999;x
San Martín;165029;ARG;1940;1943;1990;1990;2;5;4;1;0;3;0;L120028;1940;1960;1999;x
