Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asadorian;455001;ARM;1930;1990;1990;1990;3;3;32;0;0;5;0;L515000;1930;1960;1999;x
Babajanian;455002;ARM;1930;1930;1941;1990;2;4;128;1;0;5;0;M515024;1930;1960;1999;x
Baghramyan;455003;ARM;1930;1930;1941;1990;2;4;0;1;0;5;0;L515002;1930;1960;1999;x
Feyerabend;455004;ARM;1930;1941;1990;1990;2;3;64;1;0;5;0;L515003;1930;1960;1999;x
Hoffmann;455005;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;M515007;1930;1960;1999;x
Kalaydjian;455006;ARM;1930;1990;1990;1990;3;4;1;0;0;5;0;L515005;1930;1960;1999;x
Kanyan;455007;ARM;1930;1930;1930;1990;1;2;1;0;0;5;0;L515006;1930;1960;1999;x
Kardashian;455008;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515007;1930;1960;1999;x
Khachatrian;455009;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515008;1930;1960;1999;x
Nzdek;455010;ARM;1930;1930;1990;1990;2;2;0;0;0;5;0;M515017;1930;1960;1999;x
Osanian;455011;ARM;1930;1930;1930;1930;0;2;513;1;0;5;0;M515008;1930;1960;1999;x
Osebian;455012;ARM;1930;1939;1990;1990;2;2;0;1;0;5;0;M515021;1930;1960;1999;x
Razmik;455013;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515012;1930;1960;1999;x
Rubene;455014;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515013;1930;1960;1999;x
Safaryan;455015;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515014;1930;1960;1999;x
Seviahian;455016;ARM;1930;1990;1990;1990;3;2;16;0;0;5;0;L515015;1930;1960;1999;x
von Gablenz;455017;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515016;1930;1960;1999;x
von Germar;455018;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;L515017;1930;1960;1999;x
von Hörauf;455019;ARM;1930;1990;1990;1990;3;4;514;1;0;5;0;L515018;1930;1960;1999;x
Yessayan;455020;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515019;1930;1960;1999;x
Betche;455021;ARM;1930;1990;1990;1990;3;4;1536;1;0;5;1;M515009;1930;1960;1999;x
Gadow;455022;ARM;1930;1990;1990;1990;3;3;0;0;0;5;1;L515021;1930;1960;1999;x
Isahakian;455023;ARM;1930;1930;1942;1990;2;4;0;1;0;5;1;M515026;1930;1960;1999;x
Rubene;455024;ARM;1930;1990;1990;1990;3;2;0;0;0;5;1;L515013;1930;1960;1999;x
Witthöft-Emden;455025;ARM;1930;1930;1990;1990;2;3;0;0;0;5;1;L515024;1930;1960;1999;x
Agazarian;455026;ARM;1930;1990;1990;1990;3;2;4096;0;0;5;2;M515006;1930;1960;1999;x
Gotthard;455027;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515026;1930;1960;1999;x
Hasse;455028;ARM;1930;1990;1990;1990;3;3;16384;0;0;5;2;L515027;1930;1960;1999;x
Höfert;455029;ARM;1930;1990;1990;1990;3;3;65536;0;0;5;2;L515028;1930;1960;1999;x
Klein;455030;ARM;1930;1938;1990;1990;2;3;0;1;0;5;2;M515010;1930;1960;1999;x
von Gablenz;455031;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515016;1930;1960;1999;x
Manougian;455032;ARM;1897;1914;1914;1914;0;4;2;3;0;5;0;11;1897;1932;1999;x
Nazarpekian;455033;ARM;1897;1914;1914;1932;1;4;0;3;0;5;0;unknownleader;1897;1932;1999;x
Tro;455034;ARM;1897;1914;1914;1914;0;4;0;3;0;5;0;unknownleader;1897;1932;1999;x
Siligian;455035;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Aligian;455036;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Araradian;455037;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Ghorganian;455038;ARM;1897;1914;1932;1932;2;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hamazasb;455039;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Shant;455040;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Kachaznouni;455041;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hakhverdian;455042;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hovsepian;455043;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Kamazian;455044;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Antranik;455045;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Piroumian;455046;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Paghramanian;455047;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
