Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asbulatam;460001;AZB;1930;1990;1990;1990;3;3;16;0;0;5;0;L516000;1930;1960;1999;x
Baer;460002;AZB;1930;1990;1990;1990;3;3;64;0;0;5;0;L516001;1930;1960;1999;x
Berköz;460003;AZB;1930;1930;1939;1990;1;3;4;1;0;5;0;M516007;1930;1960;1999;x
Büsing;460004;AZB;1930;1990;1990;1990;3;3;256;0;0;5;0;L516003;1930;1960;1999;x
Dhambulatov;460005;AZB;1930;1990;1990;1990;3;2;2;0;0;5;0;L516004;1930;1960;1999;x
Gallas;460006;AZB;1930;1990;1990;1990;3;4;256;1;0;5;0;L516005;1930;1960;1999;x
Gasparyan;460007;AZB;1930;1930;1990;1990;2;4;128;0;0;5;0;M516033;1930;1960;1999;x
Herold;460008;AZB;1930;1990;1990;1990;3;3;2;0;0;5;0;L516007;1930;1960;1999;x
Jumshu Kasparov;460009;AZB;1930;1942;1990;1990;3;5;20;1;0;5;0;L516008;1930;1960;1999;x
Kalzhin;460010;AZB;1930;1990;1990;1990;3;2;66;0;0;5;0;L516009;1930;1960;1999;x
Kamalyan;460011;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;M516010;1930;1960;1999;x
Kazaryan;460012;AZB;1930;1939;1990;1990;2;2;1;1;0;5;0;L516011;1930;1960;1999;x
Khamfertsyan;460013;AZB;1930;1930;1990;1990;2;3;1;0;0;5;0;L516012;1930;1960;1999;x
Khosrov Ebk;460014;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;M516028;1930;1960;1999;x
Makhov;460015;AZB;1930;1990;1990;1990;3;2;256;0;0;5;0;M516035;1930;1960;1999;x
Mamedov;460016;AZB;1930;1930;1941;1990;2;4;128;1;0;5;0;M516008;1930;1960;1999;x
Mehmandarov;460017;AZB;1930;1930;1990;1990;2;3;514;1;0;5;0;M516030;1930;1960;1999;x
Müller-Kahle;460018;AZB;1930;1940;1990;1990;3;4;320;1;0;5;0;L516017;1930;1960;1999;x
Tereschenko;460019;AZB;1930;1990;1990;1990;3;3;2;0;0;5;0;L516018;1930;1960;1999;x
Thamzhakhalam;460020;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;L516019;1930;1960;1999;x
Vezirov;460021;AZB;1930;1941;1990;1990;2;3;8;1;0;5;0;L516020;1930;1960;1999;x
von Bothmer;460022;AZB;1930;1990;1990;1990;3;3;32;0;0;5;0;L516021;1930;1960;1999;x
von Dawans;460023;AZB;1930;1990;1990;1990;3;3;1;0;0;5;0;L516022;1930;1960;1999;x
Weese;460024;AZB;1930;1940;1990;1990;2;3;64;1;0;5;0;L516023;1930;1960;1999;x
