Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bhur-ba'i Rgyalpo;330001;BHU;1930;1930;1990;1990;2;2;16;0;0;5;0;L460000;1930;1944;1999;x
Jigme Dorji;330002;BHU;1942;1990;1990;1990;3;2;16;0;0;5;0;L460001;1942;1960;1999;x
Jigme Wangchuk;330003;BHU;1930;1930;1930;1942;0;1;0;1;0;5;0;L460002;1930;1960;1999;x
Karma Dorji;330004;BHU;1938;1945;1990;1990;3;2;0;1;0;5;0;L460003;1938;1960;1999;x
Namgay Wangchuk;330005;BHU;1944;1990;1990;1990;3;2;0;0;0;5;0;L460004;1944;1960;1999;x
Namgyal Bahadur;330006;BHU;1938;1944;1990;1990;3;3;128;1;0;5;0;L460005;1938;1960;1999;x
Sonam Pradukha;330007;BHU;1930;1930;1942;1990;1;2;4;2;0;5;0;L460006;1930;1946;1999;x
Stevens;330008;BHU;1940;1990;1990;1990;3;3;256;1;0;5;0;L460007;1940;1945;1999;x
Suhal Bahadur;330009;BHU;1930;1930;1990;1990;2;4;520;1;0;5;0;L460008;1930;1941;1999;x
Suk Bahadur;330010;BHU;1942;1990;1990;1990;3;2;0;0;0;5;0;L460009;1942;1960;1999;x
Toozey;330011;BHU;1930;1940;1990;1990;2;3;32;1;0;5;0;L460010;1940;1945;1999;x
Weedon-Gould;330012;BHU;1940;1990;1990;1990;3;3;4;1;0;5;0;L460011;1940;1945;1999;x
Akhaz;330013;BHU;1930;1930;1990;1990;2;1;0;0;0;5;1;L460012;1930;1960;1999;x
Gould;330014;BHU;1940;1990;1990;1990;3;3;1024;1;0;5;1;L460013;1940;1945;1999;x
Akhaz;330015;BHU;1930;1943;1990;1990;2;1;0;1;0;5;2;L460014;1930;1946;1999;x
Gould;330016;BHU;1940;1990;1990;1990;3;3;131072;1;0;5;2;L460015;1940;1945;1999;x
Namgyal Bahadur;330017;BHU;1930;1930;1990;1990;2;1;0;0;0;5;2;L460016;1930;1960;1999;x
Barr;330018;BHU;1940;1990;1990;1990;3;3;4096;1;0;5;2;L460017;1940;1945;1999;x
Collett;330019;BHU;1940;1990;1990;1990;3;3;16384;1;0;5;2;L460018;1940;1945;1999;x
