Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arandos Villa;205001;BOL;1945;1990;1990;1990;3;2;256;0;0;5;0;L170000;1945;1960;1999;x
Ballivián Rojas;205002;BOL;1930;1942;1946;1990;2;4;64;2;0;3;0;L170001;1930;1947;1999;x
Bilbao Roja;205003;BOL;1939;1944;1990;1990;3;4;256;1;0;4;0;L170002;1939;1960;1999;x
Blanco Galindo;205004;BOL;1930;1940;1990;1990;2;3;128;1;0;3;0;L170003;1930;1946;1999;x
Busch Beccera;205005;BOL;1930;1930;1990;1990;2;5;16;1;0;4;0;L170004;1930;1939;1999;x
Chacón Morales;205006;BOL;1944;1990;1990;1990;3;3;256;0;0;3;0;L170005;1944;1960;1999;x
Eduardo Sanchéz;205007;BOL;1945;1990;1990;1990;3;3;0;0;0;4;0;L170006;1945;1960;1999;x
Franco Rafél;205008;BOL;1930;1941;1946;1990;2;3;0;2;0;4;0;L170007;1930;1947;1999;x
Kundt;205009;BOL;1930;1930;1930;1990;1;3;0;0;0;3;0;L170008;1930;1938;1999;x
Limár Lanza;205010;BOL;1930;1930;1941;1990;2;3;2;1;0;5;0;L170009;1930;1943;1999;x
Lopez y Lopez;205011;BOL;1943;1947;1990;1990;3;3;1;1;0;3;0;L170010;1943;1947;1999;x
Marzana Reyés;205012;BOL;1930;1930;1990;1990;2;5;544;1;0;4;0;L170011;1930;1940;1999;x
Monje Guiterrez;205013;BOL;1942;1945;1947;1990;2;4;4;2;0;4;0;L170012;1943;1960;1999;x
Montalvo Ruiz;205014;BOL;1938;1940;1990;1990;3;3;1;1;0;3;0;L170013;1938;1944;1999;x
Morales Jauregi;205015;BOL;1937;1990;1990;1990;3;3;0;0;0;5;0;L170014;1937;1946;1999;x
Ovando Candia;205016;BOL;1930;1939;1990;1990;2;3;0;1;0;2;0;L170015;1930;1947;1999;x
Pastor Baldiviseo;205017;BOL;1942;1990;1990;1990;3;3;0;0;0;3;0;L170016;1944;1960;1999;x
Peñaranda del Castillo;205018;BOL;1930;1930;1930;1940;1;3;4;1;0;4;0;L170017;1930;1944;1999;x
Pinto Sanchez;205019;BOL;1943;1990;1990;1990;3;4;0;0;0;3;0;L170018;1943;1960;1999;x
Quintanilla Quiroga;205020;BOL;1930;1930;1990;1990;2;3;1;0;0;4;0;L170019;1930;1940;1999;x
Salinas Arromayo;205021;BOL;1930;1930;1990;1990;2;3;2;0;0;5;0;L170020;1930;1945;1999;x
Toro Ruilova;205022;BOL;1930;1930;1930;1990;1;3;0;0;0;5;0;L170021;1930;1941;1999;x
Villa Gutierrez;205023;BOL;1930;1990;1990;1990;3;3;256;0;0;3;0;L170022;1930;1942;1999;x
Villarroel Lopez;205024;BOL;1938;1940;1990;1990;2;4;32;1;0;4;0;L170023;1938;1944;1999;x
Arancha Basutto;205025;BOL;1944;1946;1990;1990;3;3;1024;1;0;4;1;L170024;1944;1960;1999;x
Arandos Villa;205026;BOL;1945;1990;1990;1990;3;3;0;0;0;5;1;L170025;1945;1960;1999;x
Ibarra Juarez;205027;BOL;1940;1945;1990;1990;2;3;0;1;0;5;1;L170026;1943;1960;1999;x
Marzana Reyés;205028;BOL;1930;1930;1990;1990;2;3;512;1;0;4;1;L170027;1930;1940;1999;x
Arancha Basutto;205029;BOL;1943;1946;1990;1990;3;3;131072;1;0;4;2;L170028;1943;1960;1999;x
Bilbao Roja;205030;BOL;1939;1990;1990;1990;3;3;16384;0;0;4;2;L170029;1939;1960;1999;x
Gravelvíz García;205031;BOL;1944;1990;1990;1990;3;3;16384;0;0;5;2;L170030;1944;1960;1999;x
Ibarra Juarez;205032;BOL;1940;1945;1990;1990;3;3;131072;1;0;5;2;L170031;1943;1960;1999;x
Jordán Amero;205033;BOL;1941;1946;1990;1990;2;3;32768;1;0;3;2;L170032;1941;1960;1999;x
Pavon Ochoa;205034;BOL;1930;1930;1990;1990;2;5;4096;1;0;5;2;L170033;1930;1941;1999;x
Saralegui Sanchéz;205035;BOL;1943;1990;1990;1990;3;3;0;0;0;5;2;L170034;1943;1960;1999;x
Villa Gutierrez;205036;BOL;1930;1990;1990;1990;3;3;0;0;0;3;2;L170035;1930;1942;1999;x
Pando;205037;BOL;1906;1908;1912;1932;1;4;0;3;0;3;0;179;1906;1932;1999;x
López;205038;BOL;1906;1908;1912;1932;1;4;4;3;0;3;0;unknownleader;1906;1932;1999;x
Prudencio;205039;BOL;1906;1908;1912;1932;1;4;0;3;0;3;0;unknownleader;1906;1932;1999;x
Baldivieso;205040;BOL;1908;1912;1932;1932;2;4;0;3;0;3;0;unknownleader;1908;1932;1999;x
Jaúregui;205041;BOL;1912;1932;1932;1932;3;3;0;2;0;3;0;unknownleader;1912;1932;1999;x
La Faye;205042;BOL;1906;1908;1912;1932;1;4;1;3;0;3;0;unknownleader;1906;1932;1999;x
Parejas;205043;BOL;1912;1932;1932;1932;3;1;0;0;0;3;2;unknownleader;1912;1932;1999;x
Vasquez;205044;BOL;1912;1932;1932;1932;3;1;0;0;0;3;2;unknownleader;1912;1932;1999;x
Pinilla;205045;BOL;1906;1908;1912;1932;1;4;0;3;0;3;0;180;1906;1932;1999;x
Montes;205046;BOL;1906;1908;1912;1932;1;4;0;3;0;3;0;181;1906;1932;1999;x
Saavedra;205047;BOL;1906;1908;1912;1932;1;4;0;3;0;3;0;182;1906;1932;1999;x
