Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alberto Venâncio;160001;BRA;1943;1990;1990;1990;3;4;1;0;0;3;0;L31000;1943;1960;1999;x
Alvés Marinho;160002;BRA;1930;1930;1941;1990;1;4;0;1;0;5;0;L31001;1930;1946;1999;x
Aurélio de Monteiro;160003;BRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L31002;1930;1938;1999;x
Barata de Azevedo;160004;BRA;1930;1938;1990;1990;2;5;1;1;0;4;0;L31003;1930;1943;1999;x
Barbosa;160005;BRA;1939;1990;1990;1990;3;6;256;0;0;4;0;L31004;1939;1960;1999;x
Borges da Fonseca Neto;160006;BRA;1944;1990;1990;1990;3;5;1;0;0;5;0;L31005;1944;1960;1999;x
Cardoso;160007;BRA;1938;1943;1990;1990;2;4;1;1;0;4;0;L31006;1938;1960;1999;x
Cassiano;160008;BRA;1945;1990;1990;1990;3;4;0;0;0;3;0;L31007;1945;1960;1999;x
Castello Branca;160009;BRA;1940;1942;1990;1990;2;6;4;1;0;4;0;L31008;1940;1946;1999;x
Coelho Neto;160011;BRA;1937;1944;1990;1990;3;6;128;1;0;4;0;L31010;1937;1947;1999;x
Cordeiro de Farias;160012;BRA;1930;1940;1942;1990;1;6;1;2;0;5;0;L31011;1930;1960;1999;x
Costa é Silva;160013;BRA;1942;1947;1949;1951;1;6;4;3;0;5;0;L31012;1942;1960;1999;x
d'Alincourt Fonseca;160014;BRA;1930;1930;1990;1990;2;5;2;0;0;5;0;L31013;1930;1945;1999;x
da Gama Leirós;160015;BRA;1937;1942;1990;1990;2;4;128;1;0;4;0;L31014;1937;1960;1999;x
da Silva;160016;BRA;1930;1938;1990;1990;2;5;544;2;0;5;0;L31015;1930;1946;1999;x
de Assis;160017;BRA;1938;1941;1943;1990;2;6;2;2;0;5;0;L31016;1938;1960;1999;x
de Souza Dantas de Melo;160018;BRA;1930;1990;1990;1990;3;4;0;0;0;3;0;L31017;1930;1940;1999;x
Dilermando de Assis;160019;BRA;1930;1939;1990;1990;2;4;0;1;0;5;0;L31018;1930;1960;1999;x
do Nascimento;160020;BRA;1941;1990;1990;1990;3;6;16;0;0;3;0;L31019;1941;1947;1999;x
do Nascimento Lins;160021;BRA;1930;1990;1990;1990;3;4;0;0;0;5;0;L31020;1930;1944;1999;x
dos Santos;160022;BRA;1938;1945;1990;1990;3;5;256;1;0;3;0;L31021;1938;1960;1999;x
Falconeiro da Cunha;160023;BRA;1941;1990;1990;1990;3;4;0;0;0;4;0;L31022;1941;1960;1999;x
Fernandes da Silva;160024;BRA;1938;1942;1990;1990;2;4;256;1;0;5;0;L31023;1938;1960;1999;x
Figueiredo;160025;BRA;1937;1941;1990;1990;2;6;0;0;0;3;0;L31024;1937;1946;1999;x
Fiuza de Castro;160026;BRA;1938;1941;1990;1990;2;6;4;1;0;5;0;L31025;1938;1960;1999;x
Floriano de Lima Brayner;160027;BRA;1939;1990;1990;1990;3;6;4;1;0;5;0;L31026;1939;1947;1999;x
Gaspar Dutra;160028;BRA;1930;1930;1930;1930;0;6;0;2;0;4;0;L31027;1930;1946;1999;x
Gleuber Viera;160029;BRA;1943;1990;1990;1990;3;5;64;0;0;5;0;L31028;1943;1960;1999;x
Góes Depóe;160030;BRA;1938;1990;1990;1990;3;4;256;0;0;3;0;L31029;1938;1960;1999;x
Góes Monteiro;160031;BRA;1930;1930;1942;1990;1;4;0;1;0;5;0;L31030;1930;1960;1999;x
Guimarés;160032;BRA;1939;1990;1990;1990;3;6;32;0;0;4;0;L31031;1939;1960;1999;x
Kroner;160033;BRA;1930;1930;1938;1990;1;6;528;2;0;5;0;L31032;1930;1942;1999;x
Kopp;160034;BRA;1930;1939;1990;1990;2;4;128;1;0;4;0;L31033;1930;1945;1999;x
Leitão de Carvalho;160035;BRA;1937;1940;1990;1990;2;4;1;1;0;3;0;L31034;1937;1947;1999;x
Lopes Veira;160036;BRA;1930;1939;1990;1990;3;6;0;1;0;5;0;L31035;1930;1945;1999;x
Mascarenhas de Moraes;160037;BRA;1930;1930;1939;1944;1;6;1;3;0;4;0;L31036;1930;1960;1999;x
Napoleão Poeta;160038;BRA;1930;1930;1990;1990;2;6;576;1;0;5;0;L31037;1930;1941;1999;x
Neves da Fontoura;160039;BRA;1930;1930;1941;1990;1;5;0;1;0;5;0;L31038;1930;1945;1999;x
Newton Cavalcanti;160040;BRA;1939;1942;1990;1990;2;5;0;1;0;3;0;L31039;1939;1960;1999;x
Perdra Pires;160041;BRA;1930;1930;1990;1990;2;6;514;1;0;5;0;L31040;1930;1942;1999;x
Pereira da Costa;160042;BRA;1930;1939;1990;1990;2;4;0;1;0;3;0;L31041;1930;1945;1999;x
Plinio Pitaluga;160043;BRA;1939;1941;1946;1990;2;7;1;2;0;5;0;L31042;1939;1960;1999;x
Ramos de Andrade;160044;BRA;1930;1930;1990;1990;2;4;64;0;0;3;0;L31043;1930;1941;1999;x
Ruschel Vasconcelos;160045;BRA;1939;1944;1990;1990;3;6;256;1;0;4;0;L31044;1939;1946;1999;x
Se Sá Serrão;160046;BRA;1930;1990;1990;1990;3;4;32;0;0;5;0;L31045;1930;1942;1999;x
Solon Ribeiro;160047;BRA;1942;1990;1990;1990;3;5;256;0;0;5;0;L31046;1942;1960;1999;x
Tavares da Silva;160048;BRA;1930;1990;1990;1990;3;4;0;1;0;5;0;L31047;1930;1945;1999;x
Teixeira Lott;160049;BRA;1939;1942;1946;1990;2;6;4;2;0;4;0;L31048;1939;1960;1999;x
Valgas Neves;160050;BRA;1930;1930;1930;1990;1;4;32;0;0;5;0;L31049;1930;1942;1999;x
Zenóbio da Costa;160051;BRA;1938;1942;1990;1990;2;6;64;1;0;4;0;L31050;1938;1947;1999;x
Álvaro Alberto;160052;BRA;1943;1990;1990;1990;3;4;0;0;0;5;1;L31051;1943;1960;1999;x
Álvaro do Cabo;160053;BRA;1941;1943;1990;1990;2;4;0;1;0;4;1;L31052;1941;1960;1999;x
Cantanero da Silva;160054;BRA;1930;1990;1990;1990;3;5;1536;1;0;5;1;L31053;1930;1941;1999;x
Chagnaud de Andrade;160055;BRA;1939;1945;1990;1990;3;4;0;1;0;4;1;L31054;1939;1947;1999;x
do Gusmao Camara;160056;BRA;1945;1950;1990;1990;3;4;0;1;0;4;1;L31055;1945;1960;1999;x
do Henrique Vieja;160057;BRA;1930;1930;1930;1990;1;6;2560;1;0;4;1;L31056;1930;1944;1999;x
Fernandes Pereira;160058;BRA;1943;1990;1990;1990;3;5;0;0;0;4;1;L31057;1943;1960;1999;x
Guilhem do Marais;160059;BRA;1938;1941;1942;1990;1;5;4096;2;0;5;1;L31058;1938;1960;1999;x
Loesch Soares;160060;BRA;1939;1943;1990;1990;2;4;8192;1;0;5;1;L31059;1939;1960;1999;x
Macedo Corrêa Pinto;160061;BRA;1940;1946;1990;1990;3;5;8192;1;0;4;1;L31060;1940;1960;1999;x
Moraes Rego;160062;BRA;1930;1939;1990;1990;2;4;0;1;0;4;1;L31061;1930;1945;1999;x
Padilha;160063;BRA;1930;1937;1941;1990;1;4;0;2;0;3;1;L31062;1930;1960;1999;x
Peixoto;160064;BRA;1930;1930;1930;1930;0;6;8704;1;0;4;1;L31063;1930;1939;1999;x
Pinhas;160065;BRA;1943;1990;1990;1990;3;4;1024;0;0;4;1;L31064;1943;1960;1999;x
Simoes da Silva;160066;BRA;1930;1930;1990;1990;2;5;4608;1;0;4;1;L31065;1930;1943;1999;x
Tavares da Cunhã;160067;BRA;1940;1990;1990;1990;3;4;1024;0;0;5;1;L31066;1940;1947;1999;x
Vidigál;160068;BRA;1938;1941;1990;1990;2;5;0;1;0;3;1;L31067;1938;1960;1999;x
Agliberto Vieira;160069;BRA;1940;1990;1990;1990;3;4;0;0;0;3;2;L31068;1940;1947;1999;x
Aurélio Sampaio;160070;BRA;1937;1990;1990;1990;3;5;0;0;0;4;2;L31069;1937;1943;1999;x
Belloc;160071;BRA;1940;1990;1990;1990;3;5;4096;0;0;4;2;L31070;1940;1960;1999;x
de Ameida;160072;BRA;1939;1942;1990;1990;2;6;33280;1;0;5;2;L31071;1939;1947;1999;x
de Medeiros;160073;BRA;1939;1945;1990;1990;3;4;0;1;0;4;2;L31072;1939;1960;1999;x
dos Santos;160074;BRA;1930;1930;1990;1990;2;6;4096;2;0;5;2;L31073;1930;1945;1999;x
Figueira de Almeida;160075;BRA;1939;1942;1990;1990;2;4;0;0;0;5;2;L31074;1939;1960;1999;x
Filhõ;160076;BRA;1938;1943;1990;1990;2;5;66048;1;0;5;2;L31075;1938;1947;1999;x
Gomés;160077;BRA;1937;1940;1942;1944;1;6;16384;3;0;4;2;L31076;1937;1960;1999;x
Lavenére Wanderley;160078;BRA;1940;1990;1990;1990;3;4;131072;0;0;4;2;L31077;1940;1944;1999;x
Motta Paes;160079;BRA;1942;1944;1949;1990;2;4;0;2;0;5;2;L31078;1942;1960;1999;x
Montenegro Filho;160080;BRA;1941;1990;1990;1990;3;5;0;0;0;3;2;L31079;1941;1944;1999;x
Moura;160081;BRA;1939;1990;1990;1990;3;4;0;0;0;4;2;L31080;1939;1941;1999;x
Nero Moura;160082;BRA;1940;1945;1990;1990;3;6;0;1;0;5;2;L31081;1940;1960;1999;x
Oliveira Gomes;160083;BRA;1930;1938;1941;1990;1;5;0;2;0;5;2;L31082;1930;1960;1999;x
Olsen Sapucaia;160084;BRA;1943;1990;1990;1990;3;4;65536;0;0;5;2;L31083;1943;1960;1999;x
Richardson Cordeiro;160085;BRA;1939;1990;1990;1990;3;5;0;0;0;5;2;L31084;1939;1943;1999;x
Agostinho dos Santos;160086;BRA;1941;1990;1990;1990;3;4;4;0;0;5;0;L31085;1941;1960;1999;x
da Veiga Cabral;160087;BRA;1930;1930;1941;1990;1;5;0;1;0;5;0;L31086;1930;1947;1999;x
de Segadas Viana;160088;BRA;1930;1939;1942;1990;1;6;0;2;0;5;0;L31087;1930;1960;1999;x
Dennys;160089;BRA;1930;1940;1990;1990;2;4;1;1;0;5;0;L31088;1930;1960;1999;x
Espirito Santo Cardoso;160090;BRA;1938;1942;1990;1990;2;4;32;1;0;5;0;L31089;1938;1960;1999;x
Estillac Leal;160091;BRA;1937;1939;1990;1990;2;4;64;1;0;5;0;L31090;1937;1960;1999;x
Kruel;160092;BRA;1941;1943;1948;1990;1;4;128;2;0;5;0;L31091;1941;1960;1999;x
Leite de Castro;160093;BRA;1930;1930;1939;1990;1;3;0;2;0;5;0;L31092;1930;1960;1999;x
Sezefredo Passos;160094;BRA;1930;1930;1930;1990;1;5;544;1;0;5;0;L31093;1930;1943;1999;x
de Noronha;160095;BRA;1930;1930;1939;1990;1;4;0;1;0;5;1;L31094;1930;1946;1999;x
Alencar;160096;BRA;1930;1930;1930;1990;1;5;8704;1;0;5;1;unknownleader;1930;1965;1999;x
Fonseca;160097;BRA;1904;1904;1990;1990;2;4;0;2;0;5;0;192;1904;1923;1999;x
Morais;160098;BRA;1908;1990;1990;1990;1;4;524288;1;0;5;0;2210;1908;1914;1999;x
Andrade Guimarães;160099;BRA;1908;1990;1990;1990;1;4;0;1;0;5;0;188;1908;1920;1999;x
Bormann;160100;BRA;1908;1990;1990;1990;1;4;4;0;0;5;0;196;1908;1919;1999;x
Dantas Barreto;160101;BRA;1908;1990;1990;1990;1;3;1;1;0;5;0;189;1908;1931;1999;x
Fontoura Mena Barreto;160102;BRA;1908;1990;1990;1990;1;5;0;0;0;5;0;185;1908;1923;1999;x
Albuquerque e Silva;160103;BRA;1908;1990;1990;1990;1;4;524288;3;0;5;0;2214;1908;1924;1999;x
Faria;160104;BRA;1908;1990;1990;1990;1;5;0;2;0;5;0;2208;1908;1920;1999;x
Carvalho, F. S.;160105;BRA;1908;1924;1990;1990;2;4;2;1;0;5;0;191;1908;1932;1999;x
Paula Argolo;160106;BRA;1908;1908;1990;1990;2;4;524288;2;0;5;0;unknownleader;1908;1930;1999;x
Frota;160107;BRA;1908;1908;1990;1990;2;4;0;1;0;5;0;unknownleader;1908;1909;1999;x
Silva Rondon;160108;BRA;1908;1990;1990;1990;1;4;0;3;0;5;0;187;1908;1932;1999;x
Passos;160109;BRA;1908;1990;1990;1990;1;3;1;2;0;5;0;2212;1908;1932;1999;x
Deus Mena Barreto;160110;BRA;1924;1990;1990;1990;1;5;0;1;0;5;0;194;1924;1932;1999;x
Leão;160111;BRA;1908;1990;1990;1990;1;4;0;1;0;5;1;195;1908;1913;1999;x
Gomes Pereira;160112;BRA;1908;1908;1990;1990;2;4;0;2;0;5;1;186;1908;1926;1999;x
Carvalho, J. C.;160113;BRA;1912;1990;1990;1990;1;6;0;0;0;5;1;2243;1912;1932;1999;x
Alencar;160114;BRA;1908;1908;1990;1990;2;4;0;2;0;5;1;184;1908;1927;1999;x
Kirk;160115;BRA;1912;1914;1990;1990;2;4;0;3;0;5;2;2213;1912;1915;1999;x
Ribeiro Filho;160116;BRA;1916;1990;1990;1990;1;4;0;1;0;5;2;unknownleader;1916;1932;1999;x
Delamare;160117;BRA;1916;1990;1990;1990;1;6;0;1;0;5;2;unknownleader;1916;1932;1999;x
Melo;160118;BRA;1916;1990;1990;1990;1;4;0;1;0;5;2;unknownleader;1916;1932;1999;x
Carvalho, J. C.;160119;BRA;1911;1990;1990;1990;1;5;0;0;0;5;2;2243;1911;1932;1999;x
