Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allmand;465001;BUR;1942;1990;1990;1990;3;5;256;0;0;5;0;L563000;1942;1947;1999;x
Aung San;465002;BUR;1930;1939;1941;1990;1;5;17;3;0;5;0;L563001;1930;1947;1999;x
Ba Gyi;465003;BUR;1938;1940;1990;1990;2;4;17;1;0;5;0;L563002;1938;1960;1999;x
Blaker;465004;BUR;1939;1990;1990;1990;3;5;256;1;0;5;0;L563003;1939;1960;1999;x
Clarkson;465005;BUR;1930;1930;1990;1990;2;5;514;1;0;5;0;M563008;1930;1941;1999;x
Cochrane;465006;BUR;1930;1930;1930;1990;1;4;2;0;0;5;0;M563003;1930;1943;1999;x
Fitzgerald;465007;BUR;1940;1943;1990;1990;2;5;64;1;0;5;0;M563037;1940;1960;1999;x
Htunyin Nawngwawn;465008;BUR;1940;1990;1990;1990;3;4;16;0;0;5;0;L563007;1940;1960;1999;x
Khun Sa;465009;BUR;1930;1940;1945;1990;1;4;16;2;0;5;0;M563039;1930;1960;1999;x
Khunserk Mangrai;465010;BUR;1938;1990;1990;1990;3;5;16;0;0;5;0;L563009;1938;1960;1999;x
Kyi Aung;465011;BUR;1945;1990;1990;1990;3;2;2;0;0;5;0;L563010;1945;1960;1999;x
Lun Thi;465012;BUR;1944;1990;1990;1990;3;3;32;0;0;5;0;L563011;1944;1960;1999;x
Maung Khin;465013;BUR;1941;1990;1990;1990;3;4;4;0;0;5;0;M563040;1941;1960;1999;x
Maung Thein;465014;BUR;1944;1990;1990;1990;3;3;4;0;0;5;0;L563013;1944;1960;1999;x
Merrick;465015;BUR;1943;1990;1990;1990;3;5;128;0;0;5;0;M563042;1943;1960;1999;x
Mya Bo;465016;BUR;1930;1943;1990;1990;2;5;272;2;0;5;0;M563038;1930;1960;1999;x
Myint Swe;465017;BUR;1943;1946;1990;1990;2;4;0;1;0;5;0;L563016;1943;1960;1999;x
Ne Win;465018;BUR;1939;1944;1947;1990;2;6;1;2;0;5;0;L101130;1939;1960;1999;x
Nyunt Tin;465019;BUR;1945;1990;1990;1990;3;2;128;0;0;5;0;L563018;1945;1960;1999;x
Ohn Myint;465020;BUR;1944;1990;1990;1990;3;3;64;0;0;5;0;L563019;1944;1960;1999;x
Pyi Sone;465021;BUR;1943;1945;1990;1990;2;3;128;1;0;5;0;L563020;1943;1960;1999;x
Sai Hla;465022;BUR;1940;1990;1990;1990;3;3;16;0;0;5;0;L563021;1940;1946;1999;x
Saw Oo;465023;BUR;1939;1943;1990;1990;2;4;18;1;0;5;0;M563022;1939;1960;1999;x
Saw Tun;465024;BUR;1944;1990;1990;1990;3;3;0;0;0;5;0;L563023;1944;1960;1999;x
Sein Htwa;465025;BUR;1945;1990;1990;1990;3;2;0;0;0;5;0;L563024;1945;1960;1999;x
Smith Dun;465026;BUR;1930;1944;1990;1990;2;5;32;1;0;5;0;M563036;1930;1960;1999;x
Thaik Tun;465027;BUR;1940;1945;1990;1990;2;3;256;1;0;5;0;M563019;1940;1960;1999;x
Than Shwe;465028;BUR;1943;1945;1947;1990;1;5;1;2;0;5;0;L563027;1943;1960;1999;x
Thapa;465029;BUR;1930;1990;1990;1990;3;5;256;0;0;5;0;L563028;1930;1945;1999;x
Thein Nyunt;465030;BUR;1944;1946;1990;1990;2;4;0;1;0;5;0;L563029;1944;1960;1999;x
Tin Hlaing;465031;BUR;1945;1990;1990;1990;3;2;0;0;0;5;0;L563030;1945;1960;1999;x
Tin Htut;465032;BUR;1944;1990;1990;1990;3;3;1;0;0;5;0;L563031;1944;1960;1999;x
Wing Maun;465033;BUR;1938;1944;1990;1990;2;4;16;1;0;5;0;M563028;1938;1960;1999;x
Bromell;465034;BUR;1939;1990;1990;1990;3;4;0;0;0;5;1;L563033;1939;1960;1999;x
Little;465035;BUR;1941;1990;1990;1990;3;4;8192;0;0;5;1;L563034;1941;1960;1999;x
Poigdestre;465036;BUR;1938;1942;1990;1990;2;4;4096;1;0;5;1;M563047;1938;1960;1999;x
Scott-Paine;465037;BUR;1930;1939;1990;1990;2;5;0;1;0;5;1;M563009;1930;1960;1999;x
Soe Buu;465038;BUR;1930;1940;1990;1990;2;3;1024;1;0;5;1;M563015;1930;1960;1999;x
Thaw Ka;465039;BUR;1939;1990;1990;1990;3;2;2048;0;0;5;1;M563048;1939;1960;1999;x
Aik Luk;465040;BUR;1942;1990;1990;1990;3;3;4096;0;0;5;2;M563051;1942;1960;1999;x
Baldwin;465041;BUR;1930;1940;1990;1990;2;4;0;1;0;5;2;L563040;1930;1960;1999;x
Maltby;465042;BUR;1930;1930;1939;1990;1;6;16384;2;0;5;2;M563010;1930;1960;1999;x
Robb;465043;BUR;1930;1990;1990;1990;3;4;4096;0;0;5;2;L563042;1930;1945;1999;x
Smart;465044;BUR;1941;1990;1990;1990;3;4;65536;0;0;5;2;L563043;1941;1960;1999;x
Thaik Tun;465045;BUR;1940;1945;1990;1990;2;3;0;1;0;5;2;M563019;1940;1960;1999;x
Tin Tun;465046;BUR;1942;1990;1990;1990;3;3;32768;0;0;5;2;M563052;1942;1960;1999;x
