Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
An San Kham;590001;CMB;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1960;1999;x
Chhun Lim;590002;CMB;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1960;1999;x
Claude;590003;CMB;1942;1990;1990;1990;3;3;256;0;0;5;0;L541002;1942;1960;1999;x
Coquoin;590004;CMB;1937;1990;1990;1990;3;3;128;0;0;5;0;L541003;1937;1943;1999;x
de Roussac Salcién;590005;CMB;1930;1930;1990;1990;2;4;514;1;0;5;0;M541008;1930;1941;1999;x
Fournier de la Barre;590006;CMB;1940;1990;1990;1990;3;4;129;1;0;5;0;L541005;1940;1960;1999;x
Gauthier;590007;CMB;1930;1930;1943;1990;2;3;258;1;0;5;0;M541007;1930;1960;1999;x
Kieng Vang;590008;CMB;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1960;1999;x
Krisan Cheda;590009;CMB;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1960;1999;x
Laffon;590010;CMB;1940;1990;1990;1990;3;4;128;0;0;5;0;M541048;1940;1960;1999;x
Lon Nol;590011;CMB;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1960;1999;x
Noireau;590012;CMB;1940;1990;1990;1990;3;4;272;1;0;5;0;L541011;1940;1960;1999;x
Oliver;590013;CMB;1939;1990;1990;1990;3;3;96;1;0;5;0;L541012;1939;1945;1999;x
Quantin;590014;CMB;1941;1990;1990;1990;3;3;256;0;0;5;0;L541013;1941;1960;1999;x
Sakiwat Phirun;590015;CMB;1939;1990;1990;1990;3;2;0;0;0;5;0;M541037;1939;1960;1999;x
Sihanouk Norodom;590016;CMB;1941;1941;1941;1990;1;2;0;0;0;5;0;M541044;1941;1960;1999;x
Sisowath Monireth;590017;CMB;1930;1940;1990;1990;2;2;1;1;0;5;0;M541046;1930;1960;1999;x
Sisowath Monivong;590018;CMB;1930;1930;1930;1990;1;2;0;0;0;5;0;L541017;1930;1941;1999;x
Sisowath Watchayavong;590019;CMB;1930;1943;1990;1990;2;2;0;1;0;5;0;M541049;1930;1960;1999;x
Son Sen;590020;CMB;1930;1940;1990;1990;2;5;16;1;0;5;0;M541051;1930;1960;1999;x
Tranape;590021;CMB;1940;1990;1990;1990;3;4;256;0;0;5;0;L541020;1940;1960;1999;x
Claude;590022;CMB;1942;1990;1990;1990;3;2;8192;1;0;5;1;L541002;1942;1960;1999;x
Hy Weng;590023;CMB;1939;1990;1990;1990;3;2;8192;0;0;5;1;M541041;1939;1960;1999;x
Norodom Sihanouk;590024;CMB;1941;1941;1990;1990;2;2;0;0;0;5;1;M541054;1941;1960;1999;x
Patou;590025;CMB;1939;1943;1990;1990;2;4;4096;1;0;5;1;M541053;1939;1960;1999;x
Thibeaudeau;590026;CMB;1930;1930;1990;1990;2;3;1024;1;0;5;1;M541002;1930;1943;1999;x
Trolley de Prevaux;590027;CMB;1930;1943;1990;1990;2;3;4096;1;0;5;1;M541052;1930;1960;1999;x
Claude;590028;CMB;1942;1990;1990;1990;3;2;8192;0;0;5;2;L541002;1942;1960;1999;x
Gauthier;590029;CMB;1930;1930;1943;1990;2;3;0;1;0;5;2;M541007;1930;1960;1999;x
Jacquier;590030;CMB;1942;1990;1990;1990;3;3;4096;0;0;5;2;L541029;1942;1960;1999;x
Norodom Sihanouk;590031;CMB;1942;1942;1990;1990;2;2;32768;0;0;5;2;M541058;1942;1960;1999;x
Soufflet;590032;CMB;1939;1990;1990;1990;3;3;131072;1;0;5;2;M541057;1939;1960;1999;x
Trigaud;590033;CMB;1940;1990;1990;1990;3;3;16384;0;0;5;2;M541056;1940;1960;1999;x
Valentin;590034;CMB;1942;1990;1990;1990;3;3;4096;0;0;5;2;L541033;1942;1960;1999;x
