Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Cardenas Roa;175001;COL;1941;1990;1990;1990;3;5;256;0;0;5;0;L180000;1941;1960;1999;x
Castaneda Sanchez;175002;COL;1930;1930;1939;1990;1;3;1;1;0;3;0;L180001;1930;1945;1999;x
Folio Lozano;175003;COL;1938;1990;1990;1990;3;4;32;0;0;4;0;L180002;1938;1960;1999;x
Gaitan Vargas;175004;COL;1942;1944;1946;1990;2;4;0;2;0;5;0;L180003;1942;1960;1999;x
Galves Serrano;175005;COL;1930;1939;1990;1990;2;3;64;1;0;2;0;L180004;1930;1946;1999;x
German Ocampo;175006;COL;1943;1990;1990;1990;3;3;4;0;0;3;0;L180005;1943;1960;1999;x
Londoño y Londoño;175007;COL;1930;1941;1990;1990;2;3;128;1;0;2;0;L180006;1930;1946;1999;x
Martinéz Pérez;175008;COL;1944;1990;1990;1990;3;4;128;0;0;5;0;L180007;1944;1960;1999;x
Mendieta Leon;175009;COL;1939;1945;1990;1990;3;4;0;1;0;4;0;L180008;1939;1960;1999;x
Mercado;175010;COL;1930;1930;1990;1990;2;3;1;0;0;4;0;L180009;1930;1945;1999;x
Mercado Sanchez;175011;COL;1930;1939;1943;1990;2;3;128;2;0;5;0;L180010;1930;1960;1999;x
Moutis Harquer;175012;COL;1938;1942;1990;1990;2;3;4;1;0;4;0;L180011;1938;1946;1999;x
Padilla Manrique;175013;COL;1940;1990;1990;1990;3;3;4;0;0;3;0;L180012;1940;1960;1999;x
Piedrahita Arango;175014;COL;1930;1939;1990;1990;2;3;1;1;0;3;0;L180013;1930;1946;1999;x
Piedrahita Escobar;175015;COL;1930;1990;1990;1990;3;5;0;0;0;4;0;L180014;1930;1941;1999;x
Poirier Escobar;175016;COL;1930;1930;1930;1930;0;5;514;1;0;5;0;L180015;1930;1940;1999;x
Quinones;175017;COL;1930;1938;1943;1990;1;5;64;2;0;4;0;L180016;1930;1960;1999;x
Ramos Vasquez;175018;COL;1945;1990;1990;1990;3;3;0;0;0;4;0;L180017;1945;1960;1999;x
Rojas Pinilla;175019;COL;1930;1939;1942;1946;1;5;1;4;0;4;0;L180018;1930;1960;1999;x
Romero Albeiro;175020;COL;1943;1945;1990;1990;2;3;0;1;0;4;0;L180019;1943;1960;1999;x
Ruiz Mares;175021;COL;1930;1939;1990;1990;2;3;2;1;0;3;0;L180020;1930;1947;1999;x
Sanchez Vargas;175022;COL;1944;1990;1990;1990;3;3;1;0;0;5;0;L180021;1944;1960;1999;x
Tamayo;175023;COL;1943;1990;1990;1990;3;4;256;0;0;3;0;L180022;1943;1960;1999;x
Villamil Cespedes;175024;COL;1938;1943;1990;1990;3;5;256;1;0;2;0;L180023;1938;1960;1999;x
Acevedo;175025;COL;1930;1930;1930;1990;1;3;8704;1;0;5;1;L180024;1930;1960;1999;x
Balancá Morales;175026;COL;1942;1990;1990;1990;3;3;1024;0;0;5;1;L180025;1942;1960;1999;x
Benitez Moreno;175027;COL;1945;1990;1990;1990;3;3;8192;0;0;4;1;L180026;1945;1960;1999;x
Espinoza Gacitua;175028;COL;1930;1941;1990;1990;3;4;0;1;0;4;1;L180027;1930;1945;1999;x
Mantilla Duarte;175029;COL;1938;1943;1990;1990;2;3;0;1;0;3;1;L180028;1938;1960;1999;x
Monsado Urribe;175030;COL;1945;1990;1990;1990;3;5;2048;0;0;4;1;L180029;1945;1960;1999;x
Porto Anzuela;175031;COL;1940;1990;1990;1990;3;3;0;0;0;4;1;L180030;1940;1946;1999;x
