Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Braun;260001;CHC;1930;1990;1990;1990;3;4;64;1;0;4;0;L76300;1930;1939;1999;x
Zhang Qinqiu;260002;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1930;1943;1999;x
Zhang Guotao;260003;CHC;1924;1924;1924;1990;1;4;0;4;0;1;0;L76302;1924;1937;1999;x
Chang Dingcheng;260004;CHC;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1970;1999;x
Chang Yunyi;260005;CHC;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1970;1999;x
Zhao Shangzhi;260006;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1930;1946;1999;x
Zhao Yiman;260007;CHC;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1970;1999;x
Chen Changhao;260008;CHC;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1930;1970;1999;x
Chen Geng;260009;CHC;1941;1945;1955;1990;3;4;0;2;0;4;0;312;1941;1961;1999;x
Chen Guang;260010;CHC;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1954;1999;x
Chen Yi;260011;CHC;1924;1924;1942;1990;1;7;68;3;0;4;0;313;1924;1970;1999;x
Zhou Enlai;260012;CHC;1924;1924;1924;1990;1;4;1;2;0;4;0;314;1924;1970;1999;x
Zhu De;260013;CHC;1924;1924;1924;1946;1;8;0;4;0;4;0;L76312;1924;1976;1999;x
He Long;260014;CHC;1927;1937;1990;1990;2;6;0;2;0;3;0;315;1927;1969;1999;x
Xiang Ying;260015;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;316;1930;1941;1999;x
Xu Haidong;260016;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;317;1938;1970;1999;x
Xu Xiangqian;260017;CHC;1940;1943;1990;1990;2;4;0;2;0;4;0;318;1940;1990;1999;x
Xu Guangda;260018;CHC;1939;1942;1947;1990;2;5;0;3;0;4;0;L76317;1939;1970;1999;x
Huang Kecheng;260019;CHC;1940;1945;1990;1990;3;4;0;2;0;4;0;319;1940;1986;1999;x
Gao Gang;260020;CHC;1930;1990;1990;1990;3;4;16;1;0;4;0;320;1930;1945;1999;x
Kim Weon-bong;260021;CHC;1940;1990;1990;1990;3;4;0;1;0;2;0;L76320;1940;1944;1999;x
Li Chen;260022;CHC;1943;1990;1990;1990;3;4;16;1;0;4;0;L76321;1943;1970;1999;x
Li Xiannian;260023;CHC;1930;1930;1940;1990;1;4;0;2;0;4;0;321;1930;1970;1999;x
Li Youbang;260024;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76323;1938;1946;1999;x
Lin Biao;260025;CHC;1930;1942;1955;1957;1;8;18;5;0;3;0;L76324;1930;1971;1999;x
Liu Zhidan;260026;CHC;1930;1930;1990;1990;2;4;1;1;0;4;0;L76325;1930;1942;1999;x
Liu Bocheng;260027;CHC;1931;1944;1990;1990;2;4;5;1;0;4;0;322;1931;1986;1999;x
Luo Ruijing;260028;CHC;1945;1990;1990;1990;3;4;0;1;0;4;0;323;1945;1970;1999;x
Luo Ronghuan;260029;CHC;1938;1944;1990;1990;2;4;0;2;0;4;0;324;1938;1970;1999;x
Luo Binghui;260030;CHC;1930;1990;1990;1990;3;5;0;1;0;4;0;L76329;1930;1970;1999;x
Ma Benzhai;260031;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76330;1930;1941;1999;x
Mao Zedong;260032;CHC;1924;1924;1924;1924;0;5;16;3;0;5;0;325;1924;1970;1999;x
Mu Jong;260033;CHC;1930;1939;1990;1990;2;6;64;2;0;5;0;L76332;1930;1970;1999;x
