Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Du Ping;735001;PRK;1943;1990;1990;1990;3;6;256;0;0;5;0;L579000;1943;1960;1999;x
Gan Siqi;735002;PRK;1938;1944;1990;1990;2;4;2;1;0;5;0;L579001;1938;1960;1999;x
Han Xianchu;735003;PRK;1930;1940;1944;1990;1;4;0;3;0;5;0;L579002;1930;1960;1999;x
Hong Xuezhi;735004;PRK;1942;1990;1990;1990;3;3;1;0;0;5;0;L579003;1942;1960;1999;x
Kim Il Sung;735005;PRK;1930;1930;1930;1930;0;3;1;1;0;5;0;L579004;1930;1960;1999;x
Lai Chuanzhu;735006;PRK;1944;1990;1990;1990;3;2;0;0;0;5;0;L579005;1944;1960;1999;x
Li Jukui;735007;PRK;1941;1990;1990;1990;3;4;128;0;0;5;0;L579006;1941;1960;1999;x
Liu Fei;735008;PRK;1940;1990;1990;1990;3;3;0;0;0;5;0;L579007;1940;1960;1999;x
Nie Fengzhi;735009;PRK;1937;1942;1943;1990;1;5;128;2;0;5;0;L579008;1937;1960;1999;x
Quin Jiwei;735010;PRK;1940;1943;1990;1990;2;4;64;1;0;5;0;L579009;1940;1960;1999;x
Ra Pilk Wan;735011;PRK;1945;1990;1990;1990;3;2;0;0;0;5;0;L579010;1945;1960;1999;x
Song Shilun;735012;PRK;1930;1940;1990;1990;2;4;64;1;0;5;0;M579007;1930;1960;1999;x
Su Yu;735013;PRK;1930;1930;1942;1943;0;5;9;3;0;5;0;L579012;1930;1960;1999;x
Tao Yong;735014;PRK;1939;1942;1990;1990;2;4;0;1;0;5;0;M579013;1939;1960;1999;x
Wu Ruilin;735015;PRK;1945;1990;1990;1990;3;3;32;0;0;5;0;L579014;1945;1960;1999;x
Xiao Jinguang;735016;PRK;1930;1990;1990;1990;3;4;1;0;0;5;0;M579006;1930;1960;1999;x
Xu Binzhou;735017;PRK;1938;1942;1990;1990;2;5;16;1;0;5;0;M579016;1938;1960;1999;x
Yang Dezhi;735018;PRK;1942;1990;1990;1990;3;2;0;0;0;5;0;L579017;1942;1960;1999;x
Zhang Renchu;735019;PRK;1941;1990;1990;1990;3;4;8;0;0;5;0;M579018;1941;1960;1999;x
Zheng Weishan;735020;PRK;1939;1941;1990;1990;2;3;256;1;0;5;0;M579019;1939;1960;1999;x
Zhoui Biao;735021;PRK;1930;1939;1942;1990;1;5;4;2;0;5;0;M579020;1930;1960;1999;x
Chen Xilian;735022;PRK;1938;1942;1990;1990;2;3;2048;1;0;5;1;L579021;1938;1960;1999;x
Chen Yun;735023;PRK;1930;1990;1990;1990;3;3;0;0;0;5;1;L579022;1930;1960;1999;x
Deng Hua;735024;PRK;1944;1990;1990;1990;3;4;4096;0;0;5;1;L579023;1944;1960;1999;x
Kang Kon;735025;PRK;1942;1990;1990;1990;3;3;0;0;0;5;1;L579024;1942;1960;1999;x
Liu Xiyuan;735026;PRK;1930;1940;1945;1990;1;3;1024;2;0;5;1;M579009;1930;1960;1999;x
Chen Geng;735027;PRK;1940;1990;1990;1990;3;4;131072;0;0;5;2;L579026;1940;1960;1999;x
Li Kenong;735028;PRK;1930;1930;1943;1990;1;4;32768;2;0;5;2;M579010;1930;1960;1999;x
Li Zhimin;735029;PRK;1940;1943;1990;1990;2;3;0;2;0;5;2;L579028;1940;1960;1999;x
Liang Xingchu;735030;PRK;1944;1990;1990;1990;3;3;65536;1;0;5;2;L579029;1944;1960;1999;x
Liu Yalou;735031;PRK;1940;1943;1990;1990;2;4;0;1;0;5;2;L579030;1940;1960;1999;x
Wang Daobang;735032;PRK;1944;1990;1990;1990;3;3;4096;0;0;5;2;L579031;1944;1960;1999;x
Wang Yinshan;735033;PRK;1942;1990;1990;1990;3;4;8192;0;0;5;2;L579032;1942;1960;1999;x
Wu Xinquan;735034;PRK;1938;1942;1990;1990;2;3;0;1;0;5;2;L579033;1938;1960;1999;x
Yuan Shengping;735035;PRK;1945;1990;1990;1990;3;3;0;0;0;5;2;L579034;1945;1960;1999;x
