Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Begic;275001;CRO;1930;1941;1945;1990;2;5;128;2;0;4;0;L44600;1930;1960;1999;x
Boban;275002;CRO;1930;1943;1990;1990;3;6;0;1;0;4;0;L44601;1930;1960;1999;x
Budak;275003;CRO;1941;1990;1990;1990;3;4;64;0;0;5;0;L44602;1941;1944;1999;x
Dragicevic;275004;CRO;1930;1930;1990;1990;2;4;516;1;0;5;0;L44603;1930;1960;1999;x
Dragojlov;275005;CRO;1930;1942;1990;1990;2;4;4;1;0;5;0;L44604;1930;1960;1999;x
Francetic;275006;CRO;1941;1990;1990;1990;3;4;256;0;0;5;0;L44605;1941;1942;1999;x
Halla;275007;CRO;1941;1990;1990;1990;3;4;0;0;0;5;0;L44606;1941;1960;1999;x
Kvaternik  E.;275008;CRO;1930;1941;1990;1990;2;4;0;1;0;5;0;L44607;1930;1960;1999;x
Kvaternik  S.;275009;CRO;1930;1930;1930;1930;0;6;514;2;0;4;0;L44608;1930;1960;1999;x
Laxa;275010;CRO;1930;1930;1941;1990;1;6;513;1;0;4;0;L44609;1930;1945;1999;x
Lorkovic;275011;CRO;1942;1990;1990;1990;3;4;16;0;0;5;0;L44610;1942;1945;1999;x
Luburic;275012;CRO;1941;1990;1990;1990;3;5;0;0;0;3;0;L44611;1941;1960;1999;x
Lukic;275013;CRO;1930;1930;1940;1990;1;6;0;1;0;3;0;L44612;1930;1942;1999;x
Majetic;275014;CRO;1941;1990;1990;1990;3;4;256;0;0;2;0;L44613;1941;1960;1999;x
Markulj;275015;CRO;1941;1990;1990;1990;3;4;0;0;0;3;0;L44614;1941;1960;1999;x
Mesic;275016;CRO;1930;1930;1990;1990;2;4;64;0;0;4;0;L44615;1930;1944;1999;x
Moskov;275017;CRO;1942;1990;1990;1990;3;4;0;0;0;3;0;L44616;1942;1960;1999;x
Navratil;275018;CRO;1930;1930;1942;1990;1;5;0;1;0;4;0;L44617;1930;1960;1999;x
Opacic;275019;CRO;1941;1990;1990;1990;3;4;8;0;0;4;0;L44618;1941;1960;1999;x
Stancer;275020;CRO;1930;1930;1941;1990;1;4;0;1;0;5;0;9711;1930;1960;1999;x
Vokic;275021;CRO;1930;1941;1990;1990;3;4;1;1;0;4;0;L44620;1930;1960;1999;x
von Percevic;275022;CRO;1930;1941;1943;1990;2;7;4;2;0;5;0;L44621;1930;1960;1999;x
Jakcin;275023;CRO;1930;1941;1990;1990;2;4;0;1;0;5;1;L44622;1930;1960;1999;x
Angeli;275024;CRO;1941;1990;1990;1990;3;4;0;0;0;4;1;L44623;1941;1960;1999;x
Steinfl;275025;CRO;1941;1990;1990;1990;3;5;1024;0;0;0;1;L44624;1941;1960;1999;x
Dukovac;275026;CRO;1941;1990;1990;1990;3;6;4096;0;0;5;2;L44625;1941;1960;1999;x
Galic;275027;CRO;1941;1990;1990;1990;3;6;4096;0;0;5;2;L44626;1941;1960;1999;x
Halla;275028;CRO;1941;1990;1990;1990;3;4;0;0;0;5;2;L44627;1941;1960;1999;x
Kren;275029;CRO;1930;1941;1990;1990;2;4;0;1;0;5;2;L44628;1930;1960;1999;x
Rogulja;275030;CRO;1930;1941;1990;1990;2;4;0;1;0;4;2;L44629;1930;1960;1999;x
Vokic;275031;CRO;1930;1941;1990;1990;3;4;0;1;0;4;2;L44630;1930;1960;1999;x
