Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Anderson;600001;CSA;1930;1930;1990;1990;2;6;513;1;0;5;0;L573000;1930;1943;1999;x
Atkinson;600002;CSA;1940;1944;1990;1990;2;7;256;1;0;5;0;L573001;1940;1960;1999;x
Austin;600003;CSA;1941;1943;1990;1990;2;6;128;1;0;5;0;M573042;1941;1960;1999;x
Baker;600004;CSA;1942;1990;1990;1990;3;4;0;0;0;5;0;L573003;1942;1960;1999;x
Barber;600005;CSA;1943;1990;1990;1990;3;5;128;0;0;5;0;L573004;1943;1960;1999;x
Barry;600006;CSA;1940;1943;1990;1990;2;5;2;1;0;5;0;L573005;1940;1960;1999;x
Black;600007;CSA;1942;1990;1990;1990;3;4;1;0;0;5;0;L573006;1942;1960;1999;x
Bradley;600008;CSA;1942;1990;1990;1990;3;4;128;0;0;5;0;L573007;1942;1960;1999;x
Breidster;600009;CSA;1930;1940;1944;1990;1;7;5;2;0;5;0;L573008;1930;1960;1999;x
Browning;600010;CSA;1938;1942;1990;1990;2;5;64;1;0;5;0;L573009;1938;1960;1999;x
Brownley;600011;CSA;1930;1990;1990;1990;3;3;0;0;0;5;0;L573010;1930;1944;1999;x
Carlson;600012;CSA;1943;1990;1990;1990;3;5;256;0;0;5;0;L573011;1943;1960;1999;x
Coutts;600013;CSA;1940;1943;1990;1990;2;6;256;1;0;5;0;L573012;1940;1960;1999;x
Deas;600014;CSA;1943;1990;1990;1990;3;4;1;0;0;5;0;L573013;1943;1960;1999;x
Deauville;600015;CSA;1941;1990;1990;1990;3;4;0;0;0;5;0;L573014;1941;1960;1999;x
Denhardt;600016;CSA;1930;1930;1990;1990;2;5;2;1;0;5;0;L573015;1930;1960;1999;x
DeWeese;600017;CSA;1930;1938;1990;1990;2;4;0;1;0;5;0;L573016;1930;1960;1999;x
Ellis;600018;CSA;1930;1990;1990;1990;3;4;514;1;0;5;0;L573017;1930;1942;1999;x
Elmore;600019;CSA;1938;1942;1990;1990;2;5;2;1;0;5;0;L573018;1938;1960;1999;x
Fleming;600020;CSA;1938;1990;1990;1990;3;4;0;0;0;5;0;L573019;1938;1960;1999;x
Graves;600021;CSA;1930;1930;1930;1990;1;5;0;1;0;5;0;M573007;1930;1960;1999;x
Haldeman;600022;CSA;1930;1930;1930;1990;1;8;514;1;0;5;0;L573021;1930;1942;1999;x
Hamilton;600023;CSA;1942;1990;1990;1990;3;6;128;0;0;5;0;L573022;1942;1960;1999;x
Hoffman;600024;CSA;1930;1990;1990;1990;3;3;0;0;0;5;0;L573023;1930;1960;1999;x
Hutchison;600025;CSA;1930;1940;1990;1990;2;6;4;1;0;5;0;L573024;1930;1960;1999;x
Jarman;600026;CSA;1939;1939;1990;1990;2;3;0;0;0;5;0;L573025;1939;1960;1999;x
Jones;600027;CSA;1930;1990;1990;1990;3;5;0;0;0;5;0;L573026;1930;1960;1999;x
Jouett;600028;CSA;1930;1930;1930;1990;1;6;515;1;0;5;0;M573008;1930;1943;1999;x
Kehoe;600029;CSA;1938;1990;1990;1990;3;3;0;0;0;5;0;L573028;1938;1960;1999;x
Knox;600030;CSA;1930;1930;1930;1990;1;5;514;1;0;5;0;L573029;1930;1942;1999;x
Lee;600031;CSA;1930;1930;1990;1990;2;5;32;0;0;5;0;L573030;1930;1960;1999;x
Lindsey;600032;CSA;1939;1990;1990;1990;3;5;16;0;0;5;0;L573031;1939;1960;1999;x
Lloyd;600033;CSA;1938;1942;1990;1990;2;6;4;1;0;5;0;L573032;1938;1960;1999;x
May;600034;CSA;1939;1943;1990;1990;2;4;0;1;0;5;0;L573033;1939;1960;1999;x
McAllister;600035;CSA;1938;1990;1990;1990;3;4;1;0;0;5;0;L573034;1938;1960;1999;x
McClain;600036;CSA;1930;1939;1990;1990;2;5;32;1;0;5;0;L573035;1930;1960;1999;x
McMurphy;600037;CSA;1930;1930;1990;1990;2;6;514;1;0;5;0;L573036;1930;1941;1999;x
Morris;600038;CSA;1930;1930;1990;1990;2;3;514;1;0;5;0;L573037;1930;1945;1999;x
Murray;600039;CSA;1930;1940;1942;1990;1;6;64;2;0;5;0;M573041;1930;1960;1999;x
Pattison;600040;CSA;1930;1990;1990;1990;3;4;1;0;0;5;0;L573039;1930;1946;1999;x
Polin;600041;CSA;1930;1939;1941;1990;1;4;4;2;0;5;0;M573043;1930;1960;1999;x
Rexroad;600042;CSA;1930;1990;1990;1990;3;4;2;0;0;5;0;L573041;1930;1960;1999;x
Rivers;600043;CSA;1930;1990;1990;1990;3;6;16;0;0;5;0;L573042;1930;1944;1999;x
Sanderson;600044;CSA;1940;1990;1990;1990;3;4;1;0;0;5;0;L573043;1940;1960;1999;x
Schuler;600045;CSA;1941;1990;1990;1990;3;6;4;0;0;5;0;L573044;1941;1960;1999;x
Van Holt Nash;600046;CSA;1930;1930;1930;1990;1;3;513;2;0;5;0;L573045;1930;1941;1999;x
Wark G.;600047;CSA;1930;1930;1930;1930;0;5;1;1;0;5;0;L573046;1930;1960;1999;x
Wark H.;600048;CSA;1930;1930;1990;1990;2;4;1;0;0;5;0;L573047;1930;1943;1999;x
Wilder;600049;CSA;1930;1990;1990;1990;3;2;0;0;0;5;0;L573048;1930;1945;1999;x
Williams;600050;CSA;1938;1941;1943;1990;1;6;128;2;0;5;0;M573045;1938;1960;1999;x
Bourne;600051;CSA;1930;1930;1990;1990;2;5;1536;1;0;5;1;M573009;1930;1960;1999;x
Bullard;600052;CSA;1941;1990;1990;1990;3;4;1024;0;0;5;1;L573051;1941;1960;1999;x
Burnside;600053;CSA;1941;1990;1990;1990;3;4;2048;0;0;5;1;L573052;1941;1960;1999;x
Eisert;600054;CSA;1930;1930;1940;1990;1;5;4096;1;0;5;1;M573046;1930;1960;1999;x
Holgreve;600055;CSA;1942;1990;1990;1990;3;4;0;0;0;5;1;L573054;1942;1960;1999;x
Powers;600056;CSA;1930;1939;1941;1990;1;6;8192;2;0;5;1;M573048;1930;1960;1999;x
Spinks;600057;CSA;1938;1942;1990;1990;2;5;4096;1;0;5;1;L573056;1938;1960;1999;x
Stoddard;600058;CSA;1938;1942;1990;1990;2;6;8192;1;0;5;1;L573057;1938;1960;1999;x
Thomas;600059;CSA;1940;1990;1990;1990;3;3;0;0;0;5;1;L573058;1940;1960;1999;x
Ardery;600060;CSA;1937;1941;1943;1990;1;6;32768;2;0;5;2;M573049;1937;1960;1999;x
Axtell;600061;CSA;1943;1990;1990;1990;3;5;8192;0;0;5;2;L573060;1943;1960;1999;x
Bahling;600062;CSA;1943;1990;1990;1990;3;5;0;0;0;5;2;L573061;1943;1960;1999;x
Balskus;600063;CSA;1943;1990;1990;1990;3;4;65536;0;0;5;2;L573062;1943;1960;1999;x
Bredister;600064;CSA;1930;1990;1990;1990;3;4;0;0;0;5;2;L573063;1930;1960;1999;x
Ellis;600065;CSA;1930;1990;1990;1990;3;4;512;1;0;5;2;L573017;1930;1942;1999;x
Faulkenberry;600066;CSA;1939;1942;1990;1990;2;5;4096;1;0;5;2;M573051;1939;1960;1999;x
Hawkins;600067;CSA;1941;1990;1990;1990;3;4;0;0;0;5;2;L573066;1941;1960;1999;x
Jellen;600068;CSA;1940;1990;1990;1990;3;4;4096;0;0;5;2;L573067;1940;1960;1999;x
