Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Acevedo Aléman;85001;CUB;1942;1990;1990;1990;3;3;4;0;0;4;0;L128000;1942;1960;1999;x
Barquin;85002;CUB;1939;1990;1990;1990;3;3;0;0;0;3;0;L128001;1939;1960;1999;x
Batista y Zaldivár;85003;CUB;1930;1930;1938;1990;1;5;0;2;0;2;0;L128002;1930;1960;1999;x
Blas Hernandez;85004;CUB;1930;1930;1938;1990;2;4;16;1;0;2;0;L128003;1930;1943;1999;x
Cancio Bello;85005;CUB;1930;1930;1990;1990;2;3;64;0;0;4;0;L128004;1930;1941;1999;x
Castaneda Castro;85006;CUB;1944;1990;1990;1990;3;3;4;0;0;3;0;L128005;1944;1960;1999;x
Costa Gomez;85007;CUB;1930;1990;1990;1990;3;3;1;0;0;3;0;L128006;1930;1943;1999;x
Del Castillo;85008;CUB;1938;1943;1990;1990;2;3;0;1;0;3;0;L128007;1938;1946;1999;x
Gonzalez Cruz;85009;CUB;1942;1990;1990;1990;3;3;128;0;0;4;0;L128008;1942;1960;1999;x
Masferrer;85010;CUB;1930;1941;1990;1990;3;4;4;1;0;4;0;L128009;1930;1946;1999;x
Perez Dameda;85011;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128010;1930;1943;1999;x
Pérez y Pérez;85012;CUB;1944;1990;1990;1990;3;3;1;0;0;2;0;L128011;1944;1960;1999;x
Raimundo Ferrer;85013;CUB;1930;1990;1990;1990;3;3;0;0;0;3;0;L128012;1930;1943;1999;x
Rodda y Lenquita;85014;CUB;1930;1990;1990;1990;3;3;0;0;0;4;0;L128013;1930;1942;1999;x
Sanguily;85015;CUB;1930;1930;1990;1990;2;5;128;0;0;3;0;L128014;1930;1940;1999;x
Tabernillas;85016;CUB;1938;1990;1990;1990;3;3;128;0;0;4;0;L128015;1938;1960;1999;x
Valdéz Castro;85017;CUB;1945;1990;1990;1990;3;3;0;0;0;3;0;L128016;1945;1960;1999;x
Valdéz Hilario;85018;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128017;1930;1960;1999;x
Fuentes Alaverda;85019;CUB;1930;1930;1930;1990;1;4;8704;1;0;4;1;L128018;1930;1944;1999;x
