Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bartos;120001;CZE;1930;1930;1990;1990;2;4;0;0;0;2;0;L18000;1930;1945;1999;x
Beranek;120002;CZE;1930;1942;1990;1990;3;4;1;1;0;3;0;L18001;1930;1944;1999;x
Bláha;120003;CZE;1930;1990;1990;1990;3;5;0;0;0;2;0;L18002;1930;1945;1999;x
Bosek;120004;CZE;1938;1942;1990;1990;3;6;128;1;0;5;0;L18003;1938;1960;1999;x
Cérny;120005;CZE;1930;1990;1990;1990;3;4;0;0;0;5;0;L18004;1930;1941;1999;x
Cihak;120006;CZE;1937;1942;1945;1990;3;5;128;2;0;3;0;L18005;1937;1960;1999;x
Drgac;120007;CZE;1937;1943;1990;1990;3;5;128;1;0;5;0;L18006;1937;1960;1999;x
Elias;120008;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18007;1930;1943;1999;x
Fassati;120009;CZE;1930;1990;1990;1990;3;4;128;0;0;3;0;L18008;1930;1944;1999;x
Fiala;120010;CZE;1930;1940;1990;1990;3;4;0;0;0;3;0;L18009;1930;1960;1999;x
Gajda;120011;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18010;1930;1939;1999;x
Hasal;120012;CZE;1930;1930;1990;1990;2;4;32;0;0;3;0;L18011;1930;1939;1999;x
Homola;120013;CZE;1930;1930;1990;1990;2;4;16;0;0;5;0;L18012;1930;1960;1999;x
Hosek;120014;CZE;1937;1941;1990;1990;3;5;0;1;0;3;0;L18013;1937;1960;1999;x
Husarek;120015;CZE;1930;1930;1990;1990;2;4;0;1;0;3;0;L18014;1930;1939;1999;x
Ingr;120016;CZE;1930;1938;1943;1990;2;6;2;2;0;3;0;L18015;1930;1960;1999;x
Kajdos;120017;CZE;1930;1990;1990;1990;3;4;64;0;0;5;0;L18016;1930;1939;1999;x
Kána;120018;CZE;1930;1990;1990;1990;3;4;0;0;0;3;0;L18017;1930;1939;1999;x
Koutnak;120019;CZE;1937;1990;1990;1990;3;6;128;0;0;3;0;L18018;1937;1943;1999;x
Kravak;120020;CZE;1937;1990;1990;1990;3;5;256;0;0;3;0;L18019;1937;1944;1999;x
Krejci;120021;CZE;1930;1930;1930;1930;0;4;1;1;0;5;0;L18020;1930;1939;1999;x
Kutlvasr;120022;CZE;1930;1930;1990;1990;2;6;4;0;0;5;0;L18021;1930;1939;1999;x
Luza;120023;CZE;1930;1930;1990;1990;2;4;0;0;0;3;0;L18022;1930;1939;1999;x
Marvan;120024;CZE;1937;1941;1943;1990;2;5;0;2;0;3;0;L18023;1937;1960;1999;x
Moravec;120025;CZE;1930;1990;1990;1990;3;4;2;0;0;5;0;L18024;1930;1939;1999;x
Neumann;120026;CZE;1930;1990;1990;1990;3;4;8;0;0;4;0;L18025;1930;1939;1999;x
Pavlik;120027;CZE;1930;1930;1990;1990;2;6;2;0;0;5;0;L18026;1930;1939;1999;x
Petrik;120028;CZE;1930;1990;1990;1990;3;5;0;0;0;4;0;L18027;1930;1939;1999;x
Pika;120029;CZE;1937;1990;1990;1990;3;4;64;0;0;3;0;L18028;1937;1960;1999;x
Prchala;120030;CZE;1930;1930;1990;1990;2;4;2;0;0;3;0;L18029;1930;1939;1999;x
