Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barreras Ruíz;320001;DOM;1943;1990;1990;1990;3;3;0;0;0;5;0;L190000;1943;1960;1999;x
Calixte;320002;DOM;1939;1990;1990;1990;3;3;16;0;0;3;0;L190001;1939;1946;1999;x
da Costa-Ruiz;320003;DOM;1930;1940;1990;1990;2;4;513;1;0;4;0;L190002;1930;1943;1999;x
de los Santos Ortiz;320004;DOM;1945;1990;1990;1990;3;3;128;0;0;3;0;L190003;1945;1960;1999;x
Eliezer Caamaño;320005;DOM;1938;1942;1990;1990;2;4;2;1;0;4;0;L190004;1938;1960;1999;x
Frías Gómez;320006;DOM;1945;1990;1990;1990;3;3;0;0;0;4;0;L190005;1945;1960;1999;x
Leyba Pou;320007;DOM;1941;1990;1990;1990;3;3;256;0;0;2;0;L190006;1941;1960;1999;x
Peña Battle;320008;DOM;1930;1930;1990;1990;2;3;0;1;0;5;0;L190007;1930;1942;1999;x
Rodriguez Garcia;320009;DOM;1939;1990;1990;1990;3;3;0;0;0;2;0;L190008;1939;1960;1999;x
Roman Fernandez;320010;DOM;1930;1939;1943;1990;2;4;0;2;0;5;0;L190009;1930;1960;1999;x
Trujillo Molinas  H.;320011;DOM;1938;1942;1990;1990;2;3;0;1;0;3;0;L190010;1938;1960;1999;x
Trujillo Molinas  R.;320012;DOM;1930;1930;1930;1930;0;2;0;1;0;3;0;L190011;1930;1960;1999;x
Viñas Roman;320013;DOM;1942;1945;1990;1990;3;4;4;1;0;3;0;L190012;1942;1960;1999;x
Martinez;320014;DOM;1943;1990;1990;1990;3;3;0;0;0;3;1;L190013;1943;1960;1999;x
Javier Rivera;320015;DOM;1938;1941;1990;1990;2;3;0;1;0;4;1;L190014;1938;1946;1999;x
Rojas;320016;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190015;1930;1944;1999;x
Trujillo Molinas;320017;DOM;1930;1930;1930;1990;1;2;0;0;0;5;1;L190016;1930;1960;1999;x
Yuna Robles;320018;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190017;1930;1943;1999;x
Humeau Hidalgo;320019;DOM;1944;1990;1990;1990;3;3;0;0;0;4;2;L190018;1944;1960;1999;x
Imbert McGregor;320020;DOM;1943;1990;1990;1990;3;3;0;0;0;3;2;L190019;1943;1960;1999;x
Feliz Miranda;320021;DOM;1930;1941;1990;1990;3;4;131072;1;0;4;2;L190020;1930;1946;1999;x
Ortega Frier;320022;DOM;1945;1990;1990;1990;3;2;0;0;0;5;2;L190021;1945;1960;1999;x
Vallejo Sosa;320023;DOM;1938;1942;1990;1990;2;3;65536;1;0;4;2;L190022;1938;1960;1999;x
