Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adán Parada;345001;SAL;1938;1941;1944;1990;2;3;0;2;0;5;0;L360000;1938;1960;1999;x
Aguirre y Salinas;345002;SAL;1944;1990;1990;1990;3;4;256;0;0;5;0;L360001;1944;1960;1999;x
Angél Castillo;345003;SAL;1945;1990;1990;1990;3;4;1;0;0;1;0;L360002;1945;1960;1999;x
Bolaños;345004;SAL;1940;1948;1990;1990;2;3;1;1;0;5;0;L360003;1940;1951;1999;x
Castillo Navarrete;345005;SAL;1938;1944;1990;1990;3;3;256;1;0;5;0;L360004;1938;1946;1999;x
Cristino Garay;345006;SAL;1939;1943;1990;1990;2;3;0;1;0;5;0;L360005;1939;1960;1999;x
Curbelo Hernandez;345007;SAL;1945;1990;1990;1990;3;3;128;0;0;5;0;L360006;1945;1960;1999;x
Díaz Liévano;345008;SAL;1943;1990;1990;1990;3;4;0;0;0;5;0;L360007;1943;1960;1999;x
Espínola Castro;345009;SAL;1940;1942;1990;1990;2;3;4;1;0;4;0;L360008;1940;1960;1999;x
Hernandez Martinez;345010;SAL;1930;1930;1930;1990;1;4;2;1;0;5;0;L360009;1930;1944;1999;x
Menéndez;345011;SAL;1930;1930;1930;1990;1;5;514;1;0;4;0;L360010;1930;1939;1999;x
Molina;345012;SAL;1943;1990;1990;1990;3;3;2;0;0;4;0;L360011;1943;1960;1999;x
Molina Meña;345013;SAL;1940;1990;1990;1990;3;3;0;0;0;3;0;L360012;1940;1960;1999;x
Peña Trejo;345014;SAL;1942;1990;1990;1990;3;3;32;0;0;3;0;L360013;1942;1960;1999;x
Rodríguez Quintanilla;345015;SAL;1938;1990;1990;1990;3;3;128;0;0;5;0;L360014;1938;1946;1999;x
Terriente Morales;345016;SAL;1930;1990;1990;1990;3;3;0;0;0;3;0;L360015;1930;1944;1999;x
Zacapa;345017;SAL;1939;1942;1990;1990;2;4;1;1;0;5;0;L360016;1939;1960;1999;x
Blanco Alaño;345018;SAL;1944;1990;1990;1990;3;3;0;0;0;4;1;L360017;1944;1960;1999;x
Carnejo Ibanéz;345019;SAL;1930;1939;1990;1990;2;4;1024;1;0;5;1;L360018;1930;1944;1999;x
Fuentes Gíanos;345020;SAL;1945;1990;1990;1990;3;3;0;0;0;4;1;L360019;1945;1960;1999;x
Rodolfí Sanchez;345021;SAL;1939;1942;1990;1990;2;3;0;1;0;5;1;L360020;1939;1960;1999;x
Aberle;345022;SAL;1938;1941;1990;1990;2;3;16384;0;0;5;2;L360021;1938;1960;1999;x
Abrego Abrego;345023;SAL;1945;1990;1990;1990;3;3;0;0;0;4;2;L360022;1945;1960;1999;x
Andrade Cabrera;345024;SAL;1943;1990;1990;1990;3;3;4096;0;0;2;2;L360023;1943;1960;1999;x
Curbelo Hernandez;345025;SAL;1945;1990;1990;1990;3;2;0;0;0;5;2;L360024;1945;1960;1999;x
Hernandez Mansilla;345026;SAL;1930;1990;1990;1990;3;3;0;0;0;4;2;L360025;1930;1939;1999;x
Zazuaga Mendez;345027;SAL;1930;1990;1990;1990;3;4;4096;0;0;5;2;L360026;1930;1942;1999;x
Osorio;345028;SAL;1947;1949;1990;1990;2;3;0;1;0;5;0;M77065;1947;1960;1999;x
Costa;345029;SAL;1949;1990;1990;1990;3;1;4096;0;0;5;2;M77068;1949;1960;1999;x
de Jesús Cordova;345030;SAL;1948;1949;1951;1960;1;4;1;2;0;5;0;M77069;1948;1960;1999;x
Galindo Pohl;345031;SAL;1948;1950;1990;1990;2;2;0;1;0;5;1;M77070;1948;1960;1999;x
Lemus Lopez;345032;SAL;1949;1950;1990;1990;2;2;128;1;0;5;0;M77076;1949;1960;1999;x
Hernández Martínez;345033;SAL;1908;1908;1932;1932;2;3;0;2;0;5;0;370;1908;1932;1999;x
Figueroa;345034;SAL;1908;1908;1932;1932;2;3;0;2;0;5;0;371;1908;1932;1999;x
Preza;345035;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Duarte;345036;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Arévalo;345037;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Flores;345038;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Rodolfo Cristales;345039;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tercero;345040;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Ruiz;345041;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Rivera;345042;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Ascencio;345043;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Marín;345044;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Rivas;345045;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Montenegro;345046;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Durón;345047;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Bustamante;345048;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Romero;345049;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;372;1908;1932;1999;x
Fiallos;345050;SAL;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
