Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adair;10001;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1000;1942;1947;1999;x
Adam;10002;ENG;1930;1930;1942;1990;2;6;513;2;0;5;0;L1001;1930;1946;1999;x
Aikenhead;10003;ENG;1944;1990;1990;1990;3;5;64;1;0;5;0;L1002;1944;1947;1999;x
Alanbrooke;10004;ENG;1930;1930;1939;1944;1;9;6;5;0;5;0;L1005;1930;1946;1999;x
Alexander;10005;ENG;1930;1940;1942;1944;1;9;7;5;0;5;0;L1006;1930;1946;1999;x
Allfrey;10006;ENG;1941;1944;1990;1990;3;6;2;2;0;5;0;L1007;1941;1960;1999;x
Ambrose;10007;ENG;1943;1990;1990;1990;3;5;16;1;0;5;0;L1008;1943;1947;1999;x
Amyatt-Hull;10008;ENG;1943;1944;1947;1954;0;7;128;4;0;5;0;L1009;1943;1970;1999;x
Anderson  D.F.;10009;ENG;1939;1940;1990;1990;2;5;0;2;0;5;0;L1010;1939;1944;1999;x
Anderson  K.A.N.;10010;ENG;1938;1942;1990;1990;2;7;3;3;0;5;0;L1011;1938;1960;1999;x
Arbuthnott;10011;ENG;1943;1990;1990;1990;3;5;0;1;0;5;0;L1012;1943;1960;1999;x
Auchinleck;10012;ENG;1930;1939;1940;1946;1;8;7;5;0;5;0;L1014;1930;1947;1999;x
Baillon;10013;ENG;1941;1990;1990;1990;3;5;0;1;0;5;0;L1015;1941;1960;1999;x
Balerno of Currie;10014;ENG;1942;1990;1990;1990;3;4;0;1;0;5;0;L1017;1942;1945;1999;x
Balfour;10015;ENG;1930;1941;1990;1990;2;5;0;2;0;5;0;L1018;1930;1942;1999;x
Bancroft-Cooke;10016;ENG;1943;1990;1990;1990;3;7;192;1;0;5;0;L1020;1943;1960;1999;x
Barker  E.H.;10017;ENG;1941;1944;1990;1990;3;5;0;2;0;5;0;L1022;1941;1960;1999;x
Bartholomew;10018;ENG;1930;1937;1990;1990;2;5;0;2;0;5;0;L1024;1930;1940;1999;x
Barstow;10019;ENG;1938;1990;1990;1990;3;5;256;1;0;5;0;L1025;1938;1942;1999;x
Bastyan;10020;ENG;1942;1943;1990;1990;2;5;4;2;0;5;0;L1026;1942;1960;1999;x
Bateman;10021;ENG;1940;1990;1990;1990;3;5;1;1;0;5;0;L1027;1940;1960;1999;x
Beard;10022;ENG;1943;1990;1990;1990;3;5;2;1;0;5;0;L1028;1943;1946;1999;x
Beck;10023;ENG;1938;1990;1990;1990;3;5;128;1;0;5;0;L1030;1938;1940;1999;x
Beckett;10024;ENG;1941;1990;1990;1990;3;5;64;1;0;5;0;L1031;1941;1946;1999;x
Beckwith-Smith;10025;ENG;1938;1990;1990;1990;3;4;256;1;0;5;0;L1032;1938;1942;1999;x
Beloe;10026;ENG;1930;1990;1990;1990;3;5;128;1;0;5;0;L1033;1930;1939;1999;x
Berney-Ficklin;10027;ENG;1943;1990;1990;1990;3;5;1;1;0;5;0;L1035;1943;1960;1999;x
Betts;10028;ENG;1945;1990;1990;1990;3;5;1;1;0;5;0;L1036;1945;1960;1999;x
Bird;10029;ENG;1939;1942;1990;1990;3;5;1;2;0;5;0;L1037;1939;1944;1999;x
Birks;10030;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1038;1943;1946;1999;x
Blaxland;10031;ENG;1942;1943;1990;1990;2;5;1;2;0;5;0;L1040;1942;1960;1999;x
Boddington;10032;ENG;1944;1946;1990;1990;2;5;32;2;0;5;0;L1041;1944;1960;1999;x
Bols;10033;ENG;1944;1990;1990;1990;3;5;256;1;0;5;0;L1042;1944;1960;1999;x
Boucher;10034;ENG;1942;1990;1990;1990;3;7;256;1;0;5;0;L1043;1942;1960;1999;x
Bourne of Atherstone;10035;ENG;1943;1990;1990;1990;2;6;257;1;0;5;0;L1044;1943;1960;1999;x
Bower;10036;ENG;1945;1990;1990;1990;3;5;256;1;0;5;0;L1045;1945;1960;1999;x
Broad;10037;ENG;1930;1940;1990;1990;2;5;640;2;0;5;0;L1049;1930;1942;1999;x
Brocas-Burrows;10038;ENG;1940;1942;1990;1990;2;5;4;2;0;5;0;L1050;1940;1946;1999;x
Browning;10039;ENG;1940;1944;1990;1990;3;7;256;2;0;5;0;L1053;1940;1960;1999;x
Bruce;10040;ENG;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;1999;x
Bucknall;10041;ENG;1939;1941;1990;1990;2;5;0;2;0;5;0;L1055;1939;1990;1999;x
