Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Brede;130001;EST;1930;1930;1990;1990;2;5;4;0;0;5;0;L4900;1930;1940;1999;x
Heinze;130002;EST;1930;1943;1990;1990;3;4;256;1;0;4;0;L4901;1930;1945;1999;x
Helk;130003;EST;1930;1930;1990;1990;2;4;2;0;0;4;0;L4902;1930;1940;1999;x
Jaakson;130004;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4903;1930;1940;1999;x
Jervan;130005;EST;1930;1990;1990;1990;3;4;128;0;0;4;0;L4904;1930;1940;1999;x
Jonson;130006;EST;1938;1942;1990;1990;3;5;0;1;0;5;0;L4905;1938;1960;1999;x
Kaerma;130007;EST;1939;1990;1990;1990;3;5;64;0;0;4;0;L4906;1939;1945;1999;x
Kasekamp;130008;EST;1930;1930;1990;1990;2;4;0;0;0;3;0;L4907;1930;1940;1999;x
Kauler;130009;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4908;1930;1940;1999;x
Kruus;130010;EST;1937;1942;1990;1990;3;4;0;1;0;3;0;L4909;1937;1960;1999;x
Kurvits;130011;EST;1930;1990;1990;1990;3;4;32;0;0;4;0;L4910;1930;1940;1999;x
Laidoner;130012;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4911;1930;1940;1999;x
Nugiseks;130013;EST;1942;1990;1990;1990;3;4;4;0;0;4;0;L4912;1942;1960;1999;x
Rebane;130014;EST;1930;1990;1990;1990;3;4;2;0;0;4;0;L4913;1930;1940;1999;x
Reek;130015;EST;1930;1930;1943;1990;2;4;0;2;0;4;0;L4914;1930;1960;1999;x
Riipalu;130016;EST;1930;1990;1990;1990;3;4;16;0;0;4;0;L4915;1930;1940;1999;x
Sinka;130017;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4916;1930;1940;1999;x
Tolmoff;130018;EST;1930;1930;1990;1990;2;4;8;0;0;5;0;L4917;1930;1940;1999;x
Toomsar;130019;EST;1930;1942;1990;1990;2;4;0;1;0;4;0;L4918;1930;1945;1999;x
Traksmaa;130020;EST;1939;1945;1990;1990;3;4;0;1;0;4;0;L4919;1939;1960;1999;x
Tuisk;130021;EST;1930;1990;1990;1990;3;4;0;0;0;4;0;L4920;1930;1940;1999;x
Tuuling;130022;EST;1938;1990;1990;1990;3;4;1;0;0;4;0;L4921;1938;1943;1999;x
Vent;130023;EST;1930;1930;1990;1990;2;4;0;0;0;4;0;L4922;1930;1945;1999;x
Vermet;130024;EST;1938;1944;1990;1990;3;5;0;1;0;4;0;L4923;1938;1960;1999;x
Nirk;130025;EST;1938;1945;1990;1990;3;5;1024;1;0;5;1;L4924;1938;1960;1999;x
Mere;130026;EST;1945;1947;1990;1990;3;4;0;1;0;5;1;L4925;1945;1960;1999;x
Pitka;130027;EST;1930;1930;1990;1990;2;4;0;0;0;5;1;L4926;1930;1940;1999;x
Streimann;130028;EST;1944;1990;1990;1990;3;4;0;0;0;5;1;L4927;1944;1960;1999;x
Laud;130029;EST;1930;1990;1990;1990;3;4;0;0;0;5;2;L4928;1930;1940;1999;x
Tiido;130030;EST;1938;1990;1990;1990;3;4;0;0;0;5;2;L4929;1938;1945;1999;x
Tomberg;130031;EST;1940;1945;1990;1990;2;5;0;1;0;5;2;L4930;1940;1960;1999;x
Tõnisson;130032;EST;1930;1930;1990;1990;2;4;32768;0;0;4;2;L4931;1930;1940;1999;x
von Salza;130033;EST;1930;1930;1990;1990;2;4;0;1;0;5;1;L4932;1930;1939;1999;x
Tõnissen;130034;EST;1914;1916;1918;1932;1;5;0;3;0;4;0;373;1914;1932;1999;x
Soots;130035;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;374;1914;1932;1999;x
Reiman;130036;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;375;1914;1932;1999;x
Põdder;130037;EST;1914;1916;1918;1932;1;5;0;3;0;4;0;376;1914;1932;1999;x
Partz;130038;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;unknownleader;1914;1932;1999;x
Puskar;130039;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;6896;1914;1932;1999;x
Larka;130040;EST;1916;1917;1918;1919;3;7;19;4;0;5;0;8151;1914;1932;1999;x
Ekstrom;130041;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;8149;1915;1932;1999;x
Irv;130042;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;6897;1915;1932;1999;x
Kuperjanov;130043;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;6898;1915;1932;1999;x
Kalm;130044;EST;1917;1918;1919;1932;2;5;6;3;0;5;0;8150;1915;1932;1999;x
