Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abba Mersa;245001;ETH;1930;1930;1990;1990;2;3;16;0;0;5;0;L3300;1930;1944;1999;x
Abebe Aregay;245002;ETH;1930;1930;1990;1990;2;3;16;0;0;5;0;L3301;1930;1947;1999;x
Abiye Abebe;245003;ETH;1930;1990;1990;1990;3;2;0;0;0;5;0;L3302;1930;1960;1999;x
Adafrisau;245004;ETH;1930;1930;1990;1990;2;2;514;1;0;5;0;L3303;1930;1938;1999;x
Aman Andom;245005;ETH;1944;1990;1990;1990;3;2;128;0;0;4;0;L3304;1944;1960;1999;x
Balcha;245006;ETH;1930;1941;1945;1990;2;4;64;2;0;5;0;L3305;1930;1960;1999;x
Birru Wolde;245007;ETH;1930;1990;1990;1990;3;2;1;0;0;3;0;L3306;1930;1941;1999;x
Desta Damtew;245008;ETH;1930;1930;1930;1990;1;4;2;1;0;5;0;L3307;1930;1946;1999;x
Fikremariam;245009;ETH;1930;1939;1990;1990;3;2;0;1;0;5;0;L3308;1930;1943;1999;x
Gilaneh;245010;ETH;1930;1990;1990;1990;3;2;4;0;0;4;0;L3309;1930;1942;1999;x
Haile Selassie;245011;ETH;1930;1930;1930;1930;0;4;1;2;0;5;0;L3310;1930;1960;1999;x
Haile Selassie Gugsa;245012;ETH;1930;1990;1990;1990;3;2;0;0;0;1;0;L3311;1930;1942;1999;x
Hapte Mariam;245013;ETH;1930;1941;1945;1990;3;4;528;2;0;5;0;L3312;1930;1960;1999;x
Hapte Mikael;245014;ETH;1930;1930;1930;1990;1;5;20;2;0;5;0;L3313;1930;1946;1999;x
Ichamilch;245015;ETH;1930;1990;1990;1990;3;2;528;1;0;5;0;L3314;1930;1939;1999;x
Imru;245016;ETH;1930;1930;1990;1990;2;2;0;1;0;5;0;L3315;1930;1942;1999;x
Kama Sega;245017;ETH;1930;1990;1990;1990;3;2;0;1;0;3;0;L3316;1930;1939;1999;x
Kassa;245018;ETH;1930;1930;1990;1990;2;2;4;1;0;3;0;L3317;1930;1943;1999;x
Katama;245019;ETH;1930;1930;1943;1990;2;3;16;1;0;5;0;L3318;1930;1960;1999;x
Makonnen Demissie;245020;ETH;1930;1941;1990;1990;3;3;1;1;0;5;0;L3319;1930;1960;1999;x
Mesfin Sileshi;245021;ETH;1930;1943;1945;1990;3;4;17;2;0;5;0;L3320;1930;1960;1999;x
Mulugueta;245022;ETH;1930;1930;1990;1990;2;5;514;1;0;5;0;L3321;1930;1946;1999;x
Seyum;245023;ETH;1930;1930;1930;1990;1;3;1;1;0;3;0;L3322;1930;1942;1999;x
Tariku;245024;ETH;1930;1930;1990;1990;2;2;1;0;0;4;0;L3323;1930;1942;1999;x
Wolde Rufe;245025;ETH;1930;1930;1942;1990;2;3;0;1;0;5;0;L3324;1930;1960;1999;x
Wondossen Kassa;245026;ETH;1930;1990;1990;1990;3;2;0;0;0;5;0;L3325;1930;1939;1999;x
Katama;245027;ETH;1930;1930;1943;1990;2;2;0;1;0;5;1;L3326;1930;1960;1999;x
Makonnen Demissie;245028;ETH;1930;1941;1990;1990;3;2;0;1;0;5;1;L3327;1930;1960;1999;x
Seyum;245029;ETH;1930;1930;1990;1990;2;2;0;0;0;3;1;L3328;1930;1942;1999;x
Wondossen Kassa;245030;ETH;1930;1990;1990;1990;3;2;0;0;0;5;1;L3329;1930;1939;1999;x
Asrate;245031;ETH;1930;1990;1990;1990;3;2;0;0;0;2;2;L3330;1930;1942;1999;x
Gilaneh;245032;ETH;1930;1990;1990;1990;3;2;0;0;0;4;2;L3331;1930;1942;1999;x
Makonnen Demissie;245033;ETH;1930;1941;1990;1990;3;2;0;1;0;5;2;L3332;1930;1960;1999;x
Mesfin Sileshi;245034;ETH;1930;1943;1945;1990;3;3;0;2;0;5;2;L3333;1930;1960;1999;x
Robinson;245035;ETH;1930;1930;1990;1990;2;2;0;1;0;4;2;L3334;1930;1937;1999;x
Wehib Pasha;245036;ETH;1930;1930;1990;1990;2;4;34;1;0;5;0;L3335;1930;1938;1999;x
Iyasu V;245037;ETH;1908;1908;1908;1932;1;3;0;2;0;5;0;377;1913;1932;1999;x
Baria-Gabr;245038;ETH;1908;1908;1908;1932;1;3;0;2;1;3;0;378;1908;1932;1999;x
Lul Seged;245039;ETH;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Nessibu;245040;ETH;1908;1908;1908;1932;1;3;0;2;0;5;0;379;1908;1932;1999;x
Tirfe;245041;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Yimer;245042;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Giorgis, W.;245043;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Gebre Hiwot;245044;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Giorgis, F.H.;245045;ETH;1908;1908;1908;1932;1;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Gabriel;245046;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Hailu;245047;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Araya;245048;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Behapte;245049;ETH;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Menelik II;245050;ETH;1897;1932;1932;1932;3;5;0;2;0;5;0;380;1897;1913;1999;x
Dinagde;245051;ETH;1897;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1897;1932;1999;x
Yohannes;245052;ETH;1897;1932;1932;1932;2;3;0;2;0;5;0;381;1897;1906;1999;x
Saffo;245053;ETH;1897;1932;1932;1932;3;3;0;2;0;5;0;382;1897;1932;1999;x
Aboye;245054;ETH;1897;1932;1932;1932;3;3;0;2;0;5;0;383;1897;1932;1999;x
Haimanot;245055;ETH;1897;1932;1932;1932;3;3;0;2;0;5;0;384;1897;1932;1999;x
Al Hassan;245056;ETH;1897;1932;1932;1932;3;3;0;2;0;5;0;385;1897;1932;1999;x
