Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Airo;145001;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;386;1930;1960;1999;x
Alfthan;145002;FIN;1941;1990;1990;1990;3;5;522;1;0;4;0;L9701;1941;1960;1999;x
Arajuuri;145003;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;387;1930;1960;1999;x
Autti;145004;FIN;1940;1943;1990;1990;3;6;9;2;0;4;0;388;1940;1960;1999;x
Blick;145005;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;389;1930;1960;1999;x
Ekberg;145006;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;390;1939;1960;1999;x
Fagernäs;145007;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;391;1940;1960;1999;x
Grandell;145008;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;392;1930;1960;1999;x
Hanell;145009;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;393;1930;1947;1999;x
Hannuksela;145010;FIN;1938;1990;1990;1990;3;5;72;1;0;4;0;394;1938;1942;1999;x
Heinrichs;145011;FIN;1930;1930;1940;1990;1;7;8;3;0;4;0;395;1930;1960;1999;x
Heiskanen  J.H.;145012;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;396;1939;1960;1999;x
Heiskanen  K.A.;145013;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;397;1940;1960;1999;x
Hersalo;145014;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;398;1938;1960;1999;x
Hägglund;145015;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;399;1930;1960;1999;x
Ignatius;145016;FIN;1930;1930;1990;1990;2;7;522;2;0;5;0;400;1930;1941;1999;x
Isakson;145017;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;401;1938;1960;1999;x
Järvinen;145018;FIN;1940;1944;1990;1990;3;6;8;2;0;4;0;L9717;1940;1960;1999;x
Kaila;145019;FIN;1930;1990;1990;1990;3;6;520;1;0;5;0;402;1930;1939;1999;x
Kääriäinen;145020;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;403;1939;1960;1999;x
Laatikainen;145021;FIN;1930;1930;1941;1990;1;7;12;3;0;4;0;404;1930;1960;1999;x
Lagus;145022;FIN;1940;1990;1990;1990;3;8;136;1;0;4;0;405;1940;1960;1999;x
Linder;145023;FIN;1930;1930;1940;1990;1;7;520;2;0;5;0;406;1930;1943;1999;x
