Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abkhazi;475001;GEO;1930;1930;1930;1990;1;4;576;1;0;5;0;M519048;1930;1960;1999;x
Arndt;475002;GEO;1930;1990;1990;1990;3;4;66;0;0;5;0;L519001;1930;1960;1999;x
Beburidzhe;475003;GEO;1930;1930;1990;1990;2;4;128;1;0;5;0;L519002;1930;1960;1999;x
Beria;475004;GEO;1930;1930;1990;1990;2;2;0;1;0;5;0;M519007;1930;1960;1999;x
Berkelmann;475005;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519004;1930;1960;1999;x
Brusilov;475006;GEO;1930;1930;1930;1990;1;3;514;1;0;5;0;M519050;1930;1960;1999;x
Busich;475007;GEO;1930;1942;1990;1990;2;3;32;1;0;5;0;L519006;1930;1960;1999;x
Cholokashvili;475008;GEO;1930;1930;1930;1990;1;4;4;1;0;5;0;M519046;1930;1960;1999;x
Chrobeck;475009;GEO;1930;1990;1990;1990;3;5;136;0;0;5;0;L519008;1930;1960;1999;x
de Bagration;475010;GEO;1930;1930;1930;1990;1;3;0;1;0;5;0;M519049;1930;1960;1999;x
du Moulin Eckhardt;475011;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519010;1930;1960;1999;x
Gordaschvili;475012;GEO;1930;1930;1990;1990;2;2;8;0;0;5;0;L519011;1930;1960;1999;x
Hieber;475013;GEO;1930;1990;1990;1990;3;3;4;0;0;5;0;L519012;1930;1960;1999;x
Karumidzhe;475014;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;M519047;1930;1960;1999;x
Lechitski;475015;GEO;1930;1930;1990;1990;2;3;513;1;0;5;0;L519014;1930;1960;1999;x
Maglakelidzhe;475016;GEO;1930;1942;1990;1990;3;2;4;1;0;5;0;M519054;1930;1960;1999;x
Mzechabukishvili;475017;GEO;1930;1990;1990;1990;3;2;16;0;0;5;0;L519016;1930;1960;1999;x
Nikoladzhe;475018;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;M519053;1930;1960;1999;x
Nukridzhe;475019;GEO;1930;1930;1940;1990;2;4;1;1;0;5;0;L519018;1930;1960;1999;x
Pridon-Zulukhidzhe;475020;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519019;1930;1960;1999;x
Razikashvili;475021;GEO;1930;1930;1990;1990;2;3;16;1;0;5;0;M519051;1930;1960;1999;x
Scherping;475022;GEO;1930;1990;1990;1990;3;1;0;0;0;5;0;L519021;1930;1960;1999;x
Shevardenzhe;475023;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;L519022;1930;1960;1999;x
Tcherniakhovski;475024;GEO;1930;1930;1939;1990;1;4;2;1;0;5;0;M519008;1930;1960;1999;x
Tsulukidzhe;475025;GEO;1930;1930;1990;1990;2;2;1;0;0;5;0;M519052;1930;1960;1999;x
Utchashvili;475026;GEO;1930;1940;1990;1990;2;3;2;1;0;5;0;M519045;1930;1960;1999;x
Vepkhiadzhe;475027;GEO;1930;1930;1990;1990;2;2;256;1;0;5;0;M519060;1930;1960;1999;x
Bakradzhe;475028;GEO;1930;1930;1990;1990;2;3;8704;0;0;5;1;M519055;1930;1960;1999;x
Biwer;475029;GEO;1930;1990;1990;1990;3;3;1024;0;0;5;1;M519059;1930;1960;1999;x
Brusilov;475030;GEO;1930;1930;1930;1990;1;2;0;1;0;5;1;M519009;1930;1960;1999;x
Demnadzhe;475031;GEO;1930;1990;1990;1990;3;3;4608;0;0;5;1;M519058;1930;1960;1999;x
Gvaladzhe;475032;GEO;1930;1990;1990;1990;3;2;0;0;0;5;2;L519031;1930;1960;1999;x
Kötchy;475033;GEO;1930;1990;1990;1990;3;3;0;0;0;5;2;L519032;1930;1960;1999;x
Muhr;475034;GEO;1930;1990;1990;1990;3;3;4096;0;0;5;2;M519064;1930;1960;1999;x
Vepkhiadzhe;475035;GEO;1930;1930;1990;1990;2;2;0;1;0;5;2;M519060;1930;1960;1999;x
von Falkenhayn;475036;GEO;1930;1940;1990;1990;2;3;8192;1;0;5;2;M519063;1930;1960;1999;x
von Rantzau;475037;GEO;1930;1941;1990;1990;3;3;0;1;0;5;2;L519036;1930;1960;1999;x
Walland;475038;GEO;1930;1990;1990;1990;3;2;0;0;0;5;2;L519037;1930;1960;1999;x
Kvinitadze;475039;GEO;1906;1908;1912;1932;1;4;0;2;0;5;0;596;1906;1932;1999;x
Mazniashvili;475040;GEO;1906;1908;1912;1932;1;4;0;2;0;5;0;unknownleader;1906;1932;1999;x
Andronikashvili;475041;GEO;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Tsulukidze;475042;GEO;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Chkheidze;475043;GEO;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Gardapkhadze;475044;GEO;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Bakradze;475045;GEO;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Kereselidze;475046;GEO;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
