Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belov;585001;CGX;1930;1990;1990;1990;3;2;256;0;0;5;0;L502000;1930;1960;1999;x
Chen Jitang;585002;CGX;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1930;1944;1999;x
Kravelkin;585003;CGX;1930;1990;1990;1990;3;2;4;0;0;5;0;L502002;1930;1960;1999;x
Li Jishen;585004;CGX;1930;1930;1930;1990;1;3;16;1;0;5;0;L502003;1930;1960;1999;x
Li Zongren;585005;CGX;1930;1939;1941;1944;1;4;4;3;0;4;0;620;1930;1960;1999;x
Golukjin;585006;CGX;1930;1930;1990;1990;2;2;0;0;0;5;0;L502005;1930;1960;1999;x
Bai Chongxi;585007;CGX;1930;1939;1941;1990;1;4;16;2;0;3;0;L50247;1930;1960;1999;x
Shermentcheff;585008;CGX;1930;1930;1990;1990;2;2;4;0;0;4;0;L502007;1930;1960;1999;x
Tschevelkov;585009;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502008;1930;1960;1999;x
von Appel;585010;CGX;1930;1942;1990;1990;3;3;128;1;0;5;0;L502009;1930;1960;1999;x
Yu Hanmou;585011;CGX;1930;1939;1990;1990;2;2;0;1;0;4;0;L502010;1930;1960;1999;x
Belov;585012;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502000;1930;1960;1999;x
Dranilov;585013;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1960;1999;x
Ertelkin;585014;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1960;1999;x
Bai Chongxi;585015;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1960;1999;x
Kulchin;585016;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1960;1999;x
Beryakin;585017;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1960;1999;x
Khripin;585018;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1960;1999;x
Li Zongren;585019;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;620;1930;1960;1999;x
Dranilov;585023;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1970;1999;x
Ertelkin;585024;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1970;1999;x
Bai Chongxi;585025;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1970;1999;x
Kulchin;585026;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1970;1999;x
Beryakin;585027;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1970;1999;x
Khripin;585028;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1970;1999;x
Li Zongren;585029;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;620;1930;1970;1999;x
Bu Hanchi ;585030;CGX;1922;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1922;1971;1999;x
Chen Enyuan ;585031;CGX;1933;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1933;1977;1999;x
Chen Gui ;585032;CGX;1930;1990;1990;1990;3;3;0;0;0;4;2;unknownleader;1930;1950;1999;x
Chen Hanliu ;585033;CGX;1938;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1938;1972;1999;x
Chen Liangzuo;585034;CGX;1926;1949;1990;1990;3;3;0;0;0;4;0;unknownleader;1926;1968;1999;x
Deng Yinfan;585035;CGX;1925;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1925;1955;1999;x
Feng Huang;585036;CGX;1932;1990;1990;1990;3;2;0;0;0;4;2;unknownleader;1932;1994;1999;x
Gan Chengcheng;585037;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1938;1950;1999;x
Han Chao;585038;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1951;1999;x
Huang Heling;585039;CGX;1929;1939;1990;1990;2;4;0;1;0;4;0;unknownleader;1929;1972;1999;x
Huang Xuchu;585040;CGX;1922;1930;1990;1990;3;3;0;0;0;4;0;unknownleader;1922;1975;1999;x
Hu Dongchen;585041;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1937;1950;1999;x
Hu Tianle;585042;CGX;1938;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1938;1951;1999;x
Jiang Ruquan;585043;CGX;1927;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1927;1951;1999;x
Liang Chaoji;585044;CGX;1926;1936;1990;1990;2;4;0;1;0;4;0;6295;1926;1969;1999;x
Li Chaofang;585045;CGX;1928;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1928;1962;1999;x
Lu Jung-ting;585046;CGX;1917;1917;1917;1990;1;2;0;1;0;5;0;unknownleader;1917;1935;1999;x
Li Jilong;585047;CGX;1944;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1944;1955;1999;x
Li Minxin;585048;CGX;1917;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1917;1955;1999;x
Liu Qingfan;585049;CGX;1927;1936;1990;1990;2;3;0;1;0;4;0;6296;1927;1982;1999;x
Liu Zhenhuan;585050;CGX;1913;1922;1990;1990;2;3;0;1;0;4;0;6297;1913;1925;1999;x
Li Zemin;585051;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1936;1962;1999;x
Li Zuoli;585052;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1959;1999;x
Ma Xiaojun;585053;CGX;1918;1990;1990;1990;3;4;0;0;0;4;0;unknownleader;1918;1959;1999;x
Shi Weifu;585054;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;6298;1936;1944;1999;x
Wang Jingsong;585055;CGX;1936;1948;1990;1990;2;4;0;1;0;4;0;unknownleader;1936;1951;1999;x
Wang Wenxi;585056;CGX;1917;1990;1990;1990;3;4;0;1;0;4;0;unknownleader;1917;1961;1999;x
Wei Yunsong;585057;CGX;1927;1937;1990;1990;2;4;0;1;0;4;0;6299;1927;1953;1999;x
Wen Chaoji;585058;CGX;1932;1944;1990;1990;2;2;0;0;0;4;0;unknownleader;1932;1979;1999;x
Wu Fan;585059;CGX;1936;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1936;1959;1999;x
