Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Charles;350001;HAI;1944;1990;1990;1990;3;3;1;0;0;3;0;L220000;1944;1960;1999;x
de Arrondé;350002;HAI;1930;1939;1990;1990;2;3;0;1;0;3;0;L220001;1930;1944;1999;x
Garrauld;350003;HAI;1945;1990;1990;1990;3;3;256;0;0;4;0;L220002;1945;1960;1999;x
Lavaud;350004;HAI;1930;1940;1944;1990;2;4;0;2;0;3;0;L220003;1930;1960;1999;x
Lescot;350005;HAI;1930;1930;1939;1990;1;3;0;1;0;3;0;9803;1930;1946;1999;x
Levelt;350006;HAI;1930;1939;1990;1990;2;3;4;1;0;3;0;L220005;1930;1960;1999;x
Magloire;350007;HAI;1938;1942;1990;1990;2;4;0;1;0;4;0;L220006;1938;1960;1999;x
Nuirées;350008;HAI;1943;1946;1990;1990;3;3;0;1;0;3;0;L220007;1943;1960;1999;x
Roi Emilé;350009;HAI;1941;1990;1990;1990;3;3;128;0;0;4;0;L220008;1941;1960;1999;x
Vuil;350010;HAI;1945;1990;1990;1990;3;4;0;0;0;3;0;L220009;1945;1960;1999;x
Garrauld;350011;HAI;1945;1990;1990;1990;3;3;0;0;0;4;1;L220010;1945;1960;1999;x
Léger;350012;HAI;1930;1930;1930;1990;1;3;0;1;0;4;1;L220011;1930;1942;1999;x
Nemours;350013;HAI;1930;1930;1990;1990;2;3;0;0;0;4;1;L220012;1930;1939;1999;x
Sainté Frederic;350014;HAI;1939;1943;1990;1990;2;4;0;1;0;3;1;L220013;1939;1960;1999;x
Barreaux;350015;HAI;1943;1990;1990;1990;3;3;0;0;0;4;2;L220014;1943;1960;1999;x
Echarmanté;350016;HAI;1930;1990;1990;1990;3;3;0;0;0;4;2;L220015;1930;1943;1999;x
Forbin;350017;HAI;1945;1990;1990;1990;3;3;0;0;0;4;2;L220016;1945;1960;1999;x
Guillaumé;350018;HAI;1943;1946;1990;1990;2;4;0;1;0;3;2;L220017;1943;1960;1999;x
Roy;350019;HAI;1930;1930;1990;1990;2;5;0;2;0;4;2;L220018;1930;1943;1999;x
Sainté Frederic;350020;HAI;1939;1943;1990;1990;3;3;131072;1;0;3;2;L220019;1939;1960;1999;x
Polynice;350021;HAI;1914;1914;1932;1932;3;3;0;1;0;3;0;unknownleader;1914;1932;1999;x
C. Zamor;350022;HAI;1914;1932;1932;1932;3;3;128;0;0;4;0;unknownleader;1914;1932;1999;x
O. Zamor;350023;HAI;1914;1914;1932;1932;3;4;0;0;0;3;0;8009;1914;1932;1999;x
O. Zamor;350024;HAI;1914;1914;1932;1932;2;4;0;1;0;3;1;8009;1914;1932;1999;x
Polynice;350025;HAI;1914;1914;1932;1932;3;3;0;0;0;4;2;unknownleader;1914;1932;1999;x
