Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bakker;15001;HOL;1938;1942;1990;1990;2;4;0;1;0;5;0;L7800;1938;1960;1999;x
Berenschot;15002;HOL;1930;1938;1990;1990;2;3;2;1;0;5;0;L7801;1930;1960;1999;x
Boerstra;15003;HOL;1930;1930;1990;1990;2;4;1;0;0;4;0;L7802;1930;1945;1999;x
Carstens;15004;HOL;1938;1990;1990;1990;3;3;64;0;0;3;0;L7803;1938;1942;1999;x
Cox;15005;HOL;1940;1990;1990;1990;3;5;5;0;0;5;0;L7804;1940;1960;1999;x
Dames;15006;HOL;1939;1990;1990;1990;3;3;0;0;0;3;0;L7805;1939;1960;1999;x
de Bruyne;15007;HOL;1942;1990;1990;1990;3;5;256;0;0;5;0;L7806;1942;1960;1999;x
de Jonge van Ellemeet;15008;HOL;1930;1939;1990;1990;3;3;0;1;0;4;0;L7807;1930;1960;1999;x
Dijxhoorn;15009;HOL;1940;1990;1990;1990;3;3;0;0;0;3;0;L7808;1940;1960;1999;x
Hackstroh;15010;HOL;1930;1990;1990;1990;3;3;0;0;0;3;0;L7809;1930;1960;1999;x
Harberts;15011;HOL;1930;1938;1990;1990;2;5;516;1;0;4;0;L7810;1930;1947;1999;x
Hasselman;15012;HOL;1938;1941;1990;1990;3;4;1;1;0;5;0;L7811;1938;1943;1999;x
Ilgen;15013;HOL;1930;1943;1990;1990;3;5;16;1;0;3;0;L7812;1930;1960;1999;x
Overakker;15014;HOL;1938;1940;1990;1990;2;3;64;1;0;5;0;L7813;1938;1945;1999;x
Pesman;15015;HOL;1930;1990;1990;1990;3;4;128;0;0;5;0;L7814;1930;1960;1999;x
Reynders;15016;HOL;1930;1930;1939;1990;1;5;0;2;0;5;0;L7815;1930;1940;1999;x
Seyffardt;15017;HOL;1930;1930;1990;1990;2;5;513;1;0;2;0;L7816;1930;1960;1999;x
Spoor;15018;HOL;1942;1945;1990;1990;3;5;1;1;0;5;0;L7817;1942;1960;1999;x
Statius-Muller;15019;HOL;1930;1990;1990;1990;3;5;33;0;0;5;0;L7818;1930;1960;1999;x
ter Poorten;15020;HOL;1930;1938;1939;1990;1;5;65;2;0;5;0;L7819;1930;1960;1999;x
van den Bent;15021;HOL;1938;1940;1946;1990;2;4;0;2;0;5;0;L7820;1938;1960;1999;x
van Lawick;15022;HOL;1937;1939;1990;1990;2;5;16;1;0;4;0;L7821;1937;1945;1999;x
van Oyen;15023;HOL;1943;1990;1990;1990;3;3;0;0;0;5;0;L7822;1943;1960;1999;x
van Straaten;15024;HOL;1938;1990;1990;1990;3;5;0;0;0;5;0;L7823;1938;1960;1999;x
van Voorst tot Voorst  H.;15025;HOL;1930;1938;1990;1990;2;4;32;1;0;4;0;L7824;1930;1945;1999;x
van Voorst tot Voorst  J.;15026;HOL;1930;1937;1939;1990;1;5;16;2;0;5;0;L7825;1930;1960;1999;x
von Geusau;15027;HOL;1930;1939;1990;1990;3;3;64;1;0;4;0;L7826;1930;1940;1999;x
Winkelman;15028;HOL;1930;1930;1939;1990;1;4;0;2;0;5;0;L7827;1930;1945;1999;x
Winkvoor;15029;HOL;1940;1942;1944;1990;2;3;0;2;0;5;0;L7828;1940;1960;1999;x
Bax;15030;HOL;1944;1990;1990;1990;3;3;0;0;0;5;1;L7829;1944;1960;1999;x
Brakema;15031;HOL;1939;1990;1990;1990;3;3;0;0;0;5;1;L7830;1939;1960;1999;x
Brouwer;15032;HOL;1938;1941;1990;1990;2;3;0;1;0;5;1;L7831;1938;1946;1999;x
Bussemaker;15033;HOL;1940;1990;1990;1990;3;5;1024;0;0;5;1;L7832;1940;1960;1999;x
Capel;15034;HOL;1943;1990;1990;1990;3;3;8192;0;0;5;1;L7833;1943;1960;1999;x
Chömpff;15035;HOL;1930;1990;1990;1990;3;5;8192;0;0;5;1;L7834;1930;1942;1999;x
de Booy;15036;HOL;1942;1990;1990;1990;3;3;0;0;0;5;1;L7835;1942;1960;1999;x
Doorman;15037;HOL;1940;1944;1990;1990;2;5;0;1;0;4;1;L7836;1940;1960;1999;x
Dulm;15038;HOL;1939;1990;1990;1990;3;4;4096;0;0;5;1;L7837;1939;1944;1999;x
Furstner;15039;HOL;1930;1937;1942;1990;1;6;2560;2;0;5;1;L7838;1930;1960;1999;x
Helfrich;15040;HOL;1930;1940;1990;1990;2;3;0;1;0;4;1;L7839;1930;1942;1999;x
Hellingman;15041;HOL;1945;1990;1990;1990;3;3;0;0;0;5;1;L7840;1945;1960;1999;x
Jolles;15042;HOL;1938;1990;1990;1990;3;5;8704;0;0;5;1;L7841;1938;1960;1999;x
Koenraad;15043;HOL;1944;1990;1990;1990;3;3;0;0;0;5;1;L7842;1944;1960;1999;x
Larive;15044;HOL;1941;1943;1990;1990;2;3;0;1;0;5;1;L7843;1941;1960;1999;x
Lier;15045;HOL;1930;1990;1990;1990;3;3;2048;0;0;5;1;L7844;1930;1960;1999;x
Looze;15046;HOL;1942;1990;1990;1990;3;3;0;0;0;5;1;L7845;1942;1960;1999;x
Ort;15047;HOL;1940;1990;1990;1990;3;3;0;0;0;5;1;L7846;1940;1945;1999;x
Quint;15048;HOL;1943;1990;1990;1990;3;4;1024;0;0;5;1;L7847;1943;1960;1999;x
Straelen;15049;HOL;1942;1990;1990;1990;3;5;0;0;0;5;1;L7848;1942;1960;1999;x
Termijtelen;15050;HOL;1941;1943;1990;1990;2;3;0;1;0;5;1;L7849;1941;1960;1999;x
van Asbeck;15051;HOL;1939;1943;1990;1990;2;5;2048;1;0;5;1;L7850;1939;1946;1999;x
van Boetzelaer;15052;HOL;1942;1990;1990;1990;3;3;1024;1;0;5;1;L7851;1942;1960;1999;x
Best;15053;HOL;1937;1939;1990;1990;2;4;0;1;0;4;2;L7852;1937;1940;1999;x
de Jonge van Ellemeet;15054;HOL;1930;1939;1990;1990;2;4;0;1;0;4;2;L7853;1930;1960;1999;x
Douw van der Krap;15055;HOL;1942;1990;1990;1990;3;3;131072;0;0;3;2;L7854;1942;1960;1999;x
Godefroy;15056;HOL;1942;1990;1990;1990;3;3;4096;0;0;5;2;L7855;1942;1960;1999;x
Mulder;15057;HOL;1944;1990;1990;1990;3;3;0;0;0;5;2;L7856;1944;1947;1999;x
Raaijmakers;15058;HOL;1930;1930;1990;1990;2;3;8704;1;0;5;2;L7857;1930;1960;1999;x
Sas;15059;HOL;1938;1990;1990;1990;3;3;0;0;0;4;2;L7858;1938;1942;1999;x
van Oyen;15060;HOL;1938;1942;1990;1990;2;4;16384;1;0;5;2;L7859;1938;1960;1999;x
Zegers;15061;HOL;1943;1990;1990;1990;3;4;4096;0;0;5;2;L7860;1943;1960;1999;x
Snijders;15062;HOL;1906;1910;1912;1914;0;5;2;2;0;4;0;3877;1906;1932;1999;x
Dufour;15063;HOL;1906;1932;1932;1932;3;5;0;2;0;5;0;3878;1906;1932;1999;x
Cool;15064;HOL;1906;1914;1932;1932;2;5;0;2;0;4;0;3879;1906;1932;1999;x
Weber;15065;HOL;1906;1932;1932;1932;3;5;0;3;0;5;0;3880;1906;1932;1999;x
