Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abél Mendez;355001;HON;1945;1990;1990;1990;3;3;0;0;0;4;0;L370000;1945;1960;1999;x
Alcerro Prudoth;355002;HON;1944;1947;1990;1990;3;4;0;1;0;4;0;L370001;1944;1947;1999;x
Almas Albornoz;355003;HON;1930;1939;1990;1990;2;3;1;1;0;4;0;L370002;1930;1946;1999;x
Arria Tachi;355004;HON;1938;1990;1990;1990;3;3;0;0;0;5;0;L370003;1938;1960;1999;x
Caceres Pinzón;355005;HON;1941;1990;1990;1990;3;4;128;0;0;5;0;L370004;1941;1960;1999;x
Carias Andina;355006;HON;1930;1930;1930;1930;0;2;0;0;0;5;0;L370005;1930;1946;1999;x
Díaz Garcia;355007;HON;1944;1990;1990;1990;3;3;2;0;0;3;0;L370006;1944;1960;1999;x
Garcia Velpuveda;355008;HON;1937;1990;1990;1990;3;3;2;0;0;3;0;L370007;1937;1944;1999;x
Nuñez Salés;355009;HON;1940;1943;1990;1990;2;4;0;1;0;4;0;L370008;1940;1960;1999;x
Ortiz Pinel;355010;HON;1943;1990;1990;1990;3;4;256;0;0;4;0;L370009;1943;1960;1999;x
Pérez Matamoros;355011;HON;1944;1990;1990;1990;3;3;1;0;0;3;0;L370010;1944;1960;1999;x
Rodriguez Alvarado;355012;HON;1942;1990;1990;1990;3;3;128;0;0;3;0;L370011;1942;1947;1999;x
Sanabria Oyuela;355013;HON;1939;1942;1946;1990;2;4;256;2;0;4;0;L370012;1939;1960;1999;x
St.Clair Meñdoza;355014;HON;1930;1930;1990;1990;2;5;513;1;0;5;0;L370013;1930;1941;1999;x
Stochler Garcia;355015;HON;1930;1939;1942;1990;1;5;2;2;0;5;0;L370014;1930;1944;1999;x
Williams Calderon;355016;HON;1939;1942;1990;1990;2;3;0;1;0;5;0;L370015;1939;1946;1999;x
Andina Rojas;355017;HON;1930;1990;1990;1990;3;3;1024;0;0;5;1;L370016;1930;1943;1999;x
López Arellano;355018;HON;1938;1940;1944;1990;1;3;0;2;0;3;1;L370017;1938;1960;1999;x
Marquez Nuñez;355019;HON;1945;1990;1990;1990;3;3;0;0;0;3;1;L370018;1945;1960;1999;x
Vaupel Comeza;355020;HON;1940;1945;1990;1990;2;3;0;1;0;4;1;L370019;1940;1960;1999;x
Abél Mendez;355021;HON;1945;1990;1990;1990;3;3;0;0;0;4;2;L370020;1945;1960;1999;x
Ángel Sevilla;355022;HON;1941;1990;1990;1990;3;3;0;0;0;5;2;L370021;1941;1960;1999;x
Fernandez;355023;HON;1938;1990;1990;1990;3;3;0;0;0;5;2;L370022;1938;1944;1999;x
Masson;355024;HON;1930;1930;1930;1990;1;7;4096;2;0;5;2;L370023;1930;1941;1999;x
Pérez Matamoros;355025;HON;1944;1990;1990;1990;3;3;0;0;0;3;2;L370024;1944;1960;1999;x
Schmidt;355026;HON;1930;1941;1990;1990;2;4;16384;1;0;5;2;L370025;1930;1946;1999;x
López Gutiérrez;355027;HON;1897;1914;1932;1932;2;3;0;2;0;5;0;623;1908;1932;1999;x
Bertrand;355028;HON;1897;1897;1914;1932;1;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Carías;355029;HON;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tosta;355030;HON;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Ferrera;355031;HON;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
