Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andras;105001;HUN;1944;1990;1990;1990;3;4;256;0;0;5;0;624;1944;1990;1999;x
Algya-Pap;105002;HUN;1938;1942;1990;1990;2;5;4;1;0;3;0;625;1938;1946;1999;x
Babics;105003;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;626;1940;1990;1999;x
Bajnóczy;105004;HUN;1930;1930;1943;1990;1;5;64;1;0;5;0;627;1930;1990;1999;x
Bakay;105005;HUN;1930;1943;1990;1990;3;5;0;1;0;2;0;628;1930;1990;1999;x
Barankay;105006;HUN;1930;1990;1990;1990;3;5;0;0;0;3;0;629;1930;1942;1999;x
Barthá von Dálnokfalva;105007;HUN;1930;1930;1930;1990;1;4;544;1;0;5;0;630;1930;1942;1999;x
Baumann;105008;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;631;1944;1990;1999;x
Beldy;105009;HUN;1937;1943;1990;1990;3;5;0;1;0;5;0;632;1937;1946;1999;x
Beregffy;105010;HUN;1930;1937;1941;1990;1;5;0;2;0;5;0;633;1930;1990;1999;x
Berzin;105011;HUN;1945;1947;1990;1990;3;6;4;1;0;5;0;634;1945;1990;1999;x
Billinitzer;105012;HUN;1930;1930;1990;1990;2;5;513;1;0;4;0;635;1930;1940;1999;x
Bor;105013;HUN;1942;1944;1990;1990;2;4;0;1;0;5;0;636;1942;1990;1999;x
Brunswik;105014;HUN;1941;1946;1990;1990;3;5;4;1;0;5;0;637;1941;1990;1999;x
Csatay von Csatai;105015;HUN;1930;1930;1941;1990;1;6;576;1;0;5;0;638;1930;1990;1999;x
Csicserics von Bacsány;105016;HUN;1930;1930;1990;1990;2;5;514;1;0;4;0;639;1930;1939;1999;x
Dalos;105017;HUN;1942;1990;1990;1990;3;6;0;0;0;4;0;640;1942;1944;1999;x
Deák;105018;HUN;1944;1990;1990;1990;3;6;128;1;0;2;0;641;1944;1990;1999;x
Decleva;105019;HUN;1938;1940;1942;1990;2;6;1;2;0;5;0;L31118;1938;1950;1999;x
Denk;105020;HUN;1930;1930;1938;1990;2;6;516;1;0;5;0;L31119;1930;1990;1999;x
Domaniczky;105021;HUN;1938;1941;1990;1990;2;6;516;2;0;3;0;L31120;1938;1945;1999;x
Dömötör;105022;HUN;1939;1942;1990;1990;2;6;2;2;0;4;0;L31121;1939;1990;1999;x
Duska;105023;HUN;1944;1990;1990;1990;3;7;16;0;0;2;0;L31122;1944;1990;1999;x
Fábry;105024;HUN;1938;1940;1990;1990;2;6;513;1;0;4;0;L31123;1938;1990;1999;x
Faragho;105025;HUN;1940;1943;1990;1990;2;5;2;1;0;5;0;L31124;1940;1953;1999;x
Farkas;105026;HUN;1941;1943;1945;1990;2;5;0;2;0;5;0;L31125;1941;1990;1999;x
Feketehalmy-Czeydner;105027;HUN;1939;1941;1944;1990;2;6;32;2;0;3;0;L31126;1939;1990;1999;x
Ferjentsik;105028;HUN;1930;1930;1990;1990;2;4;512;1;0;5;0;L31127;1930;1939;1999;x
Friedrich;105029;HUN;1938;1990;1990;1990;3;4;0;0;0;5;0;L31128;1938;1939;1999;x
Gálócsy;105030;HUN;1944;1990;1990;1990;3;5;32;2;0;3;0;L31129;1944;1958;1999;x
Gátmezei;105031;HUN;1944;1990;1990;1990;3;6;256;0;0;5;0;L31130;1944;1990;1999;x
Gorondy-Novák;105032;HUN;1930;1938;1941;1990;1;7;516;3;0;4;0;L31131;1930;1954;1999;x
Grassy;105033;HUN;1942;1990;1990;1990;3;7;128;2;0;5;0;L31132;1942;1990;1999;x
Gömbös;105034;HUN;1930;1990;1990;1990;3;6;2;0;0;5;0;L31133;1930;1940;1999;x
Hardy;105035;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;L31134;1942;1990;1999;x
Hennyey;105036;HUN;1930;1941;1944;1990;2;7;2;3;0;5;0;L31135;1930;1990;1999;x
Heszlényi;105037;HUN;1939;1942;1944;1990;2;6;1;3;0;5;0;L31136;1939;1990;1999;x
Hollósy-Kuthy;105038;HUN;1942;1944;1990;1990;2;6;32;2;0;5;0;L31137;1942;1990;1999;x
Honty;105039;HUN;1939;1990;1990;1990;3;4;0;0;0;2;0;L31138;1939;1943;1999;x
Horváth F;105040;HUN;1943;1944;1990;1990;1;6;256;2;0;5;0;L31139;1943;1990;1999;x
Horváth S;105041;HUN;1940;1990;1990;1990;3;6;128;1;0;5;0;L31140;1942;1990;1999;x
Ibrányi;105042;HUN;1942;1944;1990;1990;2;6;4;2;0;5;0;L31141;1942;1990;1999;x
Jány;105043;HUN;1930;1937;1941;1990;3;7;2;3;0;5;0;L31142;1930;1990;1999;x
Kir;105044;HUN;1945;1947;1990;1990;2;4;0;1;0;5;0;L31143;1945;1990;1999;x
