Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ahsan;250001;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505000;1945;1960;1999;x
Bahadur Kohoon of Jaisalmer;250006;IND;1930;1930;1990;1990;2;2;0;0;0;5;0;L505006;1930;1939;1999;x
Bahadur Aly of Patiala;250007;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505007;1930;1944;1999;x
Bhutbapool;250015;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1942;1999;x
Cariappa;250021;IND;1937;1941;1943;1944;0;5;1;3;0;5;0;L505021;1937;1960;1999;x
Dhawara;250031;IND;1930;1990;1990;1990;3;3;32;0;0;5;0;L505032;1930;1942;1999;x
Madhani;250052;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505054;1930;1943;1999;x
Mukerjee;250060;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505062;1945;1960;1999;x
Musa;250061;IND;1943;1945;1990;1990;2;3;64;0;0;5;0;L505063;1943;1960;1999;x
Nabob Kureishi of Bhawalapur;250062;IND;1941;1943;1990;1990;2;2;0;1;0;4;0;L505064;1941;1960;1999;x
Sikhand;250066;IND;1942;1990;1990;1990;3;4;256;0;0;5;0;L505071;1942;1960;1999;x
Somerset;250069;IND;1939;1990;1990;1990;3;3;0;0;0;5;0;L1284;1939;1940;1999;x
Srinagesh;250070;IND;1941;1943;1945;1990;1;5;128;2;0;5;0;L505075;1941;1960;1999;x
Thimayya;250074;IND;1938;1942;1944;1946;1;6;17;3;0;5;0;L505079;1938;1960;1999;x
Chatterjee;250084;IND;1942;1945;1947;1990;2;4;0;2;0;5;1;L505090;1942;1960;1999;x
Choudri;250085;IND;1944;1946;1990;1990;2;3;0;1;0;5;1;L505091;1944;1960;1999;x
Dass Katari;250089;IND;1940;1943;1946;1990;2;4;0;2;0;5;1;L505095;1940;1960;1999;x
Harinder Singh;250093;IND;1945;1990;1990;1990;3;3;0;0;0;5;1;L505099;1945;1960;1999;x
Nanda;250100;IND;1943;1945;1946;1990;2;4;0;2;0;5;1;L505106;1943;1960;1999;x
