Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adalberto Duca di Bergamo;25001;ITA;1930;1930;1930;1990;1;4;0;0;0;2;0;L6000;1930;1960;1999;x
Albert;25002;ITA;1944;1946;1990;1990;2;5;64;1;0;3;0;L6001;1944;1960;1999;x
Ago;25003;ITA;1930;1930;1941;1990;1;3;0;1;0;4;0;L6002;1930;1960;1999;x
Ambrosio;25004;ITA;1930;1930;1938;1990;1;5;4;1;0;4;0;L6003;1930;1960;1999;x
Amedeo Duca degli Abruzzi;25005;ITA;1930;1930;1930;1990;1;3;1;1;0;4;0;L6004;1930;1942;1999;x
Amico;25006;ITA;1937;1990;1990;1990;3;4;64;0;0;2;0;L6005;1937;1943;1999;x
Antonelli;25007;ITA;1938;1990;1990;1990;3;2;0;0;0;5;0;L6006;1938;1941;1999;x
Ardito;25008;ITA;1946;1990;1990;1990;3;3;0;0;0;3;0;L6007;1946;1960;1999;x
Arena;25009;ITA;1939;1990;1990;1990;3;4;128;0;0;4;0;L6008;1939;1942;1999;x
Armellini Q.;25010;ITA;1930;1942;1990;1990;2;4;256;1;0;4;0;L6009;1930;1946;1999;x
Asinari di Bernezzo;25011;ITA;1930;1990;1990;1990;3;3;514;1;0;4;0;L6010;1930;1943;1999;x
Babini;25012;ITA;1930;1939;1990;1990;3;3;1;1;0;3;0;L6011;1930;1941;1999;x
Burzagli;25013;ITA;1941;1946;1990;1990;3;4;256;1;0;4;0;L6012;1941;1960;1999;x
Badoglio;25014;ITA;1930;1930;1930;1930;0;5;514;1;0;5;0;L6013;1930;1960;1999;x
Baistrocchi;25015;ITA;1930;1930;1930;1990;1;3;513;1;0;4;0;L6014;1930;1940;1999;x
Balbo;25016;ITA;1930;1930;1930;1930;0;7;1;3;0;5;0;L6015;1930;1942;1999;x
Balisti;25017;ITA;1939;1944;1990;1990;3;4;4;1;0;5;0;L6016;1939;1960;1999;x
Balocco;25018;ITA;1939;1940;1990;1990;2;3;0;1;0;3;0;L6017;1939;1960;1999;x
Barbasetti di Prun;25019;ITA;1930;1940;1990;1990;2;4;129;0;0;3;0;9714;1930;1960;1999;x
