Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abe;50001;JAP;1930;1930;1930;1990;1;4;4;1;0;5;0;L101000;1930;1990;1999;x
Adachi;50002;JAP;1938;1940;1990;1990;2;6;16;2;0;5;0;L101001;1938;1947;1999;x
Aida;50003;JAP;1943;1990;1990;1990;3;4;1;1;0;5;0;L101002;1943;1990;1999;x
Akashika;50004;JAP;1941;1990;1990;1990;3;4;0;1;0;5;0;L101003;1941;1990;1999;x
Akashita;50005;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101004;1939;1990;1999;x
Amano;50006;JAP;1945;1947;1990;1990;3;5;0;2;0;5;0;L101005;1945;1990;1999;x
Amemiya;50007;JAP;1930;1938;1945;1990;2;4;0;3;0;5;0;L101006;1930;1990;1999;x
Anami;50008;JAP;1930;1938;1943;1990;1;6;4;2;0;5;0;L101007;1930;1990;1999;x
Ando  R.;50009;JAP;1930;1930;1930;1990;1;7;4;3;0;5;0;L101008;1930;1990;1999;x
Ando  S.;50010;JAP;1930;1942;1990;1990;2;4;576;1;0;5;0;L101009;1930;1990;1999;x
Aoki;50011;JAP;1941;1944;1990;1990;3;5;0;2;0;5;0;L101010;1941;1990;1999;x
Aotsu;50012;JAP;1944;1990;1990;1990;3;3;2;1;0;5;0;L101011;1944;1990;1999;x
Araki;50013;JAP;1930;1930;1930;1990;1;4;0;2;0;5;0;L101012;1930;1990;1999;x
Arikawa;50014;JAP;1944;1990;1990;1990;3;4;2;1;0;5;0;L101013;1944;1990;1999;x
Asaka;50015;JAP;1930;1930;1939;1990;1;5;4;2;0;5;0;L101014;1930;1939;1999;x
Aung San;50016;JAP;1942;1990;1990;1990;3;6;16;2;0;5;0;L101015;1942;1947;1999;x
Ayabe;50017;JAP;1938;1940;1990;1990;2;6;0;3;0;5;0;L101016;1938;1990;1999;x
Baba;50018;JAP;1940;1943;1990;1990;3;5;4;2;0;5;0;L101017;1940;1990;1999;x
Banzai;50019;JAP;1944;1990;1990;1990;3;5;256;1;0;5;0;L101018;1944;1990;1999;x
Chandra Bose;50020;JAP;1943;1990;1990;1990;3;4;16;2;0;5;0;L101019;1943;1945;1999;x
Cho;50021;JAP;1930;1930;1990;1990;2;5;0;2;0;5;0;L101020;1930;1943;1999;x
Dohihara;50022;JAP;1930;1937;1940;1990;1;6;1;3;0;5;0;L101021;1930;1990;1999;x
Endo;50023;JAP;1938;1941;1990;1990;2;5;0;2;0;5;0;L101022;1939;1990;1999;x
Fujie;50024;JAP;1930;1930;1938;1990;1;7;64;3;0;5;0;L101023;1930;1990;1999;x
Fujii;50025;JAP;1938;1941;1990;1990;3;4;0;1;0;5;0;L101024;1938;1990;1999;x
Fujioka;50026;JAP;1943;1944;1990;1990;2;4;0;2;0;5;0;L101025;1943;1990;1999;x
Fukui;50027;JAP;1930;1930;1990;1990;2;6;514;1;0;5;0;L101026;1930;1940;1999;x
Funabiki;50028;JAP;1938;1943;1990;1990;3;5;0;2;0;5;0;L101027;1938;1990;1999;x
Gatot Mangkoepradja;50029;JAP;1942;1990;1990;1990;3;4;16;1;0;3;0;L101028;1942;1945;1999;x
Hanada;50030;JAP;1930;1930;1930;1990;1;7;516;1;0;5;0;L101029;1930;1938;1999;x
Hanaya;50031;JAP;1938;1943;1990;1990;2;5;0;2;0;5;0;L101030;1938;1990;1999;x
Hara;50032;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101031;1939;1946;1999;x
Harada;50033;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101032;1943;1990;1999;x
Hashimoto;50034;JAP;1942;1990;1990;1990;3;6;64;1;0;5;0;L101033;1942;1990;1999;x
Hata;50035;JAP;1930;1930;1930;1943;0;7;4;4;0;5;0;L101034;1930;1990;1999;x
Hattori;50036;JAP;1945;1990;1990;1990;3;5;4;1;0;5;0;L101035;1945;1990;1999;x
Hayashi;50037;JAP;1943;1944;1990;1990;3;5;1;2;0;5;0;L101036;1943;1990;1999;x
Hayashida;50038;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101037;1944;1990;1999;x
Higashikuni;50039;JAP;1930;1930;1930;1941;0;7;4;4;0;5;0;L101038;1930;1944;1999;x
Higuchi;50040;JAP;1938;1942;1990;1990;2;6;0;2;0;5;0;L101039;1938;1990;1999;x
Hirata;50041;JAP;1945;1990;1990;1990;3;5;0;1;0;5;0;L101040;1945;1990;1999;x
Hirota;50042;JAP;1941;1943;1946;1990;1;4;0;3;0;5;0;L101041;1941;1990;1999;x
Hitomi;50043;JAP;1941;1943;1990;1990;2;4;0;2;0;5;0;L101042;1941;1990;1999;x
Honda;50044;JAP;1938;1940;1990;1990;2;6;3;2;0;5;0;L101043;1938;1990;1999;x
Hong Sa;50046;JAP;1941;1944;1990;1990;3;4;4;1;0;5;0;L101045;1941;1945;1999;x
Honma;50047;JAP;1930;1938;1990;1990;2;6;16;2;0;5;0;L101046;1930;1990;1999;x
Horii;50049;JAP;1930;1940;1990;1990;3;6;256;2;0;5;0;L101048;1930;1942;1999;x
Horiuchi;50050;JAP;1930;1990;1990;1990;3;5;256;1;0;5;0;L101049;1930;1941;1999;x
Hoshinato;50051;JAP;1942;1944;1990;1990;2;5;128;2;0;5;0;L101050;1942;1990;1999;x
Hyakutake;50052;JAP;1930;1939;1990;1990;2;6;0;3;0;5;0;L101051;1930;1947;1999;x
Ichiki;50053;JAP;1938;1990;1990;1990;3;5;256;1;0;5;0;L101052;1938;1944;1999;x
Ide  S.;50054;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101053;1943;1990;1999;x
Ide  T.;50055;JAP;1941;1990;1990;1990;3;5;1;1;0;5;0;L101054;1941;1990;1999;x
Iida;50056;JAP;1938;1941;1990;1990;2;7;4;3;0;5;0;L101055;1938;1990;1999;x
Iimura;50057;JAP;1939;1941;1990;1990;2;6;0;2;0;5;0;L101056;1939;1990;1999;x
Ijuin;50058;JAP;1944;1990;1990;1990;3;5;8;1;0;5;0;L101057;1944;1990;1999;x
Imai;50059;JAP;1941;1944;1990;1990;3;5;0;2;0;5;0;L101058;1941;1990;1999;x
Imamura  H.;50060;JAP;1930;1938;1943;1990;2;7;260;3;0;5;0;L101059;1930;1990;1999;x
Imamura  K.;50061;JAP;1930;1939;1990;1990;2;5;0;2;0;5;0;L101060;1930;1990;1999;x
