Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chae Byong Duk;265001;KOR;1930;1939;1944;1990;1;3;2;2;0;5;0;M578007;1930;1960;1999;x
Chi Chun Chung;265002;KOR;1930;1930;1942;1990;1;5;0;2;0;5;0;M578017;1930;1960;1999;x
Choi Hong Hi;265003;KOR;1941;1943;1990;1990;2;4;256;1;0;5;0;L578002;1941;1960;1999;x
Gu In Tak;265004;KOR;1945;1990;1990;1990;3;4;64;0;0;5;0;L578003;1945;1960;1999;x
Kim Shee Jen;265005;KOR;1945;1990;1990;1990;3;3;4;0;0;5;0;L578004;1945;1960;1999;x
Kim Won Bong;265006;KOR;1930;1930;1930;1941;0;6;17;2;0;5;0;M578018;1930;1947;1999;x
Koo Han-yong;265007;KOR;1944;1990;1990;1990;3;4;32;0;0;5;0;L578006;1944;1960;1999;x
Lee Chung Chun;265008;KOR;1930;1938;1944;1990;1;5;3;3;0;5;0;M578008;1930;1960;1999;x
Lee Hung Koon;265009;KOR;1939;1942;1990;1990;2;4;16;1;0;5;0;L578008;1939;1960;1999;x
Mo Chang-hoi;265010;KOR;1945;1990;1990;1990;3;3;0;0;0;5;0;L578009;1945;1960;1999;x
Paik Sun Yup;265011;KOR;1944;1990;1990;1990;3;4;9;0;0;5;0;L578010;1944;1960;1999;x
Park Chung Hee;265012;KOR;1943;1945;1990;1990;2;5;4;1;0;5;0;L578011;1943;1960;1999;x
Wang Tang-woe;265013;KOR;1945;1990;1990;1990;3;3;256;0;0;5;0;L578012;1945;1960;1999;x
Yu Hong-chul;265014;KOR;1944;1990;1990;1990;3;4;128;0;0;5;0;L578013;1944;1960;1999;x
Han Gil Su;265015;KOR;1944;1990;1990;1990;3;3;1024;0;0;5;1;L578014;1944;1960;1999;x
Jong Dong-ju;265016;KOR;1930;1941;1990;1990;2;4;2048;1;0;5;1;M578019;1930;1960;1999;x
Kang Jong Pil;265017;KOR;1942;1990;1990;1990;3;3;0;0;0;5;1;L578016;1942;1960;1999;x
Seo Chae-ko;265018;KOR;1945;1990;1990;1990;3;3;0;0;0;5;1;L578017;1945;1960;1999;x
Soon Won-yil;265019;KOR;1930;1940;1943;1990;1;4;4096;3;0;5;1;M578009;1930;1960;1999;x
Choi Hong Hi;265020;KOR;1941;1943;1990;1990;2;3;0;1;0;5;2;L578002;1941;1960;1999;x
Kang Hae Sup;265021;KOR;1943;1990;1990;1990;3;3;131072;0;0;5;2;L578020;1943;1960;1999;x
Kim Tae Sun;265022;KOR;1945;1990;1990;1990;3;3;4096;0;0;5;2;L578021;1945;1960;1999;x
Lee Bom Suk;265023;KOR;1930;1930;1943;1990;1;4;16384;2;0;5;2;M578010;1930;1960;1999;x
Ri Jae Sun;265024;KOR;1930;1941;1990;1990;2;4;131072;1;0;5;2;M578020;1930;1960;1999;x
Sinn Do-keun;265025;KOR;1939;1943;1990;1990;2;3;0;1;0;5;2;L578024;1939;1960;1999;x
Emperor Gojong;265026;KOR;1897;1897;1897;1897;0;5;512;0;0;5;0;797;1897;1919;1999;x
Emperor Soonjong;265027;KOR;1897;1897;1897;1907;0;5;0;1;0;5;0;798;1897;1926;1999;x
Prince Lee Hee;265028;KOR;1897;1897;1897;1932;1;5;512;0;0;5;0;799;1897;1912;1999;x
Prince Lee Ghang;265029;KOR;1897;1897;1897;1932;1;5;0;3;0;5;0;800;1897;1932;1999;x
Prince Lee Eun;265030;KOR;1915;1915;1915;1932;1;5;2;2;0;5;0;801;1915;1932;1999;x
Prince Lee Joon Yong;265031;KOR;1897;1897;1897;1932;1;5;512;1;0;5;0;802;1897;1917;1999;x
Lee Ghap;265032;KOR;1897;1897;1915;1932;1;5;4;2;0;5;0;803;1897;1917;1999;x
Yewn Woong Ryeol;265033;KOR;1897;1897;1902;1932;1;5;512;2;0;5;0;804;1897;1911;1999;x
Gwon Joong Hyun;265034;KOR;1897;1897;1907;1932;1;5;0;2;0;5;0;805;1897;1934;1999;x
Min Young Hwan;265035;KOR;1897;1900;1932;1932;2;5;16;2;0;5;0;806;1897;1905;1999;x
Min Young Gi;265036;KOR;1897;1911;1932;1932;2;5;0;1;0;5;0;807;1897;1927;1999;x
Min Young Chan;265037;KOR;1904;1932;1932;1932;3;5;0;1;0;5;0;808;1904;1932;1999;x
Min Byung Seok;265038;KOR;1897;1897;1932;1932;2;5;0;2;0;5;0;809;1897;1932;1999;x
Min Shang Ho;265039;KOR;1897;1906;1932;1932;2;5;32;2;0;5;0;810;1897;1932;1999;x
Yewn Taek Young;265040;KOR;1906;1932;1932;1932;3;5;0;0;0;5;0;811;1906;1932;1999;x
Uhm Joo Ik;265041;KOR;1897;1907;1932;1932;2;5;1;2;0;5;0;812;1897;1931;1999;x
Uhm Joon Won;265042;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;813;1897;1932;1999;x
Park Je Soon;265043;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;814;1897;1916;1999;x
Song Byung Joon;265044;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;815;1897;1925;1999;x
Lee Guen Taek;265045;KOR;1901;1932;1932;1932;3;5;0;1;0;5;0;816;1901;1919;1999;x
Lee Byung Moo;265046;KOR;1897;1905;1907;1932;1;5;0;2;0;5;0;817;1897;1920;1999;x
Woo Bum Sun;265047;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;818;1897;1903;1999;x
Lee Yong Ik;265048;KOR;1897;1905;1932;1932;2;5;1;1;0;5;0;819;1897;1907;1999;x
Park Seung Hwan;265049;KOR;1897;1932;1932;1932;3;5;4;2;0;5;0;820;1897;1907;1999;x
Shin Phal Gewn;265050;KOR;1897;1907;1916;1932;1;5;2;3;0;5;0;821;1897;1924;1999;x
Lee Joon Young;265051;KOR;1900;1932;1932;1932;3;5;0;2;0;5;0;822;1900;1907;1999;x
Jo Hee Yeon;265052;KOR;1897;1897;1932;1932;2;5;512;1;0;5;0;823;1897;1915;1999;x
Jo Dong Yewn;265053;KOR;1897;1897;1932;1932;2;5;0;1;0;5;0;824;1897;1923;1999;x
Jhang Hwa Sik;265054;KOR;1897;1932;1932;1932;3;5;32;2;0;5;0;825;1897;1928;1999;x
Lee Jae Whan;265055;KOR;1897;1907;1932;1932;2;5;1;2;0;5;0;826;1897;1922;1999;x
Baek Seong Gi;265056;KOR;1897;1904;1908;1932;1;5;64;1;0;5;0;827;1897;1929;1999;x
Han Jin Chang;265057;KOR;1897;1932;1932;1932;3;5;0;2;0;5;0;828;1897;1920;1999;x
Jeong Nhan Gyo;265058;KOR;1897;1907;1932;1932;2;5;0;1;0;5;0;829;1897;1930;1999;x
Shin Tae Hew;265059;KOR;1904;1932;1932;1932;3;5;0;1;0;5;0;830;1904;1928;1999;x
Jeong Gi Taek;265060;KOR;1897;1904;1932;1932;2;5;512;1;0;5;0;831;1897;1922;1999;x
Shin Gi Sun;265061;KOR;1897;1897;1904;1932;1;5;512;1;0;5;0;832;1897;1909;1999;x
