Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bachs;135001;LAT;1930;1990;1990;1990;3;3;0;0;0;3;0;L19000;1930;1941;1999;x
Balodis;135002;LAT;1930;1939;1943;1990;2;4;64;2;0;4;0;L19001;1930;1960;1999;x
Bangerskis;135003;LAT;1937;1939;1942;1990;1;4;2;2;0;3;0;L19002;1937;1960;1999;x
Berkis;135004;LAT;1930;1930;1940;1990;1;4;0;2;0;3;0;L19003;1930;1942;1999;x
Bolsteins;135005;LAT;1938;1990;1990;1990;3;4;4;0;0;4;0;L19004;1938;1940;1999;x
Bubinduss;135006;LAT;1939;1990;1990;1990;3;4;0;0;0;3;0;L19005;1939;1942;1999;x
Buks;135007;LAT;1939;1990;1990;1990;3;3;32;0;0;3;0;L19006;1939;1942;1999;x
Celmins;135008;LAT;1939;1942;1990;1990;3;4;4;1;0;4;0;L19007;1939;1945;1999;x
Dambitis;135009;LAT;1930;1930;1990;1990;2;5;8;1;0;2;0;L19008;1930;1939;1999;x
Dankers;135010;LAT;1930;1930;1945;1990;2;4;0;1;0;2;0;L19009;1930;1960;1999;x
Duze;135011;LAT;1941;1990;1990;1990;3;3;0;0;0;4;0;L19010;1941;1960;1999;x
Ezerins;135012;LAT;1937;1990;1990;1990;3;3;0;0;0;4;0;L19011;1937;1944;1999;x
Goppers;135013;LAT;1930;1930;1930;1990;1;5;514;1;0;5;0;L19012;1930;1939;1999;x
Grosbart;135014;LAT;1940;1941;1990;1990;2;5;128;1;0;2;0;L19013;1940;1944;1999;x
Jeske;135015;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19014;1939;1941;1999;x
Klavins;135016;LAT;1930;1930;1940;1990;1;4;513;1;0;5;0;L19015;1930;1941;1999;x
Klinsons;135017;LAT;1930;1990;1990;1990;3;4;513;1;0;5;0;L19016;1930;1941;1999;x
Krustins;135018;LAT;1930;1940;1990;1990;2;4;0;0;0;3;0;L19017;1930;1941;1999;x
Kurelis;135019;LAT;1938;1943;1990;1990;2;3;32;1;0;3;0;L19018;1938;1960;1999;x
Kurse;135020;LAT;1940;1990;1990;1990;3;3;1;0;0;4;0;L19019;1940;1960;1999;x
Lobe;135021;LAT;1942;1990;1990;1990;3;3;4;0;0;2;0;L19020;1942;1945;1999;x
Osis;135022;LAT;1930;1990;1990;1990;3;3;0;0;0;2;0;L19021;1930;1939;1999;x
Prauls;135023;LAT;1937;1990;1990;1990;3;4;2;0;0;5;0;L19022;1937;1941;1999;x
Rozentseins;135024;LAT;1930;1990;1990;1990;3;3;1;0;0;3;0;L19023;1930;1941;1999;x
Silgailis;135025;LAT;1942;1990;1990;1990;3;3;2;0;0;2;0;L19024;1942;1960;1999;x
Skrapce;135026;LAT;1930;1990;1990;1990;3;3;32;0;0;4;0;L19025;1930;1939;1999;x
Sprogis;135027;LAT;1944;1990;1990;1990;3;5;16;0;0;1;0;L19026;1944;1990;1999;x
Tefpers;135028;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19027;1939;1960;1999;x
Vacietis;135029;LAT;1943;1945;1947;1990;2;5;4;2;0;4;0;L19028;1943;1960;1999;x
