Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
al-Abboud;375001;LEB;1945;1990;1990;1990;3;2;0;0;0;5;0;L529000;1945;1960;1999;x
al-Arab;375002;LEB;1944;1990;1990;1990;3;2;128;0;0;5;0;L529001;1944;1960;1999;x
al-Hasic;375003;LEB;1930;1990;1990;1990;3;2;1;0;0;5;0;L529002;1930;1946;1999;x
Aoun;375004;LEB;1944;1990;1990;1990;3;2;128;0;0;5;0;L529003;1944;1960;1999;x
Azzam;375005;LEB;1930;1990;1990;1990;3;2;256;0;0;5;0;M529057;1930;1946;1999;x
Barakat;375006;LEB;1943;1945;1990;1990;2;2;2;1;0;5;0;L529005;1943;1960;1999;x
Bitar;375007;LEB;1945;1990;1990;1990;3;2;0;0;0;5;0;L529006;1945;1960;1999;x
Cartenian;375008;LEB;1943;1990;1990;1990;3;2;64;0;0;5;0;L529007;1943;1960;1999;x
Cazaud;375009;LEB;1930;1939;1943;1990;1;4;4;2;0;5;0;M529008;1930;1960;1999;x
Chehab  A.;375010;LEB;1944;1990;1990;1990;3;2;32;0;0;5;0;L529009;1944;1960;1999;x
Chehab  F.;375011;LEB;1939;1942;1944;1990;1;3;0;2;0;5;0;M529056;1939;1960;1999;x
Daher;375012;LEB;1930;1990;1990;1990;3;2;1;0;0;5;0;L529011;1930;1945;1999;x
Finet;375013;LEB;1930;1990;1990;1990;3;4;1;0;0;5;0;L529012;1930;1960;1999;x
Fougerat;375014;LEB;1938;1990;1990;1990;3;3;0;0;0;5;0;L529013;1938;1944;1999;x
Ghanem;375015;LEB;1941;1944;1990;1990;2;2;2;1;0;5;0;M529053;1941;1960;1999;x
Harb;375016;LEB;1940;1990;1990;1990;3;2;1;0;0;5;0;M529052;1940;1960;1999;x
Jad;375017;LEB;1941;1990;1990;1990;3;2;1;0;0;5;0;M529059;1941;1960;1999;x
Khlat;375018;LEB;1930;1990;1990;1990;3;2;0;0;0;5;0;L529017;1930;1960;1999;x
Lahoud;375019;LEB;1938;1943;1990;1990;2;2;16;1;0;5;0;L529018;1938;1960;1999;x
Naoufai;375020;LEB;1930;1942;1990;1990;2;2;0;1;0;5;0;M529045;1930;1960;1999;x
Obeid;375021;LEB;1943;1990;1990;1990;3;2;1;0;0;5;0;L529020;1943;1960;1999;x
Peltier;375022;LEB;1941;1941;1990;1990;2;2;0;1;0;5;0;M529007;1941;1947;1999;x
Rammal;375023;LEB;1930;1944;1990;1990;3;3;2;1;0;5;0;L529022;1930;1960;1999;x
Roumiantzoff;375024;LEB;1939;1945;1990;1990;2;4;256;1;0;5;0;M529054;1939;1960;1999;x
Saab;375025;LEB;1942;1946;1990;1990;2;3;32;1;0;5;0;L529024;1942;1960;1999;x
Shmayt;375026;LEB;1944;1947;1990;1990;2;2;4;1;0;5;0;L529025;1944;1960;1999;x
Suleiman;375027;LEB;1945;1990;1990;1990;3;2;4;0;0;5;0;L529026;1945;1960;1999;x
Tafoussian;375028;LEB;1943;1990;1990;1990;3;2;256;0;0;5;0;L529027;1943;1960;1999;x
Yacoub;375029;LEB;1944;1990;1990;1990;3;2;64;0;0;5;0;L529028;1944;1960;1999;x
Charles;375030;LEB;1944;1990;1990;1990;3;2;0;0;0;5;1;L529029;1944;1960;1999;x
Jad;375031;LEB;1941;1990;1990;1990;3;2;0;0;0;5;1;M529059;1941;1960;1999;x
Lahoud;375032;LEB;1945;1990;1990;1990;3;2;4096;0;0;5;1;M529055;1945;1960;1999;x
Peretti;375033;LEB;1930;1990;1990;1990;3;3;0;0;0;5;1;M529009;1930;1960;1999;x
Soulat;375034;LEB;1938;1943;1990;1990;2;3;0;1;0;5;1;M529010;1938;1960;1999;x
Touchaleaume;375035;LEB;1939;1990;1990;1990;3;3;1024;0;0;5;1;L529034;1939;1960;1999;x
Boustany;375036;LEB;1930;1942;1945;1990;2;3;8192;2;0;5;2;M529062;1930;1960;1999;x
Gabli;375037;LEB;1943;1990;1990;1990;3;2;32768;0;0;5;2;L529036;1943;1960;1999;x
Maadarani;375038;LEB;1945;1990;1990;1990;3;2;0;0;0;5;2;L529037;1945;1960;1999;x
Moynet;375039;LEB;1940;1990;1990;1990;3;3;4096;0;0;5;2;L529038;1940;1960;1999;x
Naoufai;375040;LEB;1930;1944;1990;1990;2;2;0;1;0;5;2;M529045;1930;1960;1999;x
Salem;375041;LEB;1945;1990;1990;1990;3;2;16384;0;0;5;2;L529040;1945;1960;1999;x
Soulat;375042;LEB;1938;1943;1990;1990;2;4;131072;1;0;5;2;M529010;1938;1960;1999;x
Zarzour;375043;LEB;1945;1990;1990;1990;3;2;0;0;0;5;2;L529042;1945;1960;1999;x
