Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bastico;495001;LBY;1930;1930;1930;1942;1;5;516;2;0;4;0;L6021;1930;1960;1999;x
Clerici;495002;LBY;1930;1930;1990;1990;2;3;514;1;0;3;0;L6047;1930;1944;1999;x
Dalmazzo;495003;LBY;1930;1930;1990;1990;2;4;4;1;0;3;0;L6052;1930;1960;1999;x
Fowkes;495004;LBY;1941;1990;1990;1990;3;5;1;0;0;5;0;L1125;1941;1960;1999;x
Gariboldi;495005;LBY;1930;1930;1930;1990;1;5;513;1;0;2;0;L6077;1930;1960;1999;x
Hemming;495006;LBY;1941;1990;1990;1990;3;7;192;1;0;5;0;L1160;1941;1960;1999;x
Idris I.;495007;LBY;1940;1940;1940;1940;0;2;0;0;0;5;0;M576011;1940;1960;1999;x
Loewen;495008;LBY;1942;1944;1990;1990;2;6;128;1;0;5;0;L1196;1942;1960;1999;x
Mancinelli;495009;LBY;1937;1943;1946;1990;2;4;1;2;0;2;0;L6096;1937;1960;1999;x
Morris;495010;LBY;1939;1990;1990;1990;3;4;0;0;0;5;0;M576021;1939;1960;1999;x
Nasi;495011;LBY;1930;1930;1939;1990;1;3;1;1;0;5;0;L6108;1930;1960;1999;x
Ricci;495012;LBY;1930;1990;1990;1990;3;3;0;1;0;5;0;L6124;1930;1960;1999;x
Sakizli;495013;LBY;1930;1930;1945;1990;1;3;64;1;0;5;0;M576024;1940;1960;1999;x
Scott;495014;LBY;1940;1990;1990;1990;3;6;256;1;0;5;0;L576013;1940;1960;1999;x
Sidiq;495015;LBY;1940;1940;1946;1990;1;3;2;2;0;5;0;M576026;1940;1960;1999;x
Thurlow;495016;LBY;1930;1930;1945;1990;1;5;1;1;0;5;0;M576025;1940;1960;1999;x
Blagrovan;495017;LBY;1940;1990;1990;1990;3;5;0;0;0;5;1;L1325;1940;1960;1999;x
Cacioppo;495018;LBY;1939;1943;1990;1990;2;4;0;1;0;4;1;L6156;1939;1960;1999;x
de Laurentis;495019;LBY;1930;1942;1990;1990;3;4;0;1;0;5;1;L6166;1930;1960;1999;x
Dillon;495020;LBY;1940;1943;1990;1990;2;5;0;1;0;5;1;L1339;1940;1960;1999;x
Halsey;495021;LBY;1940;1990;1990;1990;3;5;0;0;0;5;1;L1352;1940;1960;1999;x
Khimlani;495022;LBY;1940;1945;1990;1990;2;2;0;1;0;5;1;M576028;1940;1960;1999;x
Martin;495023;LBY;1940;1944;1990;1990;2;5;0;1;0;5;1;L1370;1940;1960;1999;x
Rizzo;495024;LBY;1937;1990;1990;1990;3;3;0;0;0;4;1;L6187;1937;1960;1999;x
Bryan;495025;LBY;1941;1990;1990;1990;3;5;0;0;0;5;2;L1424;1941;1960;1999;x
di Ferro;495026;LBY;1938;1943;1990;1990;3;3;131072;1;0;3;2;L6206;1938;1960;1999;x
Hughes;495027;LBY;1940;1942;1990;1990;2;5;32768;1;0;5;2;L1448;1940;1960;1999;x
Peirse;495028;LBY;1940;1940;1942;1990;1;6;16384;2;0;5;2;L1468;1940;1960;1999;x
Pulford;495029;LBY;1940;1990;1990;1990;3;6;0;0;0;5;2;L1471;1940;1960;1999;x
Rezza;495030;LBY;1930;1938;1990;1990;2;3;0;1;0;5;2;L6228;1930;1945;1999;x
Silvestri;495031;LBY;1938;1945;1990;1990;2;5;65536;1;0;4;2;L6234;1938;1960;1999;x
Soffritti;495032;LBY;1930;1930;1990;1990;2;3;0;1;0;4;2;L6235;1930;1960;1999;x
Umlan;495033;LBY;1944;1990;1990;1990;3;2;32768;0;0;5;2;M576030;1944;1960;1999;x
Muhammad al-Abid al-Senussi;495034;LBY;1914;1932;1932;1932;1;1;262144;0;0;5;0;unknownleader;1914;1932;1932;x
Safi al-Din al-Senussi;495035;LBY;1914;1932;1932;1932;1;1;0;1;0;5;0;unknownleader;1914;1932;1932;x
Hilal al-Senussi;495036;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Ali al-Khattab al-Senussi;495037;LBY;1914;1932;1932;1932;1;1;262144;1;0;5;0;unknownleader;1914;1932;1932;x
Muhammad al-Rida al-Senussi;495038;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;6037;1914;1932;1932;x
Umar al-Mukhtar;495039;LBY;1914;1932;1932;1932;1;1;0;2;0;5;0;6036;1914;1932;1932;x
Muhammad Sayf al-Nasr;495040;LBY;1914;1932;1932;1932;1;1;262144;0;0;5;0;unknownleader;1914;1932;1932;x
Ahmad al-Muraid;495041;LBY;1914;1932;1932;1932;1;1;0;1;0;5;0;9566;1914;1932;1932;x
Sughayr al-Muraid;495042;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Ramadan al-Shitawi al-Suwayhli;495043;LBY;1914;1914;1932;1932;2;1;262144;1;0;5;0;9565;1914;1932;1932;x
Abd al-Nabi al-Khayr;495044;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Abdallah bin Shaban;495045;LBY;1914;1932;1932;1932;1;1;0;2;0;5;0;unknownleader;1914;1932;1932;x
Ali Tantush;495046;LBY;1914;1932;1932;1932;1;1;262144;0;0;5;0;unknownleader;1914;1932;1932;x
Umar Muntasir;495047;LBY;1914;1932;1932;1932;1;1;0;0;5;0;0;unknownleader;1914;1932;1932;x
Ahmad al-Murayyid;495048;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Abd al-Nabi Bilkhayr;495049;LBY;1914;1932;1932;1932;1;1;262144;1;0;5;0;unknownleader;1914;1932;1932;x
Abd al-Rahman Azzam;495050;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Salim Abd al-Nabi al-Zintani;495051;LBY;1914;1932;1932;1932;1;1;262144;1;0;5;0;9567;1914;1932;1932;x
Muhammad Suf al-Mahmudi;495052;LBY;1914;1914;1932;1932;2;1;0;2;0;5;0;unknownleader;1914;1932;1932;x
Kalifah bin Askar;495053;LBY;1914;1932;1932;1932;1;1;262144;0;0;5;0;unknownleader;1914;1932;1932;x
Belqasem bin Kricha;495054;LBY;1914;1932;1932;1932;1;1;0;1;0;5;0;unknownleader;1914;1932;1932;x
Ahmad Suni ;495055;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Mahdi Suni;495056;LBY;1914;1932;1932;1932;1;1;262144;1;0;5;0;unknownleader;1914;1932;1932;x
Harb al-Naili;495057;LBY;1914;1932;1932;1932;1;1;0;0;0;5;0;unknownleader;1914;1932;1932;x
Cafer al-Askeri;495058;LBY;1914;1914;1914;1990;3;4;262144;2;0;5;0;984;1914;1932;1999;x
Nuri Killigil;495059;LBY;1914;1914;1914;1990;3;4;0;3;0;5;0;3927;1914;1932;1999;x
Ishak Ferneli;495060;LBY;1914;1914;1914;1932;3;4;0;1;0;5;0;unknownleader;1914;1932;1999;x
