Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Badrak;300001;MON;1930;1930;1938;1990;1;4;9;1;0;3;0;L330000;1930;1941;1999;x
Chimid;300002;MON;1930;1930;1930;1938;0;3;0;1;0;5;0;L330001;1930;1941;1999;x
Choibalsan;300003;MON;1930;1930;1938;1941;1;4;16;2;0;5;0;L330002;1930;1960;1999;x
Duudei;300005;MON;1939;1941;1990;1990;2;3;1;1;0;5;0;L330004;1939;1960;1999;x
Feklenko;300006;MON;1941;1990;1990;1990;3;3;4;0;0;5;0;L330005;1941;1960;1999;x
Irgel;300007;MON;1939;1945;1990;1990;3;4;0;1;0;5;0;L330006;1939;1960;1999;x
Ivanyuk;300008;MON;1941;1990;1990;1990;3;3;2;0;0;5;0;L330007;1941;1947;1999;x
Kryuchenkin;300009;MON;1941;1990;1990;1990;3;3;1;0;0;5;0;L330008;1941;1960;1999;x
Kuliev;300010;MON;1930;1942;1990;1990;3;4;64;1;0;5;0;L330009;1930;1960;1999;x
Luvsan;300012;MON;1930;1930;1930;1990;1;3;0;1;0;5;0;L330011;1930;1938;1999;x
Lyibangryyan;300013;MON;1941;1945;1990;1990;3;4;4;1;0;5;0;L330012;1941;1960;1999;x
Mahbarid;300014;MON;1942;1944;1990;1990;2;3;0;1;0;5;0;L330013;1942;1960;1999;x
Mindro;300015;MON;1940;1990;1990;1990;3;4;128;0;0;5;0;L330014;1940;1960;1999;x
Missan;300016;MON;1941;1990;1990;1990;3;3;32;0;0;5;0;L330015;1941;1960;1999;x
Nikolenko;300017;MON;1941;1990;1990;1990;3;4;8;0;0;5;0;L330016;1941;1944;1999;x
Tsendenbal;300018;MON;1938;1941;1946;1990;2;4;0;2;0;5;0;L330017;1938;1960;1999;x
Luvsan;300019;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330018;1930;1938;1999;x
Pyrselov;300020;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330019;1938;1960;1999;x
Luvsan;300021;MON;1942;1990;1990;1990;3;3;0;0;0;5;2;L330020;1942;1960;1999;x
Smushkevich;300022;MON;1930;1930;1990;1990;2;6;16384;2;0;5;2;L330021;1930;1938;1999;x
Stepanov;300023;MON;1941;1990;1990;1990;3;3;0;0;0;5;2;L330022;1941;1960;1999;x
Ulanhu;300024;MON;1941;1944;1947;1990;2;3;0;2;0;5;2;L330023;1941;1960;1999;x
Zhalnin;300025;MON;1930;1930;1990;1990;2;4;4096;1;0;5;2;L330024;1938;1960;1999;x
Damdin Suhbaatar;300026;MON;1908;1990;1990;1990;2;5;0;3;0;3;0;6315;1908;1932;1999;x
Peljidiyn Genden;300027;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6316;1908;1932;1999;x
Anandyn Amar;300028;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6317;1908;1932;1999;x
Balingiyn Tserendorj Beyse;300029;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6318;1908;1932;1999;x
