Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Behrendt;390001;MTN;1930;1930;1942;1990;1;2;2;1;0;5;0;M544028;1930;1960;1999;x
Beutler;390002;MTN;1942;1990;1990;1990;3;3;32;0;0;5;0;L544001;1943;1960;1999;x
Blümke;390003;MTN;1941;1990;1990;1990;3;4;256;0;0;5;0;L544002;1941;1960;1999;x
Cheric;390004;MTN;1930;1940;1990;1990;2;3;16;0;0;5;0;M544030;1930;1960;1999;x
Danilo I;390005;MTN;1930;1930;1930;1930;0;1;0;0;0;5;0;L544004;1930;1960;1999;x
Bahovic;390006;MTN;1940;1945;1990;1990;2;4;4;1;0;5;0;L544005;1940;1960;1999;x
de Batchberg;390007;MTN;1930;1930;1990;1990;2;3;516;1;0;5;0;L544006;1930;1939;1999;x
Deutsch;390008;MTN;1942;1990;1990;1990;3;5;256;1;0;5;0;L544007;1942;1960;1999;x
Djilas;390009;MTN;1942;1990;1990;1990;3;2;2;0;0;5;0;L544008;1942;1960;1999;x
Djukanovic;390010;MTN;1940;1990;1990;1990;3;3;1;0;0;5;0;L544009;1940;1960;1999;x
Djurisic;390011;MTN;1930;1930;1941;1990;2;3;2;1;0;5;0;M544014;1930;1960;1999;x
Feller;390012;MTN;1943;1990;1990;1990;3;3;128;0;0;5;0;L544011;1943;1960;1999;x
Filipovic;390013;MTN;1942;1946;1990;1990;2;3;1;1;0;5;0;M544025;1942;1960;1999;x
Finger;390014;MTN;1942;1990;1990;1990;3;3;64;0;0;5;0;L544013;1942;1960;1999;x
Gallwitz;390015;MTN;1940;1990;1990;1990;3;4;0;0;0;5;0;L544014;1940;1946;1999;x
Gojna;390016;MTN;1930;1990;1990;1990;3;3;513;1;0;5;0;M544007;1930;1944;1999;x
Gothsche;390017;MTN;1941;1990;1990;1990;3;3;0;0;0;5;0;L544016;1941;1960;1999;x
Grolig;390018;MTN;1942;1990;1990;1990;3;4;128;0;0;5;0;L544017;1942;1960;1999;x
Günther;390019;MTN;1940;1990;1990;1990;3;3;0;0;0;5;0;L544018;1940;1960;1999;x
Gvozdenovic;390020;MTN;1930;1930;1930;1990;1;4;640;1;0;5;0;M544008;1930;1942;1999;x
Haus;390021;MTN;1942;1990;1990;1990;3;4;32;0;0;5;0;L544020;1942;1960;1999;x
Henke;390022;MTN;1942;1990;1990;1990;3;4;1;0;0;5;0;L544021;1942;1960;1999;x
Herfurth;390023;MTN;1940;1990;1990;1990;3;3;4;0;0;5;0;L544022;1940;1960;1999;x
Höcherl;390024;MTN;1941;1990;1990;1990;3;3;2;0;0;5;0;L544023;1942;1947;1999;x
Jankovic;390025;MTN;1930;1930;1930;1990;1;4;513;1;0;5;0;M544029;1930;1941;1999;x
Martinovic;390026;MTN;1930;1930;1990;1990;2;3;514;1;0;5;0;M544009;1930;1941;1999;x
Milosevic;390027;MTN;1940;1990;1990;1990;3;3;256;0;0;5;0;L544026;1940;1960;1999;x
Petrovic;390028;MTN;1930;1990;1990;1990;3;2;0;0;0;5;0;M544033;1930;1960;1999;x
Spruner von Mertz;390029;MTN;1939;1990;1990;1990;3;4;2;0;0;5;0;L544028;1940;1960;1999;x
Tirkuvic;390030;MTN;1938;1942;1990;1990;2;3;64;1;0;5;0;M544024;1938;1960;1999;x
Uljarevic;390031;MTN;1930;1930;1990;1990;2;2;1;1;0;5;0;M544026;1930;1960;1999;x
Vazhivec;390032;MTN;1930;1930;1940;1990;1;4;16;1;0;5;0;L544031;1930;1960;1999;x
von Albori;390033;MTN;1930;1930;1990;1990;2;3;0;1;0;5;0;M544004;1930;1941;1999;x
von Bauer;390034;MTN;1941;1990;1990;1990;3;3;4;0;0;5;0;L544033;1941;1960;1999;x
von Doser;390035;MTN;1938;1990;1990;1990;3;3;1;0;0;5;0;L544034;1938;1944;1999;x
Wolff;390036;MTN;1941;1990;1990;1990;3;2;0;0;0;5;0;M544021;1941;1960;1999;x
Popovic;390037;MTN;1930;1930;1990;1990;2;2;4096;1;0;5;1;M544031;1930;1960;1999;x
Schönermark;390038;MTN;1943;1990;1990;1990;3;4;1024;0;0;5;1;L544037;1943;1960;1999;x
Makavejev;390039;MTN;1941;1990;1990;1990;3;2;0;0;0;5;1;L544038;1941;1960;1999;x
Martinovic;390040;MTN;1930;1930;1930;1990;1;4;8704;1;0;5;1;M544009;1930;1941;1999;x
Negros;390041;MTN;1940;1990;1990;1990;3;2;1024;0;0;5;1;M544032;1940;1960;1999;x
Uljarevic;390042;MTN;1930;1930;1990;1990;2;2;0;1;0;5;1;M544026;1930;1960;1999;x
Danilo I;390043;MTN;1930;1930;1990;1990;2;1;0;0;0;5;2;L544042;1930;1960;1999;x
Koch;390044;MTN;1939;1941;1990;1990;2;4;16384;1;0;5;2;L544043;1939;1960;1999;x
Kostic;390045;MTN;1940;1990;1990;1990;3;2;0;0;0;5;2;L544044;1940;1960;1999;x
Petrovic;390046;MTN;1930;1990;1990;1990;3;2;4096;0;0;5;2;M544033;1930;1960;1999;x
Todorovic;390047;MTN;1930;1990;1990;1990;3;2;131072;0;0;5;2;M544010;1930;1960;1999;x
Vukotic;390048;MTN;1908;1912;1913;1932;1;7;14;3;0;5;0;938;1908;1932;1999;x
Martinovic M.;390049;MTN;1910;1913;1915;1932;2;7;4;3;0;5;0;939;1910;1932;1999;x
King Nikola I;390050;MTN;1897;1897;1897;1897;0;5;512;1;0;5;0;940;1897;1923;1999;x
Gojnic;390051;MTN;1912;1932;1932;1932;3;5;0;1;0;5;0;941;1912;1932;1999;x
Vesovic;390052;MTN;1912;1932;1932;1932;3;6;16;2;0;5;0;7949;1912;1932;1999;x
Nikolic;390053;MTN;1908;1932;1932;1932;3;5;0;1;0;5;0;942;1908;1932;1999;x
Vucinic;390054;MTN;1908;1932;1932;1932;3;5;0;1;0;5;0;943;1908;1932;1999;x
Crown Prince Danilo;390055;MTN;1908;1908;1912;1932;1;4;512;1;0;5;0;944;1908;1932;1999;x
