Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amharche;505001;MOR;1945;1990;1990;1990;3;2;1;0;0;5;0;L531000;1945;1960;1999;x
Amyot d'Inville;505002;MOR;1939;1990;1990;1990;3;4;256;0;0;5;0;L531001;1939;1944;1999;x
Bougrine;505003;MOR;1945;1990;1990;1990;3;2;1;0;0;5;0;L531002;1945;1960;1999;x
Boulhimez;505004;MOR;1946;1990;1990;1990;3;2;0;0;0;5;0;L531003;1946;1960;1999;x
Chodron de Courcel;505005;MOR;1942;1990;1990;1990;3;5;132;0;0;5;0;L531004;1942;1960;1999;x
de Hauteclocque;505006;MOR;1941;1990;1990;1990;3;4;4;0;0;5;0;L531005;1941;1960;1999;x
de la Bollardiere;505007;MOR;1942;1946;1990;1990;2;4;4;1;0;5;0;M531029;1942;1960;1999;x
Devigny;505008;MOR;1941;1946;1990;1990;2;3;2;1;0;5;0;L531007;1941;1960;1999;x
Dlimi;505009;MOR;1942;1990;1990;1990;3;2;16;0;0;5;0;M531028;1942;1960;1999;x
Dodelier;505010;MOR;1930;1990;1990;1990;3;4;1;0;0;5;0;L531009;1930;1941;1999;x
Gharbaoui;505011;MOR;1945;1990;1990;1990;3;2;0;0;0;5;0;M531030;1945;1960;1999;x
Guillaume;505012;MOR;1930;1930;1990;1990;2;3;5;1;0;5;0;M531008;1930;1945;1999;x
Hadjira;505013;MOR;1930;1990;1990;1990;3;2;17;0;0;5;0;M531031;1930;1945;1999;x
Jeanperrin;505014;MOR;1940;1945;1990;1990;2;3;1;1;0;5;0;M531033;1940;1960;1999;x
la Guillin;505015;MOR;1930;1990;1990;1990;3;3;32;0;0;5;0;M531007;1930;1946;1999;x
le Goasguen;505016;MOR;1939;1944;1990;1990;3;5;132;2;0;5;0;L531015;1939;1960;1999;x
Litas;505017;MOR;1938;1990;1990;1990;3;3;64;0;0;5;0;L531016;1938;1960;1999;x
Madbouh;505018;MOR;1945;1990;1990;1990;3;2;2;0;0;5;0;L531017;1945;1960;1999;x
Nariman;505019;MOR;1930;1990;1990;1990;3;2;1;0;0;5;0;L531018;1930;1942;1999;x
Nmichi;505020;MOR;1943;1946;1990;1990;2;3;2;1;0;5;0;M531034;1943;1960;1999;x
Oufkir;505021;MOR;1945;1990;1990;1990;3;2;0;0;0;5;0;M531024;1945;1960;1999;x
Pillafort;505022;MOR;1930;1990;1990;1990;3;3;1;0;0;5;0;L531021;1930;1942;1999;x
Rami;505023;MOR;1945;1990;1990;1990;3;2;128;0;0;5;0;L531022;1945;1960;1999;x
Remy;505024;MOR;1941;1990;1990;1990;3;3;128;1;0;5;0;L531023;1941;1960;1999;x
Thevenet;505025;MOR;1937;1943;1990;1990;2;4;4;1;0;5;0;L531024;1937;1960;1999;x
Abdelmounem;505026;MOR;1945;1990;1990;1990;3;2;0;0;0;5;1;M531037;1945;1960;1999;x
Cabanier;505027;MOR;1930;1942;1946;1990;2;5;8192;2;0;5;1;M531009;1930;1960;1999;x
Feryel;505028;MOR;1944;1990;1990;1990;3;2;2048;1;0;5;1;L531027;1944;1960;1999;x
Pillafort;505029;MOR;1930;1990;1990;1990;3;3;0;0;0;5;1;L531021;1930;1944;1999;x
Chareyre;505030;MOR;1930;1990;1990;1990;3;3;0;0;0;5;2;L531029;1930;1960;1999;x
Corniglion-Molinier;505031;MOR;1930;1942;1990;1990;2;3;16384;1;0;5;2;M531010;1930;1960;1999;x
Hennebert;505032;MOR;1940;1990;1990;1990;3;3;65536;0;0;5;2;L531031;1940;1960;1999;x
Joumana;505033;MOR;1945;1990;1990;1990;3;2;0;0;0;5;2;M531041;1945;1960;1999;x
Martell;505034;MOR;1940;1990;1990;1990;3;3;4096;0;0;5;2;M531040;1940;1960;1999;x
