Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alonso;35001;SPA;1933;1990;1990;1990;3;4;1;0;0;5;0;L3400;1933;1938;1999;x
Alonso Vega;35002;SPA;1933;1940;1945;1990;3;7;16;3;0;5;0;L3401;1933;1960;1999;x
Álvarez Arenas;35003;SPA;1933;1937;1990;1990;2;4;0;1;0;5;0;L3402;1933;1945;1999;x
Aranda Mata;35004;SPA;1933;1933;1990;1990;2;6;32;1;0;3;0;L3403;1933;1941;1999;x
Arrese Magra;35005;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;1999;x
Asensio Cabanillas;35006;SPA;1933;1937;1942;1990;2;6;0;2;0;5;0;L3405;1933;1960;1999;x
Aznar Gerner;35007;SPA;1933;1990;1990;1990;3;4;0;0;0;4;0;L3406;1933;1940;1999;x
Bautista Sanchéz;35008;SPA;1933;1990;1990;1990;3;7;64;0;0;5;0;L3407;1933;1960;1999;x
Barrera;35009;SPA;1933;1933;1990;1990;2;4;0;0;0;5;0;L3408;1933;1938;1999;x
Barrón Ortiz;35010;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1943;1999;x
Barroso Sánchez-Guerra;35011;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1946;1999;x
Beigbéder Atienza;35012;SPA;1933;1939;1942;1990;3;6;1;3;0;5;0;L3411;1933;1960;1999;x
Benjumea;35013;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;1999;x
Bergonzoli;35014;SPA;1933;1933;1990;1990;2;5;4;1;0;3;0;L3413;1933;1960;1999;x
Cabanellas;35015;SPA;1921;1924;1931;1990;1;6;514;1;0;4;0;L3414;1921;1938;1999;x
Castejón Espinosa;35016;SPA;1933;1990;1990;1990;3;5;0;0;0;5;0;L3415;1933;1960;1999;x
Cavalcanti;35017;SPA;1933;1933;1933;1990;1;4;513;1;0;5;0;L3416;1933;1960;1999;x
Cuesta Monereo;35018;SPA;1933;1990;1990;1990;3;4;0;0;0;4;0;L3417;1933;1937;1999;x
Dávila Arrondo;35019;SPA;1933;1937;1942;1990;2;5;0;2;0;5;0;L3418;1933;1960;1999;x
de Rada;35020;SPA;1937;1990;1990;1990;3;5;16;0;0;5;0;L3419;1937;1940;1999;x
de Borbon y de la Torre;35021;SPA;1933;1990;1990;1990;3;4;0;0;0;4;0;L3420;1933;1939;1999;x
d'Harcourt;35022;SPA;1933;1990;1990;1990;3;4;2;0;0;4;0;L3421;1933;1939;1999;x
El Mizzian;35023;SPA;1933;1990;1990;1990;3;5;4;1;0;4;0;L3422;1933;1939;1999;x
Fanjul Goni;35024;SPA;1933;1990;1990;1990;3;5;32;0;0;5;0;L3423;1933;1937;1999;x
Fernández Burriel;35025;SPA;1933;1990;1990;1990;3;5;0;0;0;5;0;L3424;1933;1937;1999;x
Fernández Cuesta;35026;SPA;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1937;1960;1999;x
Franco Bahamonde;35027;SPA;1933;1933;1933;1937;0;7;2;3;0;5;0;L3426;1933;1960;1999;x
Gambara;35028;SPA;1933;1933;1990;1990;2;6;1;1;0;3;0;L3427;1933;1960;1999;x
García Escámez;35029;SPA;1933;1939;1990;1990;3;5;4;1;0;5;0;L3428;1933;1946;1999;x
García Gómez Caminero;35030;SPA;1937;1990;1990;1990;1;7;513;1;0;5;0;L3429;1937;1939;1999;x
García Valiño;35031;SPA;1933;1938;1941;1947;2;8;16;3;0;5;0;L3430;1933;1960;1999;x
Garciano Goñi;35032;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3431;1937;1939;1999;x
Gil Yuste;35033;SPA;1933;1933;1990;1990;2;4;0;0;0;5;0;L3432;1933;1942;1999;x
Goded Llopis;35034;SPA;1933;1933;1990;1990;2;5;0;1;0;5;0;L3433;1933;1937;1999;x
Gómez Aspar;35035;SPA;1933;1990;1990;1990;3;5;1;0;0;5;0;L3434;1933;1938;1999;x
Gómez-Jordana y Sousa;35036;SPA;1933;1939;1990;1990;3;5;0;1;0;5;0;L3435;1933;1944;1999;x
Hedilla Larrey;35037;SPA;1933;1990;1990;1990;3;3;0;0;0;5;0;L3436;1933;1960;1999;x
Infantes;35038;SPA;1933;1939;1990;1990;3;4;32;1;0;5;0;L3437;1933;1960;1999;x
Lahuerta;35039;SPA;1933;1990;1990;1990;3;4;0;0;0;5;0;L3438;1933;1960;1999;x
López-Pinto Berizo;35040;SPA;1933;1933;1940;1990;2;7;64;2;0;5;0;L3439;1933;1942;1999;x
Martín Moreno;35041;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3440;1937;1960;1999;x
