Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adolph;720001;OTT;1938;1990;1990;1990;3;4;516;1;0;5;0;L549000;1938;1944;1999;x
al-Husseini;720002;OTT;1941;1990;1990;1990;3;3;256;0;0;5;0;L549001;1941;1960;1999;x
Arnold;720003;OTT;1938;1990;1990;1990;3;3;0;0;0;5;0;L549002;1938;1945;1999;x
Aschenbrandt;720004;OTT;1939;1990;1990;1990;3;4;2;0;0;5;0;L549003;1939;1960;1999;x
Avni;720005;OTT;1930;1930;1930;1990;1;4;514;1;0;5;0;M549014;1930;1943;1999;x
Barends;720006;OTT;1941;1990;1990;1990;3;4;0;0;0;5;0;L549005;1941;1960;1999;x
Bartcky;720007;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549006;1940;1944;1999;x
Barton;720008;OTT;1941;1990;1990;1990;3;3;4;0;0;5;0;L549007;1941;1960;1999;x
Bilharz;720009;OTT;1939;1990;1990;1990;3;3;256;0;0;5;0;L549008;1939;1960;1999;x
Binark;720010;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549009;1938;1960;1999;x
Bonatz;720011;OTT;1941;1990;1990;1990;3;4;128;0;0;5;0;L549010;1941;1960;1999;x
Borowski;720012;OTT;1941;1990;1990;1990;3;3;1;0;0;5;0;L549011;1941;1960;1999;x
Brauer;720013;OTT;1938;1990;1990;1990;3;6;576;1;0;5;0;L549012;1938;1944;1999;x
Braumüller;720014;OTT;1941;1990;1990;1990;3;4;16;0;0;5;0;L549013;1941;1960;1999;x
Brugsch;720015;OTT;1930;1990;1990;1990;3;3;32;0;0;5;0;L549014;1930;1960;1999;x
Buch;720016;OTT;1940;1940;1990;1990;2;2;0;0;0;5;0;L549015;1940;1960;1999;x
Burchard;720017;OTT;1939;1942;1944;1990;1;5;64;3;0;5;0;L549016;1939;1946;1999;x
Cetinok;720018;OTT;1939;1990;1990;1990;3;4;24;0;0;5;0;L549017;1939;1960;1999;x
Conradi;720019;OTT;1939;1990;1990;1990;3;4;4;0;0;5;0;L549018;1939;1960;1999;x
Eckhardt;720020;OTT;1940;1990;1990;1990;3;3;2;0;0;5;0;L549019;1940;1960;1999;x
Edhem;720021;OTT;1930;1940;1990;1990;3;3;0;1;0;5;0;L549020;1930;1960;1999;x
Ehrenberg;720022;OTT;1940;1990;1990;1990;3;4;16;0;0;5;0;L549021;1940;1945;1999;x
Enver;720023;OTT;1930;1930;1930;1990;1;4;0;2;0;5;0;L549022;1930;1943;1999;x
Fehn;720024;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549023;1940;1960;1999;x
Fuad;720025;OTT;1938;1940;1944;1990;2;4;1;2;0;5;0;M549013;1938;1960;1999;x
Gazi;720026;OTT;1930;1930;1930;1930;0;3;513;1;0;5;0;L549025;1930;1942;1999;x
Glodkowski;720027;OTT;1940;1990;1990;1990;3;4;256;0;0;5;0;L549026;1940;1960;1999;x
Hajo;720028;OTT;1938;1990;1990;1990;3;4;264;0;0;5;0;L549027;1938;1960;1999;x
Halam;720029;OTT;1930;1930;1941;1990;1;4;1;1;0;5;0;L549028;1930;1960;1999;x
Halim;720030;OTT;1938;1942;1990;1990;2;2;2;1;0;5;0;L549029;1938;1960;1999;x
Haupt;720031;OTT;1940;1990;1990;1990;3;2;0;0;0;5;0;L549030;1940;1946;1999;x
Heinrici;720032;OTT;1939;1941;1990;1990;2;3;0;1;0;5;0;L549031;1939;1945;1999;x
Inönu;720033;OTT;1938;1942;1990;1990;2;5;2;1;0;5;0;M549037;1938;1960;1999;x
Ismail;720034;OTT;1930;1938;1943;1990;1;4;0;2;0;5;0;L549033;1930;1960;1999;x
Junck;720035;OTT;1938;1990;1990;1990;3;4;520;1;0;5;0;L549034;1938;1943;1999;x
Kemal;720036;OTT;1930;1939;1943;1990;1;5;6;2;0;5;0;L549035;1930;1960;1999;x
Kiamil;720037;OTT;1930;1930;1940;1990;2;3;513;1;0;5;0;M549039;1930;1960;1999;x
Lattas;720038;OTT;1937;1942;1990;1990;2;3;1;1;0;5;0;M549017;1937;1960;1999;x
Moncef;720039;OTT;1930;1940;1990;1990;2;3;1;1;0;5;0;M549006;1930;1960;1999;x
Nazim;720040;OTT;1939;1990;1990;1990;3;3;2;0;0;5;0;L549039;1939;1960;1999;x
Nazim;720041;OTT;1930;1930;1990;1990;2;2;0;0;0;5;0;M549005;1930;1942;1999;x
Nikhad;720042;OTT;1930;1940;1990;1990;2;2;256;1;0;5;0;M549012;1930;1960;1999;x
Nordt;720043;OTT;1941;1990;1990;1990;3;3;64;0;0;5;0;L549042;1941;1960;1999;x
Nuri Killigil;720044;OTT;1937;1990;1990;1990;3;2;0;0;0;5;0;L549043;1937;1960;1999;x
Osman;720045;OTT;1937;1939;1990;1990;2;3;0;1;0;5;0;M549038;1937;1960;1999;x
Osmanoglu;720046;OTT;1939;1990;1990;1990;3;3;0;0;0;5;0;L549045;1939;1960;1999;x
Osman;720047;OTT;1930;1930;1930;1990;1;3;513;1;0;5;0;L549046;1930;1941;1999;x
Oyan;720048;OTT;1937;1940;1990;1990;2;3;2;1;0;5;0;L549047;1937;1960;1999;x
Selaniki;720049;OTT;1938;1990;1990;1990;3;2;1;0;0;5;0;L549048;1938;1960;1999;x
Serif;720050;OTT;1930;1930;1990;1990;2;2;0;0;0;5;0;M549049;1930;1943;1999;x
Temiz;720051;OTT;1930;1930;1990;1990;3;4;1;0;0;5;0;L549050;1930;1960;1999;x
Tülin;720052;OTT;1937;1941;1990;1990;3;4;128;0;0;5;0;M549043;1937;1960;1999;x
Uche;720053;OTT;1938;1990;1990;1990;3;3;256;0;0;5;0;M549048;1938;1960;1999;x
Vedat;720054;OTT;1930;1930;1990;1990;2;4;64;0;0;5;0;M549007;1930;1960;1999;x
von Alten;720055;OTT;1940;1990;1990;1990;3;4;8;0;0;5;0;L549054;1940;1947;1999;x
von Arnim;720056;OTT;1939;1990;1990;1990;3;3;4;0;0;5;0;L549055;1939;1943;1999;x
von Bessel;720057;OTT;1940;1990;1990;1990;3;4;32;0;0;5;0;L549056;1940;1946;1999;x
von Detten;720058;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549057;1938;1943;1999;x
von Falkenstein;720059;OTT;1940;1990;1990;1990;3;3;1;0;0;5;0;L549058;1940;1946;1999;x
von Füchtbauer;720060;OTT;1938;1990;1990;1990;3;2;2;0;0;5;0;L549059;1938;1943;1999;x
von Göckel;720061;OTT;1940;1990;1990;1990;3;3;32;0;0;5;0;L549060;1940;1960;1999;x
von Heimburg;720062;OTT;1941;1941;1990;1990;2;3;2;1;0;5;0;L549061;1941;1960;1999;x
