Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aponte;200001;PAR;1943;1945;1946;1990;1;4;2;2;0;4;0;L240000;1943;1960;1999;x
Ayala Queirolo;200002;PAR;1930;1990;1990;1990;3;3;256;0;0;5;0;L240001;1930;1941;1999;x
Baez Allende;200003;PAR;1939;1941;1990;1990;2;4;2;1;0;5;0;L240002;1939;1960;1999;x
Belaieff;200004;PAR;1930;1930;1990;1990;2;5;2;1;0;5;0;L240003;1930;1939;1999;x
Caballero Ayala;200005;PAR;1941;1946;1990;1990;3;3;64;1;0;5;0;L240004;1941;1960;1999;x
Cabrera Leia;200006;PAR;1942;1990;1990;1990;3;4;0;0;0;5;0;L240005;1942;1947;1999;x
Delgado;200007;PAR;1930;1930;1990;1990;2;4;32;0;0;5;0;L240006;1930;1940;1999;x
Ern;200008;PAR;1930;1930;1990;1990;2;5;513;1;0;5;0;L240007;1930;1938;1999;x
Estigarribia;200009;PAR;1930;1930;1930;1937;0;9;20;5;0;5;0;L240008;1930;1941;1999;x
Franco;200010;PAR;1930;1930;1990;1990;2;2;3;0;0;5;0;L240009;1930;1938;1999;x
Frutos Escuerra;200011;PAR;1940;1944;1990;1990;3;4;4;1;0;5;0;L240010;1940;1960;1999;x
Garay;200012;PAR;1930;1938;1990;1990;2;5;2;1;0;5;0;L240011;1930;1945;1999;x
Gonzalez Paredes;200013;PAR;1940;1943;1990;1990;2;3;0;1;0;4;0;L240012;1940;1960;1999;x
Irrazábal;200014;PAR;1944;1990;1990;1990;3;4;16;0;0;5;0;L240013;1944;1960;1999;x
Lezcano;200015;PAR;1938;1942;1990;1990;2;4;128;1;0;4;0;L240014;1938;1960;1999;x
Machuca;200016;PAR;1943;1946;1990;1990;3;5;0;1;0;5;0;L240015;1943;1960;1999;x
Mena Rojas;200017;PAR;1945;1947;1990;1990;3;4;1;1;0;5;0;L240016;1945;1960;1999;x
Molas Lopez;200018;PAR;1930;1930;1940;1990;1;4;0;0;0;4;0;L240017;1930;1945;1999;x
Morinigo Martinez;200019;PAR;1930;1930;1940;1990;2;4;4;1;0;4;0;L240018;1930;1946;1999;x
Paiva;200020;PAR;1930;1990;1990;1990;3;4;1;0;0;5;0;L240019;1930;1940;1999;x
Pampliega;200021;PAR;1943;1947;1990;1990;3;4;5;1;0;4;0;L240020;1943;1960;1999;x
Rojas Rolon;200022;PAR;1946;1990;1990;1990;3;3;1;0;0;5;0;L240021;1946;1960;1999;x
Rolon Vilasanti;200023;PAR;1940;1946;1990;1990;3;3;0;1;0;3;0;L240022;1940;1960;1999;x
Sosa Valdez;200024;PAR;1939;1943;1990;1990;2;4;128;1;0;5;0;L240023;1939;1960;1999;x
Stroessner Matiauda;200025;PAR;1945;1990;1990;1990;3;4;1;2;0;3;0;L240024;1945;1960;1999;x
Aponte;200026;PAR;1943;1945;1946;1990;1;3;0;2;0;5;1;L240000;1943;1960;1999;x
Chamorro Barcovich;200027;PAR;1940;1945;1990;1990;2;3;0;1;0;5;1;L240026;1940;1960;1999;x
Marin Ybarrola;200028;PAR;1930;1990;1990;1990;3;3;0;0;0;5;1;L240027;1930;1944;1999;x
Acosta Araujo;200029;PAR;1945;1990;1990;1990;3;3;0;0;0;5;2;L240028;1945;1960;1999;x
Almonacid;200030;PAR;1930;1930;1990;1990;2;5;8192;1;0;5;2;L240029;1930;1941;1999;x
Balbuena Dure;200031;PAR;1943;1990;1990;1990;3;3;0;0;0;5;2;L240030;1943;1960;1999;x
Boston;200032;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240031;1930;1939;1999;x
Nuñes Agüero;200033;PAR;1946;1990;1990;1990;3;3;0;0;0;5;2;L240032;1946;1990;1999;x
Palacios Franco;200034;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240033;1930;1943;1999;x
Porfenenko;200035;PAR;1930;1990;1990;1990;3;5;4096;1;0;4;2;L240034;1930;1939;1999;x
Rojas Baltassare;200036;PAR;1939;1942;1990;1990;2;4;0;1;0;4;2;L240035;1939;1960;1999;x
Franco, M.;200037;PAR;1908;1932;1932;1932;3;3;0;2;0;5;0;1006;1908;1932;1999;x
Gondra;200038;PAR;1908;1908;1932;1932;2;3;0;2;0;5;0;1007;1908;1932;1999;x
Estigarrabia;200039;PAR;1908;1932;1932;1932;3;3;0;2;0;5;0;1008;1908;1932;1999;x
Benitez;200040;PAR;1908;1911;1932;1932;3;3;0;2;0;5;0;1009;1908;1932;1999;x
Jara;200041;PAR;1908;1911;1932;1932;3;3;0;2;0;5;0;1010;1908;1932;1999;x
Goiburu;200042;PAR;1908;1911;1932;1932;3;3;0;2;0;5;0;1011;1908;1932;1999;x
