Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Benavides Larrea;185001;PRU;1930;1930;1930;1930;0;4;2;1;0;3;0;L260000;1930;1939;1999;x
Caro Constantini;185002;PRU;1944;1990;1990;1990;3;4;32;0;0;5;0;L260001;1944;1960;1999;x
Chiabra León;185003;PRU;1945;1990;1990;1990;3;4;256;0;0;3;0;L260002;1945;1960;1999;x
Davíla Zumaeta;185004;PRU;1939;1943;1990;1990;3;5;0;1;0;3;0;L260003;1939;1945;1999;x
de la Fuente;185005;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260004;1930;1941;1999;x
Gilardi;185006;PRU;1930;1990;1990;1990;3;4;0;0;0;5;0;L260005;1930;1940;1999;x
Gonzalez y Leon;185007;PRU;1930;1990;1990;1990;3;5;2;0;0;5;0;L260006;1930;1941;1999;x
Guabloche Rodrígues;185008;PRU;1942;1945;1990;1990;2;5;1;1;0;5;0;L260007;1942;1960;1999;x
Heredia Montagne;185009;PRU;1930;1990;1990;1990;3;5;514;1;0;5;0;L260008;1930;1939;1999;x
Huerta Pacheco;185010;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260009;1930;1938;1999;x
Iglesias;185011;PRU;1942;1990;1990;1990;3;5;128;0;0;4;0;L260010;1942;1960;1999;x
Jimenez Torribané;185012;PRU;1940;1942;1990;1990;2;5;2;1;0;3;0;L260011;1940;1946;1999;x
Lopéz Trigoso;185013;PRU;1943;1990;1990;1990;3;6;256;0;0;3;0;L260012;1943;1960;1999;x
Montagne Sanchez;185014;PRU;1937;1941;1990;1990;2;5;0;1;0;4;0;L260013;1937;1944;1999;x
Montero Rojas;185015;PRU;1938;1990;1990;1990;3;5;128;0;0;5;0;L260014;1938;1946;1999;x
Muñoz Díaz;185016;PRU;1945;1990;1990;1990;3;4;128;0;0;4;0;L260015;1945;1960;1999;x
Noriega Agüero;185017;PRU;1939;1941;1944;1990;2;5;0;2;0;3;0;L260016;1939;1960;1999;x
Odria Amoretti;185018;PRU;1940;1941;1943;1946;1;6;1;3;0;4;0;L260017;1940;1960;1999;x
Palacios y Montecinos;185019;PRU;1930;1930;1990;1990;2;4;4;0;0;4;0;L260018;1930;1940;1999;x
Peréz Documetis;185020;PRU;1944;1946;1990;1990;2;5;256;1;0;4;0;L260019;1944;1960;1999;x
Perez Godoy;185021;PRU;1943;1946;1950;1990;1;5;256;2;0;3;0;L260020;1943;1960;1999;x
Quesada Larrea;185022;PRU;1940;1990;1990;1990;3;4;2;0;0;5;0;L260021;1940;1946;1999;x
Ramirez Ortiz;185023;PRU;1944;1990;1990;1990;3;4;0;0;0;3;0;L260022;1944;1960;1999;x
Ramón Castillo;185024;PRU;1930;1930;1930;1990;1;6;513;1;0;4;0;L260023;1930;1938;1999;x
Rodriguez Zabalbeascoa;185025;PRU;1946;1990;1990;1990;3;4;1;0;0;2;0;L260024;1946;1960;1999;x
Reyes Tavera;185026;PRU;1945;1990;1990;1990;3;4;4;0;0;4;0;L260025;1945;1960;1999;x
Saenz Diaz;185027;PRU;1939;1942;1990;1990;2;5;4;1;0;5;0;L260026;1939;1944;1999;x
Sánchez Cerro;185028;PRU;1930;1930;1990;1990;2;4;2;1;0;2;0;L260027;1930;1937;1999;x
Tamayo de la Flor;185029;PRU;1942;1990;1990;1990;3;4;1;0;0;5;0;L260028;1942;1947;1999;x
Torres Gonzalez;185030;PRU;1945;1947;1990;1990;2;5;0;1;0;5;0;L260029;1945;1960;1999;x
Ureta Montehermoso;185031;PRU;1930;1930;1937;1990;1;6;4;1;0;4;0;L260030;1930;1938;1999;x
Velasco Astete;185032;PRU;1941;1942;1990;1990;2;6;128;1;0;5;0;L260031;1941;1945;1999;x
Vinatea Ruiz;185033;PRU;1939;1990;1990;1990;3;5;32;0;0;4;0;L260032;1939;1946;1999;x
Zubazoigoichea;185034;PRU;1930;1990;1990;1990;3;4;64;0;0;5;0;L260033;1930;1940;1999;x
Carbayal Martinez;185035;PRU;1944;1946;1990;1990;2;4;1024;1;0;5;1;L260034;1944;1960;1999;x
Jimenéz Pacheco;185036;PRU;1938;1990;1990;1990;3;4;0;0;0;5;1;L260035;1938;1944;1999;x
Lindley Lopez;185037;PRU;1946;1950;1990;1990;2;4;0;1;0;4;1;L260036;1946;1960;1999;x
Mendoza Urribe;185038;PRU;1941;1990;1990;1990;3;4;1024;0;0;5;1;L260037;1941;1960;1999;x
Navarreté la Prúel;185039;PRU;1940;1944;1990;1990;2;5;8192;1;0;5;1;L260038;1940;1947;1999;x
Nieto;185040;PRU;1930;1990;1990;1990;3;4;0;0;0;5;1;L260039;1930;1940;1999;x
Patiño Cruzatti;185041;PRU;1938;1943;1990;1990;3;5;8192;1;0;4;1;L260040;1938;1946;1999;x
Poncé Diaz;185042;PRU;1943;1990;1990;1990;3;4;0;0;0;3;1;L260041;1943;1960;1999;x
Roque Saldias;185043;PRU;1930;1930;1941;1990;1;5;0;2;0;3;1;L260042;1930;1945;1999;x
Scroth;185044;PRU;1945;1990;1990;1990;3;5;0;0;0;4;1;L260043;1945;1960;1999;x
Abelardo Quiñonés;185045;PRU;1938;1990;1990;1990;3;5;0;0;0;5;2;L260044;1938;1943;1999;x
Benites Luna;185046;PRU;1945;1990;1990;1990;3;4;0;0;0;5;2;L260045;1945;1960;1999;x
Campodonico;185047;PRU;1939;1941;1990;1990;2;5;0;1;0;5;2;L260046;1939;1946;1999;x
de Beaudiez;185048;PRU;1930;1930;1990;1990;2;6;0;1;0;5;2;L260047;1930;1939;1999;x
