Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abraham;60001;POL;1930;1938;1999;1999;2;4;16;1;0;5;0;L8000;1930;1960;1999;x
Alter;60002;POL;1930;1939;1999;1999;3;6;2;1;0;5;0;L8001;1930;1945;1999;x
Anders;60003;POL;1937;1941;1943;1999;2;8;84;3;0;5;0;L8002;1937;1960;1999;x
Berbecki;60004;POL;1930;1999;1999;1999;3;4;32;0;0;5;0;L8003;1930;1938;1999;x
Berling;60005;POL;1940;1942;1945;1999;2;4;0;2;0;3;0;L8004;1940;1960;1999;x
Bittner;60006;POL;1930;1999;1999;1999;3;5;1;0;0;5;0;L8005;1930;1960;1999;x
Boltuc;60007;POL;1930;1930;1999;1999;2;4;32;0;0;5;0;L8006;1930;1940;1999;x
Boncza-Uzdowski;60008;POL;1930;1930;1999;1999;2;4;2;0;0;3;0;L8007;1930;1939;1999;x
Bortnowski;60009;POL;1930;1930;1930;1999;1;5;0;1;0;5;0;L8008;1930;1960;1999;x
Boruta-Spiechowicz;60010;POL;1930;1930;1999;1999;2;6;256;1;0;5;0;L8009;1930;1960;1999;x
Bór-Komorowski;60011;POL;1930;1940;1942;1999;1;5;1;2;0;5;0;L8010;1930;1960;1999;x
Brzechwa-Ajdukiewicz;60012;POL;1938;1999;1999;1999;3;5;2;0;0;5;0;L8011;1938;1960;1999;x
Brzoza-Brzezina;60013;POL;1937;1999;1999;1999;3;5;64;0;0;5;0;L8012;1937;1941;1999;x
Burhardt-Bukacki;60014;POL;1924;1924;1936;1999;1;5;513;1;0;5;0;L8013;1924;1942;1999;x
Cehak;60015;POL;1937;1942;1999;1999;3;5;2;1;0;5;0;L8014;1937;1960;1999;x
Cepa;60016;POL;1941;1999;1999;1999;3;4;32;0;0;5;0;L8015;1941;1960;1999;x
Chrusciel-Monter;60017;POL;1940;1941;1943;1999;2;5;1;2;0;5;0;L8016;1940;1960;1999;x
Chmurowicz;60018;POL;1938;1999;1999;1999;3;4;2;0;0;5;0;L8017;1938;1960;1999;x
Czuma;60019;POL;1930;1930;1999;1999;2;5;2;0;0;5;0;L8018;1930;1960;1999;x
Czyzewski;60020;POL;1938;1999;1999;1999;3;4;0;0;0;5;0;L8019;1938;1960;1999;x
Dab-Biernacki;60021;POL;1930;1930;1937;1999;1;4;0;1;0;5;0;L8020;1930;1960;1999;x
Dabek;60022;POL;1937;1942;1999;1999;3;6;2;1;0;5;0;L8021;1937;1960;1999;x
Dabkowski;60023;POL;1930;1930;1999;1999;3;5;514;1;0;5;0;L8022;1930;1946;1999;x
Dembinski;60024;POL;1930;1930;1999;1999;2;4;2;1;0;5;0;L8023;1930;1939;1999;x
Dindorf-Ankowicz;60025;POL;1930;1938;1999;1999;2;5;0;1;0;5;0;L8024;1930;1960;1999;x
Dobrzanski;60026;POL;1930;1999;1999;1999;3;4;0;0;0;5;0;L8025;1930;1938;1999;x
Drapella;60027;POL;1930;1938;1999;1999;2;4;0;1;0;5;0;L8026;1930;1960;1999;x
Dreszer  R.;60028;POL;1930;1940;1999;1999;2;6;513;1;0;5;0;L8027;1930;1960;1999;x
Drucki-Lubecki;60029;POL;1937;1999;1999;1999;3;4;513;1;0;5;0;L8028;1937;1960;1999;x
Duch;60030;POL;1938;1941;1943;1999;2;5;36;2;0;5;0;L8029;1938;1960;1999;x
Dworak;60031;POL;1937;1941;1943;1999;2;5;128;1;0;5;0;L8030;1937;1960;1999;x
Engel-Ragis;60032;POL;1930;1938;1999;1999;3;5;256;1;0;5;0;L8031;1930;1960;1999;x
Epler;60033;POL;1938;1999;1999;1999;3;6;2;0;0;5;0;L8032;1938;1940;1999;x
Fabrycy;60034;POL;1924;1924;1931;1999;1;4;0;1;0;3;0;L8033;1924;1960;1999;x
Fieldorf-Nil;60035;POL;1939;1941;1945;1999;2;5;1;2;0;5;0;L8034;1939;1960;1999;x
Filipowicz;60036;POL;1930;1999;1999;1999;3;4;0;0;0;5;0;L8035;1930;1941;1999;x
Galadyk;60037;POL;1938;1999;1999;1999;3;5;1;0;0;5;0;L8036;1938;1960;1999;x
Gasiorowski  J.;60038;POL;1938;1999;1999;1999;3;5;0;0;0;5;0;L8037;1938;1960;1999;x
Gasiorowski  W.;60039;POL;1939;1943;1999;1999;2;4;0;1;0;5;0;L8038;1939;1960;1999;x
Giza;60040;POL;1942;1999;1999;1999;3;4;2;0;0;5;0;L8039;1942;1960;1999;x
Glabisz;60041;POL;1938;1942;1999;1999;3;5;0;1;0;5;0;L8040;1938;1960;1999;x
Gluchowski;60042;POL;1938;1944;1999;1999;2;6;513;1;0;5;0;L8041;1938;1960;1999;x
Grot-Rowecki;60043;POL;1937;1941;1999;1999;3;5;1;1;0;5;0;L8042;1937;1944;1999;x
Grzmot-Skotnicki;60044;POL;1930;1938;1999;1999;2;5;2;1;0;5;0;L8043;1930;1960;1999;x
Haller de Hallenburg;60045;POL;1930;1938;1999;1999;2;7;513;1;0;5;0;L8044;1930;1943;1999;x
Haller von Hallenburg;60046;POL;1918;1918;1920;1999;2;4;513;0;0;5;0;L8045;1918;1938;1999;x
Hanka-Kulesza;60047;POL;1930;1930;1999;1999;2;4;2;0;0;5;0;L8046;1930;1938;1999;x
Hutten-Chapski;60048;POL;1930;1930;1999;1999;2;4;514;1;0;5;0;L8047;1930;1938;1999;x
Jagmin-Sadowski;60049;POL;1938;1990;1999;1999;3;6;2;0;0;5;0;L8048;1938;1960;1999;x
Jaklicz;60050;POL;1938;1943;1999;1999;2;4;0;1;0;5;0;L8049;1938;1960;1999;x
Kalabinski;60051;POL;1930;1999;1999;1999;3;5;0;0;0;5;0;L8050;1930;1960;1999;x
Kalina-Zieleniewski;60052;POL;1930;1999;1999;1999;2;5;1;0;0;5;0;L8051;1930;1960;1999;x
Karaszewicz-Tokarzewski;60053;POL;1930;1940;1999;1999;2;5;0;1;0;5;0;L8052;1930;1960;1999;x
Karcz;60054;POL;1938;1999;1999;1999;3;5;2;0;0;5;0;L8053;1938;1943;1999;x
Kasprzycki;60055;POL;1930;1930;1938;1999;1;5;513;1;0;4;0;L8054;1930;1960;1999;x
Kiwerski;60056;POL;1942;1999;1999;1999;3;5;16;0;0;5;0;L8055;1942;1960;1999;x
Klaczynski;60057;POL;1930;1999;1999;1999;3;4;0;0;0;5;0;L8056;1930;1939;1999;x
Kleeberg;60058;POL;1930;1938;1945;1999;2;5;16;1;0;5;0;L8057;1930;1941;1999;x
Klimecki ;60059;POL;1938;1999;1999;1999;3;5;0;0;0;5;0;L8058;1938;1960;1999;x
Kmicic-Skrzynski;60060;POL;1938;1999;1999;1999;3;4;32;0;0;5;0;L8059;1938;1960;1999;x
Knoll-Kownacki;60061;POL;1930;1938;1999;1999;2;5;4;1;0;5;0;L8060;1930;1960;1999;x
Kopanski;60062;POL;1938;1940;1999;1999;3;6;256;1;0;5;0;L8061;1938;1960;1999;x
Kossakowski;60063;POL;1938;1999;1999;1999;3;4;32;0;0;5;0;L8062;1938;1960;1999;x
Kossecki;60064;POL;1941;1999;1999;1999;3;5;4;0;0;5;0;L8063;1941;1960;1999;x
Kowalski;60065;POL;1930;1930;1999;1999;2;5;0;1;0;5;0;L8064;1930;1960;1999;x
Kozicki;60066;POL;1930;1999;1999;1999;3;4;128;0;0;5;0;L8065;1930;1960;1999;x
Kruszewski;60067;POL;1930;1939;1999;1999;2;5;8;1;0;5;0;L8066;1930;1960;1999;x
Krzyzanowski;60068;POL;1930;1938;1999;1999;3;5;16;1;0;5;0;L8067;1930;1960;1999;x
Kukiel;60069;POL;1930;1938;1942;1999;2;5;0;2;0;5;0;L8068;1930;1960;1999;x
Kustron;60070;POL;1938;1999;1999;1999;3;8;256;1;0;5;0;L8069;1938;1940;1999;x
Kutrzeba;60071;POL;1930;1930;1930;1999;1;5;4;1;0;5;0;L8070;1930;1960;1999;x
Langner;60072;POL;1938;1942;1999;1999;2;6;2;1;0;5;0;L8071;1938;1960;1999;x
Levitt;60073;POL;1937;1999;1999;1999;3;4;0;0;0;5;0;L8072;1937;1960;1999;x
Liszka-Lawicz;60074;POL;1938;1999;1999;1999;3;4;2;0;0;5;0;L8073;1938;1960;1999;x
Mackiewicz;60075;POL;1930;1999;1999;1999;3;5;514;1;0;5;0;9275;1930;1960;1999;x
Maczek;60076;POL;1937;1941;1943;1999;3;6;132;3;0;5;0;L8075;1937;1960;1999;x
Makary-Smorawinski;60077;POL;1937;1999;1999;1999;3;4;64;0;0;5;0;L8076;1937;1960;1999;x
Malinowski;60078;POL;1930;1999;1999;1999;3;4;0;0;0;5;0;L8077;1930;1960;1999;x
Mlot-Fijalkowski;60079;POL;1930;1930;1939;1999;2;5;2;1;0;5;0;L8078;1930;1944;1999;x
Mond;60080;POL;1937;1939;1999;1999;3;4;0;1;0;5;0;L8079;1937;1940;1999;x
Mossor;60081;POL;1939;1942;1946;1999;3;5;0;2;0;3;0;L8080;1939;1960;1999;x
Mozdyniewicz;60082;POL;1938;1999;1999;1999;3;5;2;0;0;5;0;L8081;1938;1960;1999;x
Narbutt-Luczynski;60083;POL;1930;1938;1999;1999;2;5;0;1;0;5;0;L8082;1930;1960;1999;x
Norwid-Neugebauer;60084;POL;1930;1938;1999;1999;2;5;1;1;0;5;0;L8083;1930;1960;1999;x
Odzierzynski;60085;POL;1939;1943;1999;1999;3;5;64;1;0;5;0;L8084;1939;1960;1999;x
Okulicki-Niedzwiadek;60086;POL;1930;1942;1943;1999;3;6;256;2;0;5;0;L8085;1930;1946;1999;x
Olbrycht;60087;POL;1930;1938;1999;1999;2;4;0;1;0;5;0;L8086;1930;1960;1999;x
Olszyna-Wilczynski;60088;POL;1930;1930;1999;1999;2;5;4;0;0;3;0;L8087;1930;1960;1999;x
Orlicz-Dreszer;60089;POL;1930;1930;1941;1999;1;5;16;1;0;3;0;L8088;1930;1960;1999;x
Orlik-Lukoski;60090;POL;1930;1937;1999;1999;2;4;0;1;0;5;0;L8089;1930;1960;1999;x
Orlik-Rueckemann;60091;POL;1930;1937;1939;1999;2;7;4;2;0;5;0;L8090;1930;1960;1999;x
Osinski;60092;POL;1930;1999;1999;1999;3;4;514;1;0;5;0;L8091;1930;1939;1999;x
Ostrowski;60093;POL;1930;1999;1999;1999;3;5;513;1;0;5;0;L8092;1930;1939;1999;x
Oziewicz;60094;POL;1930;1999;1999;1999;3;5;514;1;0;5;0;L8093;1930;1942;1999;x
Paszkiewicz;60095;POL;1930;1940;1999;1999;3;5;0;1;0;5;0;L8094;1930;1960;1999;x
Pelczynski-Grzegorz;60096;POL;1938;1999;1999;1999;3;4;1;0;0;5;0;L8095;1938;1960;1999;x
Piasecki;60097;POL;1930;1939;1999;1999;3;5;1;1;0;5;0;L8096;1930;1960;1999;x
Piekarski;60098;POL;1937;1939;1999;1999;3;4;2;1;0;5;0;L8097;1937;1960;1999;x
Piskor;60099;POL;1930;1930;1937;1999;1;7;514;1;0;5;0;L8098;1930;1960;1999;x
Plisowski;60100;POL;1930;1999;1999;1999;3;5;514;1;0;5;0;L8099;1930;1939;1999;x
Podhorski;60101;POL;1930;1938;1999;1999;3;5;1;1;0;5;0;L8100;1930;1946;1999;x
Popowicz;60102;POL;1930;1930;1999;1999;2;6;514;1;0;5;0;L8101;1930;1941;1999;x
Porwit;60103;POL;1939;1999;1999;1999;3;5;2;0;0;5;0;L8102;1939;1960;1999;x
Powierza;60104;POL;1938;1999;1999;1999;3;5;2;0;0;5;0;L8103;1938;1960;1999;x
Praglowski;60105;POL;1930;1939;1999;1999;3;5;0;1;0;5;0;L8104;1930;1960;1999;x
Prich;60106;POL;1930;1999;1999;1999;3;7;513;3;0;5;0;L8105;1930;1939;1999;x
Prugar-Ketling;60107;POL;1930;1938;1999;1999;3;5;16;1;0;5;0;L8106;1930;1960;1999;x
Przedrzyminski-Krukowicz;60108;POL;1931;1931;1945;1999;1;7;2;1;0;5;0;L8107;1930;1960;1999;x
Przewlocki;60109;POL;1942;1999;1999;1999;3;6;1;0;0;4;0;L8108;1942;1960;1999;x
Przezdziecki;60110;POL;1930;1999;1999;1999;3;5;514;1;0;5;0;L8109;1930;1939;1999;x
Przyjalkowski;60111;POL;1937;1939;1999;1999;3;5;0;1;0;5;0;L8110;1937;1960;1999;x
Rakowski;60112;POL;1942;1945;1999;1999;3;5;128;1;0;5;0;L8111;1942;1960;1999;x
Rola-Arciszewski;60113;POL;1942;1999;1999;1999;3;6;0;0;0;5;0;L8112;1942;1960;1999;x
Rola-Zymierski;60114;POL;1930;1941;1944;1945;3;6;128;3;0;2;0;L8113;1930;1960;1999;x
Romer;60115;POL;1930;1930;1999;1999;2;6;0;1;0;5;0;L8114;1930;1938;1999;x
Rómmel;60116;POL;1919;1919;1928;1999;1;4;0;1;0;5;0;L8115;1919;1960;1999;x
Rostworowski;60117;POL;1930;1930;1999;1999;2;4;0;0;0;5;0;L8116;1930;1960;1999;x
Rudnicki;60118;POL;1939;1942;1999;1999;3;6;128;1;0;5;0;L8117;1939;1960;1999;x
Rys-Trojanowski;60119;POL;1937;1999;1999;1999;3;5;8;0;0;5;0;L8118;1937;1960;1999;x
Sawicki;60120;POL;1937;1990;1999;1999;3;5;0;1;0;5;0;L8119;1937;1960;1999;x
Scewola-Wieczorkiewicz;60121;POL;1930;1937;1999;1999;2;5;0;1;0;4;0;L8120;1930;1941;1999;x
Schally;60122;POL;1930;1930;1999;1999;1;4;514;1;0;5;0;L8121;1930;1960;1999;x
Sikorski  F.;60123;POL;1930;1999;1999;1999;3;5;0;0;0;5;0;L8122;1930;1960;1999;x
Sikorski  W.;60124;POL;1930;1930;1937;1999;1;6;1;2;0;5;0;L8123;1930;1960;1999;x
Skierski;60125;POL;1914;1916;1999;1999;2;5;514;1;0;5;0;L8124;1914;1941;1999;x
Skuratowicz;60126;POL;1930;1999;1999;1999;3;5;513;1;0;5;0;L8125;1930;1960;1999;x
Skwarczynski;60127;POL;1930;1999;1999;1999;3;4;0;0;0;5;0;L8126;1930;1960;1999;x
Slawoj-Skladkowski;60128;POL;1930;1930;1942;1999;2;4;0;1;0;5;0;L8127;1930;1960;1999;x
Smigly-Rydz;60129;POL;1919;1920;1930;1930;0;5;514;1;0;5;0;L8128;1919;1960;1999;x
Smolenski;60130;POL;1938;1999;1999;1999;3;6;0;0;0;5;0;L8129;1938;1960;1999;x
Smorawinski;60131;POL;1930;1930;1999;1999;2;6;544;1;0;5;0;L8130;1930;1960;1999;x
Sosabowski;60132;POL;1939;1942;1999;1999;3;7;260;1;0;5;0;L8131;1939;1960;1999;x
Sosnkowski;60133;POL;1914;1916;1918;1999;1;7;6;2;0;5;0;L8132;1918;1960;1999;x
Spychalski;60134;POL;1937;1940;1942;1963;2;5;0;3;0;3;0;L8133;1937;1960;1999;x
