Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alves Rocadas;20001;POR;1930;1930;1990;1990;2;4;576;1;0;4;0;L45200;1930;1942;1999;x
Barcineio Pinto;20002;POR;1930;1930;1930;1990;1;4;514;1;0;3;0;L45201;1930;1939;1999;x
Barros Rodrigues;20003;POR;1939;1943;1990;1990;2;5;4;1;0;5;0;L45202;1939;1946;1999;x
Basto Goncalves;20004;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45203;1945;1960;1999;x
Borges Júnior;20005;POR;1941;1944;1990;1990;2;4;16;1;0;5;0;L45204;1941;1960;1999;x
Botelho Moniz;20006;POR;1941;1943;1990;1990;2;3;0;1;0;5;0;L45205;1941;1960;1999;x
Camara Pina;20007;POR;1943;1990;1990;1990;3;4;128;0;0;5;0;L45206;1943;1960;1999;x
Carmona Fragosa;20008;POR;1930;1930;1930;1990;1;5;514;1;0;5;0;L45207;1930;1937;1999;x
Carrilho;20009;POR;1930;1930;1990;1990;2;3;513;1;0;4;0;L45208;1930;1938;1999;x
Carrilho Xaveir;20010;POR;1945;1990;1990;1990;3;3;0;0;0;4;0;L45209;1945;1960;1999;x
Castro Abreu e Mota;20011;POR;1930;1930;1990;1990;2;5;514;1;0;5;0;L45210;1930;1942;1999;x
Castro Bilstein Menezes;20012;POR;1930;1930;1930;1990;1;5;514;1;0;3;0;L45211;1930;1938;1999;x
Costa Andrade;20013;POR;1942;1945;1990;1990;3;4;1;1;0;5;0;L45212;1942;1960;1999;x
Costa Lopes sa Silva;20014;POR;1930;1990;1990;1990;3;5;1;0;0;5;0;L45213;1930;1946;1999;x
Costa Oliveira;20015;POR;1938;1942;1945;1990;2;5;2;2;0;5;0;L45214;1938;1960;1999;x
Cotta Morais dos Reis;20016;POR;1939;1990;1990;1990;3;3;0;0;0;5;0;L45215;1939;1946;1999;x
Cunha Baptista;20017;POR;1930;1930;1990;1990;2;4;516;1;0;4;0;L45216;1930;1937;1999;x
de Lucena;20018;POR;1930;1990;1990;1990;3;4;512;1;0;5;0;L45217;1930;1940;1999;x
Domingues;20019;POR;1930;1930;1930;1990;1;4;768;1;0;4;0;L45218;1930;1944;1999;x
Duarte Silva;20020;POR;1939;1990;1990;1990;3;4;0;0;0;5;0;L45219;1939;1946;1999;x
Enes Ferreira;20021;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45220;1945;1960;1999;x
Ferreira Silva Couto Júnior;20022;POR;1943;1990;1990;1990;3;3;128;0;0;5;0;L45221;1943;1960;1999;x
Freiria;20023;POR;1938;1943;1990;1990;3;4;64;1;0;5;0;L45222;1938;1960;1999;x
Freitas;20024;POR;1937;1941;1990;1990;2;5;128;1;0;4;0;L45223;1937;1946;1999;x
Garcia Rosado;20025;POR;1930;1990;1990;1990;3;5;516;1;0;5;0;L45224;1930;1942;1999;x
Ivens Ferraz;20026;POR;1941;1990;1990;1990;3;4;128;0;0;5;0;L45225;1941;1960;1999;x
Kaúlza Arriaga;20027;POR;1943;1944;1946;1990;2;5;0;2;0;5;0;L45226;1943;1960;1999;x
Lima Viera;20028;POR;1938;1990;1990;1990;3;4;2;0;0;5;0;L45227;1938;1945;1999;x
Lobato Guerra;20029;POR;1938;1941;1990;1990;2;5;2;1;0;5;0;L45228;1938;1946;1999;x
Lopes;20030;POR;1944;1946;1990;1990;3;4;0;2;0;5;0;L45229;1944;1960;1999;x
Magalhães Correia;20031;POR;1939;1942;1990;1990;2;3;0;1;0;5;0;L45230;1939;1960;1999;x
Marques;20032;POR;1937;1939;1990;1990;2;4;2;1;0;5;0;L45231;1937;1946;1999;x
Martins Coimbra;20033;POR;1943;1947;1990;1990;3;5;32;1;0;5;0;L45232;1943;1960;1999;x
Martins da Costa Soares;20034;POR;1930;1990;1990;1990;3;3;0;0;0;5;0;L45233;1930;1940;1999;x
Medeiros de Almeida;20035;POR;1940;1990;1990;1990;3;3;0;0;0;5;0;L45234;1940;1945;1999;x
Miranda Cabral;20036;POR;1937;1941;1990;1990;2;4;4;1;0;5;0;L45235;1937;1945;1999;x
Monteiro Barras;20037;POR;1938;1940;1990;1990;2;3;0;1;0;4;0;L45236;1938;1946;1999;x
Morais Sarmento;20038;POR;1930;1930;1930;1990;1;4;528;1;0;3;0;L45237;1930;1942;1999;x
Neto;20039;POR;1940;1942;1946;1990;2;4;0;2;0;5;0;L45238;1940;1960;1999;x
Norton Matos;20040;POR;1930;1930;1930;1930;0;5;514;1;0;2;0;L45239;1930;1938;1999;x
Oom;20041;POR;1939;1990;1990;1990;3;3;32;1;0;5;0;L45240;1939;1945;1999;x
Pacheco Quirono Sousa;20042;POR;1938;1990;1990;1990;3;3;32;0;0;4;0;L45241;1938;1946;1999;x
Paula Pinheiro Machado;20043;POR;1938;1942;1990;1990;2;5;64;1;0;3;0;L45242;1938;1960;1999;x
Peixoto é Cunha;20044;POR;1937;1941;1943;1990;1;4;4;1;0;4;0;L45243;1937;1960;1999;x
Pereira Bastos;20045;POR;1930;1930;1990;1990;2;5;544;1;0;5;0;L45244;1930;1941;1999;x
Pereira Coutinho  F.;20046;POR;1938;1990;1990;1990;3;4;16;0;0;4;0;L45245;1938;1944;1999;x
Pereira Coutinho  M.;20047;POR;1938;1940;1990;1990;2;4;16;1;0;4;0;L45246;1938;1946;1999;x
Quintino Rogado;20048;POR;1944;1990;1990;1990;3;4;32;0;0;5;0;L45247;1944;1960;1999;x
Rocha Beleza;20049;POR;1939;1990;1990;1990;3;4;64;0;0;5;0;L45248;1939;1960;1999;x
Rodrigues;20050;POR;1937;1940;1990;1990;2;5;0;1;0;5;0;L45249;1937;1944;1999;x
Rodrigues Sousa;20051;POR;1939;1942;1943;1990;1;4;2;2;0;4;0;L45250;1939;1960;1999;x
Rolão Preto;20052;POR;1930;1990;1990;1990;3;5;0;0;0;2;0;L45251;1930;1937;1999;x
Sã;20053;POR;1930;1930;1930;1990;1;4;576;1;0;3;0;L45252;1930;1942;1999;x
