Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bamberg;730001;PRI;1930;1990;1990;1990;3;3;64;0;0;5;0;L527000;1930;1960;1999;x
Berthold;730002;PRI;1930;1990;1990;1990;3;3;0;0;0;5;0;L527001;1930;1960;1999;x
Cerff;730003;PRI;1930;1943;1990;1990;2;2;0;1;0;5;0;L527002;1930;1960;1999;x
Ebeling;730004;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527003;1930;1960;1999;x
Friemel;730005;PRI;1930;1990;1990;1990;3;3;256;0;0;5;0;L527004;1930;1960;1999;x
Gebhardt;730006;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527005;1930;1960;1999;x
Hertzsch;730007;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527006;1930;1960;1999;x
Heyl;730008;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527007;1930;1960;1999;x
Kokorev;730009;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;L527008;1930;1960;1999;x
Kondratenko;730010;PRI;1930;1930;1930;1930;0;2;513;1;0;5;0;L527009;1930;1960;1999;x
Neuffer;730011;PRI;1930;1990;1990;1990;3;3;2;0;0;5;0;L527010;1930;1960;1999;x
Panov;730012;PRI;1930;1930;1930;1990;1;3;1;1;0;5;0;M527040;1930;1960;1999;x
Platov;730013;PRI;1930;1990;1990;1990;3;2;1;0;0;5;0;L527012;1930;1960;1999;x
Raskolnikov;730014;PRI;1930;1990;1990;1990;3;2;9;0;0;5;0;L527013;1930;1960;1999;x
Shahurin;730015;PRI;1930;1990;1990;1990;3;2;32;0;0;5;0;L527014;1930;1960;1999;x
Shakht;730016;PRI;1930;1940;1990;1990;2;3;0;1;0;5;0;L527015;1930;1960;1999;x
Shalimov;730017;PRI;1930;1942;1990;1990;2;3;16;1;0;5;0;M527035;1930;1960;1999;x
Shanin;730018;PRI;1930;1990;1990;1990;3;4;256;1;0;5;0;L527017;1930;1960;1999;x
Shardakov;730019;PRI;1930;1990;1990;1990;3;4;128;0;0;5;0;L527018;1930;1960;1999;x
Shavurin;730020;PRI;1930;1930;1940;1990;1;3;8;1;0;5;0;L527019;1930;1960;1999;x
Shein;730021;PRI;1930;1990;1990;1990;3;2;8;0;0;5;0;M527039;1930;1960;1999;x
Shestak;730022;PRI;1930;1930;1990;1990;2;2;4;0;0;5;0;L527021;1930;1960;1999;x
Shestopalov;730023;PRI;1930;1990;1990;1990;3;4;9;0;0;5;0;L527022;1930;1960;1999;x
Shimansky;730024;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;M527008;1930;1960;1999;x
Shipov;730025;PRI;1930;1944;1990;1990;2;3;64;1;0;5;0;M527007;1930;1960;1999;x
Shiryaev;730026;PRI;1930;1990;1990;1990;3;2;2;0;0;5;0;M527036;1930;1960;1999;x
Shishov;730027;PRI;1930;1941;1990;1990;2;3;8;1;0;5;0;L527026;1930;1960;1999;x
Shulgin;730028;PRI;1930;1943;1990;1990;2;3;128;1;0;5;0;L527027;1930;1960;1999;x
Shutt;730029;PRI;1930;1930;1990;1990;2;4;256;1;0;5;0;M527010;1930;1960;1999;x
Shvetsov;730030;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527029;1930;1960;1999;x
Terentev;730031;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;L527030;1930;1960;1999;x
Tretyak;730032;PRI;1930;1930;1990;1990;2;3;2;0;0;5;0;M527038;1930;1960;1999;x
Trubachev;730033;PRI;1930;1930;1930;1990;1;2;1;1;0;5;0;L527032;1930;1960;1999;x
Volsky;730034;PRI;1930;1930;1990;1990;2;3;513;1;0;5;0;L527033;1930;1960;1999;x
von Döhren;730035;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527034;1930;1960;1999;x
Vysoitsky;730036;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;M527037;1930;1960;1999;x
Vysitsky;730037;PRI;1930;1930;1990;1990;2;3;256;0;0;5;0;L527036;1930;1960;1999;x
Bytchkov;730038;PRI;1930;1990;1990;1990;3;2;4096;0;0;5;1;M527043;1930;1960;1999;x
Keppenrus;730039;PRI;1930;1945;1990;1990;3;2;8192;1;0;5;1;M527042;1930;1960;1999;x
Kulik;730040;PRI;1930;1930;1945;1990;1;3;1024;1;0;5;1;M527041;1930;1960;1999;x
Milyukov;730041;PRI;1930;1940;1990;1990;2;2;0;0;0;5;1;L527040;1930;1960;1999;x
Novokov;730042;PRI;1930;1990;1990;1990;3;2;0;0;0;5;1;L527041;1930;1960;1999;x
Panov;730043;PRI;1930;1930;1942;1990;1;3;0;1;0;5;1;M527009;1930;1960;1999;x
Shahova;730044;PRI;1930;1990;1990;1990;3;2;8192;0;0;5;2;L527043;1930;1960;1999;x
Shkaruba;730045;PRI;1930;1990;1990;1990;3;2;0;0;0;5;2;L527044;1930;1960;1999;x
Shanin;730046;PRI;1930;1990;1990;1990;3;4;8192;0;0;5;2;L527017;1930;1960;1999;x
Shapovalov;730047;PRI;1930;1930;1990;1990;2;2;65536;0;0;5;2;L527046;1930;1960;1999;x
Shatalov;730048;PRI;1930;1941;1944;1990;1;3;0;2;0;5;2;L527047;1930;1960;1999;x
Shavrov;730049;PRI;1930;1990;1990;1990;3;2;16384;0;0;5;2;M527044;1930;1960;1999;x
Shevrigin;730050;PRI;1930;1939;1990;1990;2;3;131072;1;0;5;2;M527045;1930;1960;1999;x
Shubin;730051;PRI;1930;1990;1990;1990;3;3;4096;0;0;5;2;M527046;1930;1960;1999;x
Shutt;730052;PRI;1930;1930;1990;1990;2;3;0;1;0;5;2;M527010;1930;1960;1999;x
