Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arden-Clarke;745001;RHO;1930;1930;1990;1990;2;4;1;0;0;5;0;M551008;1930;1960;1999;x
Bradshaw;745002;RHO;1942;1990;1990;1990;3;4;4;0;0;5;0;L1046;1942;1960;1999;x
Capell-Dunn;745003;RHO;1930;1930;1990;1990;2;5;128;1;0;5;0;M553040;1941;1960;1999;x
Carrington;745004;RHO;1930;1930;1930;1990;1;4;514;1;0;5;0;M553008;1930;1941;1999;x
Christison;745005;RHO;1941;1943;1990;1990;2;5;4;1;0;5;0;L1074;1941;1960;1999;x
Clutterbuck;745006;RHO;1941;1943;1990;1990;3;4;0;1;0;5;0;L1078;1941;1960;1999;x
de Burgh;745007;RHO;1930;1930;1990;1990;2;4;576;1;0;5;0;L1094;1930;1942;1999;x
Grigg;745008;RHO;1939;1943;1946;1990;1;6;16;3;0;5;0;M553038;1939;1960;1999;x
Killarney;745009;RHO;1930;1990;1990;1990;3;4;4;0;0;5;0;L553008;1930;1942;1999;x
Lloyd;745010;RHO;1939;1990;1990;1990;3;4;1;0;0;5;0;L1195;1939;1960;1999;x
Mburnu;745011;RHO;1930;1941;1990;1990;2;3;0;1;0;5;0;M553042;1930;1960;1999;x
Newell-Clarke;745012;RHO;1930;1940;1990;1990;2;3;2;1;0;5;0;L553011;1930;1960;1999;x
Nicholson;745013;RHO;1930;1990;1990;1990;3;3;1;0;0;5;0;M553035;1930;1943;1999;x
Rees;745014;RHO;1941;1990;1990;1990;3;4;1;0;0;5;0;L1260;1941;1960;1999;x
Somerset;745015;RHO;1939;1990;1990;1990;3;3;128;0;0;5;0;L1284;1939;1947;1999;x
Stanley;745016;RHO;1930;1930;1990;1990;2;6;1;0;0;5;0;M553039;1930;1943;1999;x
Thornton;745017;RHO;1937;1990;1990;1990;3;5;257;0;0;5;0;L553016;1937;1960;1999;x
Yeta III;745018;RHO;1930;1930;1930;1990;1;2;0;0;0;5;0;M553011;1930;1960;1999;x
Yomohulu;745019;RHO;1939;1943;1990;1990;2;2;2;1;0;5;0;M553021;1939;1960;1999;x
wa Ltunga;745020;RHO;1940;1945;1990;1990;3;3;32;1;0;5;0;M553041;1940;1960;1999;x
Drummond;745021;RHO;1930;1990;1990;1990;3;3;2560;0;0;5;1;M553009;1930;1942;1999;x
Gould;745022;RHO;1941;1990;1990;1990;3;3;1024;0;0;5;1;M74009;1941;1960;1999;x
Squance;745023;RHO;1940;1990;1990;1990;3;4;4096;0;0;5;1;M553045;1940;1960;1999;x
wa Ltunga;745024;RHO;1940;1990;1990;1990;3;2;8192;0;0;5;1;M553041;1940;1960;1999;x
Yeta III;745025;RHO;1930;1930;1930;1990;1;2;0;0;0;5;1;M553011;1930;1960;1999;x
Arden-Clarke;745026;RHO;1930;1930;1990;1990;2;3;131072;1;0;5;2;M551008;1930;1960;1999;x
Croucher;745027;RHO;1930;1990;1990;1990;3;3;32768;0;0;5;2;M553048;1930;1960;1999;x
McKenzie-Kennedy;745028;RHO;1938;1944;1990;1990;2;4;16384;1;0;5;2;M553014;1938;1960;1999;x
Plagis;745029;RHO;1940;1990;1990;1990;3;5;4096;0;0;5;2;L553028;1940;1960;1999;x
Stevenson;745030;RHO;1930;1990;1990;1990;3;2;0;0;0;5;2;L553029;1930;1960;1999;x
wa Ltunga;745031;RHO;1940;1945;1990;1990;2;2;65536;1;0;5;2;M553041;1940;1960;1999;x
