Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aakerhielm;755001;SCA;1941;1990;1990;1990;3;4;0;0;0;4;0;9827;1941;1960;1999;x
Andrén;755002;SCA;1930;1990;1990;1990;3;4;32;0;0;4;0;L9002;1930;1943;1999;x
Backlund;755003;SCA;1944;1990;1990;1990;3;5;1;0;0;5;0;L9003;1944;1960;1999;x
Beichmann;755004;SCA;1942;1945;1990;1990;3;4;1;1;0;5;0;L9601;1942;1960;1999;x
Bennedich;755005;SCA;1930;1990;1990;1990;3;4;64;0;0;4;0;L9004;1930;1940;1999;x
Benniken;755006;SCA;1942;1990;1990;1990;3;5;16;0;0;5;0;L9502;1942;1960;1999;x
Berg;755007;SCA;1944;1990;1990;1990;3;4;128;0;0;5;0;L9602;1944;1960;1999;x
Bredberg;755008;SCA;1940;1942;1990;1990;2;5;0;1;0;5;0;L9005;1940;1960;1999;x
Cederskiöld;755009;SCA;1939;1990;1990;1990;3;5;0;0;0;5;0;L9006;1939;1960;1999;x
Dahl;755010;SCA;1941;1990;1990;1990;3;4;12;0;0;5;0;L9603;1941;1960;1999;x
Douglas;755011;SCA;1930;1943;1990;1990;1;7;4;1;0;3;0;L9007;1930;1946;1999;x
Ehrensvärd;755012;SCA;1941;1945;1946;1990;1;8;12;2;0;4;0;L9008;1941;1960;1999;x
Engelhardt;755013;SCA;1938;1945;1990;1990;3;4;1;1;0;5;0;L9503;1938;1960;1999;x
Erichsen;755014;SCA;1930;1930;1990;1990;2;4;8;0;0;5;0;L9605;1930;1940;1999;x
Esseman;755015;SCA;1930;1930;1990;1990;2;6;516;1;0;5;0;L9504;1930;1939;1999;x
Feiring;755016;SCA;1938;1990;1990;1990;3;5;0;0;0;5;0;L9606;1938;1960;1999;x
Fleischer;755017;SCA;1930;1930;1990;1990;2;7;12;1;0;5;0;L9607;1930;1942;1999;x
Gadd;755018;SCA;1944;1990;1990;1990;3;5;64;0;0;5;0;L9010;1944;1960;1999;x
Gulliksen;755019;SCA;1938;1943;1990;1990;3;4;8;1;0;5;0;L9609;1938;1960;1999;x
Gyllenkrok;755020;SCA;1930;1990;1990;1990;3;5;2;0;0;3;0;L9011;1930;1940;1999;x
