Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamocic;415001;SER;1930;1938;1990;1990;2;3;0;1;0;3;0;L46000;1930;1960;1999;x
Backe;415002;SER;1941;1990;1990;1990;3;2;0;0;0;5;0;L547001;1941;1960;1999;x
Baltzer;415003;SER;1940;1943;1990;1990;2;4;4;1;0;5;0;L547002;1941;1960;1999;x
Berka;415004;SER;1941;1990;1990;1990;3;3;32;0;0;5;0;L547003;1941;1960;1999;x
Bozovic;415005;SER;1930;1941;1990;1990;2;3;64;1;0;3;0;L46002;1930;1960;1999;x
Bächer;415006;SER;1938;1990;1990;1990;3;4;64;0;0;5;0;L547005;1938;1947;1999;x
Büchting;415007;SER;1941;1990;1990;1990;3;4;1;0;0;5;0;L547006;1941;1960;1999;x
Conti;415008;SER;1940;1990;1990;1990;3;2;0;0;0;5;0;M547029;1940;1960;1999;x
Deininger;415009;SER;1940;1990;1990;1990;3;3;8;0;0;5;0;L547008;1940;1946;1999;x
Dokic;415010;SER;1938;1990;1990;1990;3;4;256;0;0;5;0;L547009;1938;1960;1999;x
Drobnig;415011;SER;1939;1990;1990;1990;3;3;64;0;0;5;0;L547010;1941;1960;1999;x
Ehrig;415012;SER;1930;1990;1990;1990;3;3;128;0;0;5;0;L547011;1941;1960;1999;x
Ertel;415013;SER;1939;1990;1990;1990;3;5;640;1;0;5;0;L547012;1939;1960;1999;x
Fonck;415014;SER;1940;1990;1990;1990;3;3;2;0;0;5;0;L547013;1940;1946;1999;x
Glokovac;415015;SER;1930;1990;1990;1990;3;3;64;0;0;5;0;L46009;1930;1943;1999;x
Gutknecht;415016;SER;1941;1990;1990;1990;3;3;4;0;0;5;0;L547015;1941;1946;1999;x
Haverkamp;415017;SER;1941;1990;1990;1990;3;4;32;0;0;5;0;L547016;1941;1960;1999;x
Ilic;415018;SER;1930;1930;1941;1990;1;4;2;1;0;4;0;L46010;1930;1960;1999;x
Jankovic;415019;SER;1930;1942;1990;1990;2;3;0;1;0;4;0;L46012;1930;1960;1999;x
Joksimovic;415020;SER;1930;1990;1990;1990;3;3;0;0;0;3;0;L46013;1930;1960;1999;x
