Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdujohoman;420001;SIK;1930;1930;1990;1990;2;2;0;0;0;4;0;L160000;1930;1943;1999;x
Chang Hsi-liang;420002;SIK;1930;1930;1938;1990;1;2;32;1;0;4;0;L160001;1930;1960;1999;x
Chiang You-fen;420003;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160002;1930;1960;1999;x
Dalerim Khan;420004;SIK;1930;1941;1990;1990;3;3;0;1;0;4;0;L160003;1930;1942;1999;x
Fedyunskij;420005;SIK;1938;1990;1990;1990;3;2;4;0;0;4;0;L160004;1938;1943;1999;x
Ghai;420006;SIK;1940;1990;1990;1990;3;2;2;0;0;4;0;L160005;1940;1960;1999;x
Ghanni Batur;420007;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160006;1930;1944;1999;x
Ha Yu-liang;420008;SIK;1930;1941;1990;1990;3;2;0;1;0;4;0;L160007;1930;1960;1999;x
Hsu You-hsing;420009;SIK;1930;1943;1990;1990;3;2;256;1;0;4;0;L160008;1930;1960;1999;x
Huseinov;420010;SIK;1930;1990;1990;1990;3;2;1;0;0;2;0;L160009;1930;1941;1999;x
Ishakjan Monhakiyev;420011;SIK;1930;1938;1942;1990;2;3;4;2;0;4;0;L160010;1930;1960;1999;x
Kazarian;420012;SIK;1930;1990;1990;1990;3;2;16;0;0;1;0;L160011;1930;1942;1999;x
Liu Cheng-hsin;420013;SIK;1930;1990;1990;1990;3;2;1;0;0;5;0;L160012;1930;1960;1999;x
Liu Pin;420014;SIK;1930;1990;1990;1990;3;2;4;0;0;4;0;L160013;1930;1960;1999;x
Ma Hu-shan;420015;SIK;1930;1930;1990;1990;2;3;4;0;0;1;0;L160014;1930;1941;1999;x
Mahmud;420016;SIK;1930;1930;1930;1990;1;3;2;1;0;1;0;L160015;1930;1944;1999;x
Osman Batur;420017;SIK;1930;1930;1990;1990;2;3;20;1;0;1;0;L160016;1930;1941;1999;x
Pappengut;420018;SIK;1930;1930;1990;1990;2;4;514;1;0;3;0;L160017;1930;1939;1999;x
Polinov;420019;SIK;1930;1941;1990;1990;3;2;4;1;0;3;0;L160018;1930;1944;1999;x
Safiulin;420020;SIK;1930;1930;1990;1990;2;2;4;0;0;4;0;L160019;1930;1942;1999;x
Senungtayev;420021;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160020;1930;1942;1999;x
Seypidin;420022;SIK;1930;1939;1942;1990;2;3;1;2;0;4;0;L160021;1930;1960;1999;x
Shallif Khan;420023;SIK;1930;1930;1990;1990;2;3;64;0;0;2;0;L160022;1930;1943;1999;x
Sheng Shih-chi;420024;SIK;1930;1990;1990;1990;3;2;128;0;0;5;0;L160023;1930;1960;1999;x
Sheng Shih-tsai;420025;SIK;1930;1930;1930;1930;0;2;16;1;0;5;0;L160024;1930;1960;1999;x
Sun Ching-lin;420026;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160025;1930;1960;1999;x
Tang Chih-chuan;420027;SIK;1930;1990;1990;1990;3;2;256;0;0;4;0;L160026;1930;1941;1999;x
Tsui Ying-chun;420028;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160027;1930;1960;1999;x
Wu Hsi-chih;420029;SIK;1930;1990;1990;1990;3;2;128;0;0;4;0;L160028;1930;1960;1999;x
You Teh-sheng;420030;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160029;1930;1943;1999;x
Yuan Ling-yun;420031;SIK;1930;1938;1942;1990;2;3;0;2;0;4;0;L160030;1930;1960;1999;x
Cherepanov;420032;SIK;1930;1990;1990;1990;3;2;1024;0;0;4;1;L160031;1930;1942;1999;x
Jarosh;420033;SIK;1930;1930;1990;1990;2;2;0;0;0;4;1;L160032;1930;1960;1999;x
Sa Chen-ping;420034;SIK;1930;1930;1930;1990;1;2;0;1;0;4;1;L160033;1930;1960;1999;x
Gritsevets;420035;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160034;1930;1942;1999;x
Orlov;420036;SIK;1930;1930;1990;1990;2;3;0;0;0;3;2;L160035;1930;1960;1999;x
Rahov;420037;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160036;1930;1941;1999;x
Ryshkianov;420038;SIK;1930;1939;1990;1990;3;3;0;1;0;4;2;L160037;1930;1960;1999;x
Sedov;420039;SIK;1939;1990;1990;1990;3;2;0;0;0;4;2;L160038;1939;1945;1999;x
