Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asmus;525001;SLV;1930;1930;1990;1990;2;2;0;0;0;5;0;L545000;1939;1960;1999;x
Brosch von Aarenau;525002;SLV;1930;1990;1990;1990;3;3;32;0;0;5;0;M545029;1930;1960;1999;x
Dankl;525003;SLV;1930;1930;1990;1990;2;4;576;1;0;5;0;L545002;1930;1943;1999;x
Dauber;525004;SLV;1939;1990;1990;1990;3;4;640;1;0;5;0;L545003;1939;1945;1999;x
Deckmann;525005;SLV;1940;1990;1990;1990;3;3;256;0;0;5;0;L545004;1940;1960;1999;x
Deutsch;525006;SLV;1939;1943;1990;1990;2;4;128;1;0;5;0;L545005;1939;1946;1999;x
Fässig;525007;SLV;1939;1990;1990;1990;3;3;32;0;0;5;0;L545006;1939;1946;1999;x
Geis;525008;SLV;1940;1990;1990;1990;3;3;32;0;0;5;0;L545007;1940;1960;1999;x
Grüner;525009;SLV;1942;1990;1990;1990;3;3;64;0;0;5;0;L545008;1942;1960;1999;x
Götl;525010;SLV;1930;1930;1930;1990;1;4;528;1;0;5;0;L545009;1930;1943;1999;x
Herbst;525011;SLV;1941;1990;1990;1990;3;3;2;0;0;5;0;L545010;1941;1960;1999;x
Hochbaum;525012;SLV;1941;1990;1990;1990;3;4;8;0;0;5;0;L545011;1941;1947;1999;x
Hohmeyer;525013;SLV;1941;1990;1990;1990;3;3;128;0;0;5;0;L545012;1941;1960;1999;x
Karl;525014;SLV;1939;1990;1990;1990;3;4;0;0;0;5;0;L545013;1939;1946;1999;x
Kövess;525015;SLV;1930;1930;1930;1990;1;4;0;1;0;5;0;M545008;1930;1960;1999;x
Lang;525016;SLV;1930;1990;1990;1990;3;3;2;0;0;5;0;M545030;1930;1960;1999;x
Putz;525017;SLV;1930;1930;1990;1990;2;3;8;0;0;5;0;L545016;1930;1960;1999;x
Scheffler;525018;SLV;1930;1941;1990;1990;2;4;8;1;0;5;0;L545017;1930;1960;1999;x
Stupka;525019;SLV;1930;1930;1990;1990;2;2;2;1;0;5;0;M545007;1930;1960;1999;x
von Bernuth;525020;SLV;1942;1990;1990;1990;3;3;4;0;0;5;0;L545019;1942;1960;1999;x
von Brasseur;525021;SLV;1930;1930;1930;1990;1;2;2;1;0;5;0;M545013;1930;1960;1999;x
von Fuchs;525022;SLV;1939;1990;1990;1990;3;2;514;1;0;5;0;L545021;1939;1945;1999;x
von Groddeck;525023;SLV;1940;1990;1990;1990;3;3;1;0;0;5;0;L545022;1940;1960;1999;x
von Gusovius;525024;SLV;1939;1990;1990;1990;3;4;513;1;0;5;0;L545023;1939;1946;1999;x
von Handel-Mazetti;525025;SLV;1930;1940;1990;1990;2;4;256;1;0;5;0;L545024;1930;1960;1999;x
von Hospdarz;525026;SLV;1930;1930;1930;1930;0;2;0;1;0;5;0;M545001;1930;1960;1999;x
von Jacobs;525027;SLV;1930;1942;1990;1990;2;4;0;1;0;5;0;M545031;1930;1990;1999;x
von Straussenburg;525028;SLV;1930;1930;1930;1990;1;4;516;1;0;5;0;M545011;1930;1960;1999;x
von Ulm;525029;SLV;1930;1930;1990;1990;2;3;1;1;0;5;0;M545028;1930;1960;1999;x
zu Dohna-Schlobitten;525030;SLV;1940;1990;1990;1990;3;3;64;0;0;5;0;L545029;1940;1960;1999;x
Casati;525031;SLV;1930;1990;1990;1990;3;2;0;0;0;5;1;M545010;1930;1960;1999;x
Dannecker;525032;SLV;1930;1930;1990;1990;2;3;4096;1;0;5;1;M545032;1930;1960;1999;x
Homberth;525033;SLV;1930;1930;1990;1990;2;2;4096;0;0;5;1;M545009;1930;1960;1999;x
Imperl;525034;SLV;1930;1990;1990;1990;3;4;1536;0;0;5;1;M545033;1930;1960;1999;x
Casati;525035;SLV;1930;1990;1990;1990;3;3;0;0;0;5;2;M545010;1930;1960;1999;x
Cäsar;525036;SLV;1930;1990;1990;1990;3;2;0;0;0;5;2;L545035;1930;1960;1999;x
Mazal;525037;SLV;1930;1990;1990;1990;3;4;4096;0;0;5;2;M545035;1930;1960;1999;x
von Kodolitsch;525038;SLV;1930;1930;1990;1990;2;3;16384;1;0;5;2;M545034;1930;1960;1999;x
