Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agosti;750001;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508000;1943;1960;1999;x
Agostini;750002;RSI;1943;1990;1990;1990;3;3;16;0;0;5;0;L508001;1943;1960;1999;x
Albera;750003;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508002;1943;1960;1999;x
Arioli;750004;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508003;1943;1960;1999;x
Bader;750005;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508004;1943;1960;1999;x
Babel;750006;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508005;1943;1960;1999;x
Barde;750007;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508006;1943;1960;1999;x
Betzel;750008;RSI;1943;1945;1990;1990;2;5;2;1;0;5;0;L508007;1943;1960;1999;x
Borghese;750009;RSI;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;1999;x
Bortolotto;750010;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508009;1943;1960;1999;x
Breithaupt;750011;RSI;1942;1990;1990;1990;3;4;64;0;0;5;0;L508010;1942;1947;1999;x
Brufani;750012;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508011;1943;1960;1999;x
Bruno;750013;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;1999;x
Calzolari;750014;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1943;1960;1999;x
Carloni;750015;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508014;1943;1960;1999;x
Carsiviglia;750016;RSI;1943;1990;1990;1990;3;5;256;0;0;5;0;L508015;1943;1960;1999;x
Crimi;750017;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;1999;x
D'Oro;750018;RSI;1930;1990;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;1999;x
de Cia;750019;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;1999;x
del Giudice;750020;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;1999;x
Dürrstein;750021;RSI;1943;1990;1990;1990;3;3;0;1;0;5;0;L508020;1943;1960;1999;x
Esposito;750022;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;1999;x
Fanfani;750023;RSI;1943;1990;1990;1990;3;6;256;1;0;5;0;L508022;1943;1960;1999;x
Farina;750024;RSI;1944;1945;1990;1990;3;4;0;1;0;5;0;L508023;1944;1960;1999;x
Filippani Ronconi;750025;RSI;1944;1990;1990;1990;3;5;4;0;0;5;0;L508024;1944;1960;1999;x
Gambara;750026;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;1999;x
Giugni;750027;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508026;1943;1960;1999;x
Gonell;750028;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508027;1943;1960;1999;x
Graziani;750029;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;1999;x
Heisig;750030;RSI;1943;1990;1990;1990;3;4;32;0;0;5;0;L508029;1943;1960;1999;x
Heldmann;750031;RSI;1939;1990;1990;1990;3;5;4;0;0;5;0;L508030;1939;1960;1999;x
Hintz;750032;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508031;1943;1960;1999;x
Hufenbach;750033;RSI;1943;1960;1990;1990;3;4;2;0;0;5;0;L508032;1943;1960;1999;x
Hundt;750034;RSI;1942;1943;1990;1990;2;5;128;1;0;5;0;L508033;1944;1960;1999;x
Hölz;750035;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508034;1943;1960;1999;x
Leonardi;750036;RSI;1939;1990;1990;1990;3;2;0;1;0;5;0;L6262;1939;1960;1999;x
Marino;750037;RSI;1944;1990;1990;1990;3;2;0;0;0;5;0;L508036;1944;1960;1999;x
Melchiore;750038;RSI;1930;1930;1990;1990;2;3;0;1;0;5;0;L508037;1943;1960;1999;x
Millica;750039;RSI;1943;1990;1990;1990;3;2;0;0;0;5;0;L508038;1943;1960;1999;x
Montagna;750040;RSI;1943;1990;1990;1990;3;4;0;1;0;5;0;L6265;1943;1960;1999;x
Navarini;750041;RSI;1939;1941;1990;1990;2;5;0;2;0;5;0;L6267;1939;1960;1999;x
Nicchiarelli;750042;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508041;1943;1960;1999;x
Pavolini;750043;RSI;1930;1930;1990;1990;2;4;16;1;0;5;0;L508042;1943;1960;1999;x
Piatti del Pozzo;750044;RSI;1942;1990;1990;1990;2;3;0;1;0;5;0;L6271;1942;1960;1999;x
Pozzi;750045;RSI;1943;1990;1990;1990;3;2;0;0;0;5;0;L508044;1943;1960;1999;x
Romegialli;750046;RSI;1930;1990;1990;1990;2;3;1;1;0;5;0;L6274;1930;1960;1999;x
Ricci;750047;RSI;1930;1990;1990;1990;3;4;0;1;0;5;0;L6124;1930;1956;1999;x
Sommavilla;750048;RSI;1944;1990;1990;1990;3;3;0;0;0;5;0;L508047;1944;1960;1999;x
Voldemyra-Gabini;750049;RSI;1941;1990;1990;1990;3;4;8;0;0;5;0;L6279;1941;1945;1999;x
von Blanckensee;750050;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508049;1943;1960;1999;x
von Hirschfeld;750051;RSI;1943;1990;1990;1990;3;4;128;0;0;5;0;L508050;1943;1960;1999;x
Waue;750052;RSI;1943;1990;1990;1990;3;4;1;0;0;5;0;L508051;1943;1947;1999;x
Zuliani;750053;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508052;1943;1960;1999;x
Arps;750054;RSI;1940;1942;1990;1990;2;4;0;1;0;5;1;L508053;1940;1947;1999;x
Brandimarte;750055;RSI;1938;1943;1944;1990;2;4;0;2;0;5;1;L6280;1938;1960;1999;x
Böhmer;750056;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508055;1943;1960;1999;x
di Cossata;750057;RSI;1941;1943;1990;1990;2;3;1024;1;0;4;1;L6164;1941;1960;1999;x
Gazzana;750058;RSI;1942;1944;1990;1990;3;3;1024;1;0;5;1;L6173;1942;1960;1999;x
Grillo;750059;RSI;1940;1943;1990;1990;2;3;0;1;0;5;1;L6281;1940;1960;1999;x
Hoffmann;750060;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508059;1943;1947;1999;x
Leithäuser;750061;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508060;1943;1947;1999;x
Nobe;750062;RSI;1942;1944;1990;1990;2;4;4096;1;0;5;1;L508061;1942;1960;1999;x
Rasmus;750063;RSI;1942;1990;1990;1990;3;4;0;0;0;5;1;L508062;1942;1960;1999;x
Schall-Emden;750064;RSI;1940;1943;1990;1990;2;4;4096;1;0;5;1;L508063;1940;1960;1999;x
Scheurlen;750065;RSI;1942;1944;1990;1990;2;4;2048;1;0;5;1;L508064;1942;1947;1999;x
Schmidt  A.;750066;RSI;1941;1990;1990;1990;3;4;8192;0;0;5;1;L508065;1941;1960;1999;x
Schmidt  F.T.;750067;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508066;1943;1960;1999;x
Thaon di Revel;750068;RSI;1930;1930;1930;1946;0;3;8704;1;0;5;1;L6188;1930;1960;1999;x
Bärens;750069;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508068;1943;1960;1999;x
Bonomi;750070;RSI;1930;1939;1943;1990;1;4;16384;2;0;5;2;L6282;1930;1960;1999;x
Cagna;750071;RSI;1930;1943;1990;1990;2;3;0;1;0;4;2;L6201;1930;1960;1999;x
Diesling;750072;RSI;1943;1990;1990;1990;3;4;16384;0;0;5;2;L508071;1943;1960;1999;x
di Ferro;750073;RSI;1938;1943;1990;1990;2;3;131072;1;0;3;2;L6206;1938;1960;1999;x
Erdmann;750074;RSI;1943;1944;1990;1990;2;5;4096;1;0;5;2;L508073;1943;1960;1999;x
Erhard;750075;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508074;1943;1960;1999;x
Fricke;750076;RSI;1943;1990;1990;1990;3;5;8192;0;0;5;2;L508075;1943;1960;1999;x
Junck;750077;RSI;1943;1990;1990;1990;3;4;4096;0;0;5;2;L508076;1943;1960;1999;x
Kohlbach;750078;RSI;1943;1990;1990;1990;3;4;65536;0;0;5;2;L508077;1943;1947;1999;x
Lorenz;750079;RSI;1943;1990;1990;1990;3;4;0;2;0;5;2;L508078;1943;1960;1999;x
Maier;750080;RSI;1943;1990;1990;1990;3;4;16384;0;0;5;2;L508079;1943;1960;1999;x
Mecozzi;750081;RSI;1937;1939;1990;1990;2;4;16384;1;0;1;2;L6218;1937;1960;1999;x
Santoro;750082;RSI;1938;1943;1990;1990;2;3;0;1;0;4;2;L6233;1938;1960;1999;x
Tessari;750083;RSI;1938;1941;1943;1990;1;4;0;2;0;5;2;L6283;1938;1960;1999;x
Visconti;750084;RSI;1942;1990;1990;1990;3;5;4096;0;0;5;2;L6237;1942;1960;1999;x
von Löwenstern;750085;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508084;1943;1947;1999;x
Tringali;750086;RSI;1930;1990;1990;1990;1;3;0;1;0;5;0;L6278;1930;1990;1999;x
Borghese;750087;RSI;1942;1990;1990;1990;3;7;256;3;0;5;0;L6029;1942;1990;1999;x
Guzzoni;750088;RSI;1930;1930;1930;1990;1;6;256;2;0;3;0;L6088;1930;1990;1999;x
